name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Myitkyina,2023-01-01,24.7,12.3,17.3,24.7,12.3,17.3,12.9,77,0,0,0,,0,0,20.9,6.8,19.4,1019.5,24.8,21.8,160.3,14,7,10,2023-01-01T06:46:16,2023-01-01T17:21:22,0.3,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"48008099999,remote"
Myitkyina,2023-01-02,24.7,10.2,16.2,24.7,10.2,16.2,12.4,80.7,0,0,0,,0,0,20.2,6.8,25.9,1019.5,21.7,20.1,165.3,14.3,6,10,2023-01-02T06:46:33,2023-01-02T17:22:02,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48008099999,remote"
Myitkyina,2023-01-03,25.9,11.1,17,25.9,11.1,17,12.8,78.7,0,0,0,,0,0,20.5,6.8,23.5,1019.1,15.8,20.1,172.6,14.8,6,10,2023-01-03T06:46:49,2023-01-03T17:22:43,0.37,Clear,Clear conditions throughout the day.,clear-day,"48008099999,remote"
Myitkyina,2023-01-04,26.4,11.4,17.3,26.4,11.4,17.3,12.8,77.5,0,0,0,,0,0,17.6,5,25.2,1018.9,7.2,20.1,179.9,15.7,7,10,2023-01-04T06:47:03,2023-01-04T17:23:24,0.41,Clear,Clear conditions throughout the day.,clear-day,"48008099999,remote"
Myitkyina,2023-01-05,26.6,10.4,17.1,26.6,10.4,17.1,12.9,79.5,0,0,0,,0,0,20.5,5,25.2,1018.9,6.3,20.1,180.6,15.8,7,10,2023-01-05T06:47:16,2023-01-05T17:24:05,0.44,Clear,Clear conditions throughout the day.,clear-day,"48008099999,remote"
Myitkyina,2023-01-06,27.6,10.6,17.4,27.3,10.6,17.4,12.6,76.9,0,0,0,,0,0,18.4,6.1,27.1,1018.8,6.3,20.2,181.5,15.8,7,10,2023-01-06T06:47:27,2023-01-06T17:24:48,0.47,Clear,Clear conditions throughout the day.,clear-day,"48008099999,remote"
Myitkyina,2023-01-07,27.7,11.9,18.2,27.4,11.9,18.2,13.4,76.8,0,0,0,,0,0,19.8,5.4,37,1016.8,8.6,21,167.5,14.5,6,10,2023-01-07T06:47:38,2023-01-07T17:25:30,0.5,Clear,Clear conditions throughout the day.,clear-day,"48008099999,remote"
Myitkyina,2023-01-08,28.1,11.1,17.9,27.8,11.1,17.8,13.1,77.3,0,0,0,,0,0,14.8,4,39.8,1016.4,5.9,20.1,181.9,15.7,7,10,2023-01-08T06:47:46,2023-01-08T17:26:14,0.54,Clear,Clear conditions throughout the day.,clear-day,"48008099999,remote"
Myitkyina,2023-01-09,27.6,10.2,17,27.7,10.2,17,12.6,78.6,0,0,0,,0,0,15.1,4.7,37.1,1017.4,2.1,20.1,184.5,16,7,10,2023-01-09T06:47:54,2023-01-09T17:26:57,0.58,Clear,Clear conditions throughout the day.,clear-day,"48008099999,remote"
Myitkyina,2023-01-10,27.2,10.2,16.8,27.1,10.2,16.8,12.5,79.7,0,0,0,,0,0,16.9,5.8,42.6,1016,4.2,20.1,184.9,16,7,10,2023-01-10T06:47:59,2023-01-10T17:27:41,0.61,Clear,Clear conditions throughout the day.,clear-day,"48008099999,remote"
Myitkyina,2023-01-11,26.4,10.4,17.7,26.4,10.4,17.7,13,77.6,0,0,0,,0,0,16.2,4.7,32.1,1013.9,13.1,20.1,172.8,15,7,10,2023-01-11T06:48:04,2023-01-11T17:28:26,0.64,Clear,Clear conditions throughout the day.,clear-day,"48008099999,remote"
Myitkyina,2023-01-12,26.5,10.9,18.1,26.5,10.9,18.1,12.6,73.4,0,0,0,,0,0,15.5,4,33.2,1012.6,14.9,20.1,185.4,16.1,7,10,2023-01-12T06:48:07,2023-01-12T17:29:11,0.68,Clear,Clear conditions throughout the day.,clear-day,"48008099999,remote"
Myitkyina,2023-01-13,27.1,11,17.8,27,11,17.8,13.4,78.3,0.1,100,4.17,rain,0,0,16.9,5.4,20.5,1012.8,22,20.1,162,13.9,7,10,2023-01-13T06:48:08,2023-01-13T17:29:56,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48008099999,remote"
Myitkyina,2023-01-14,26.1,12.5,18.5,26.1,12.5,18.5,13.6,75.6,0,0,0,,0,0,18.7,5.4,26.4,1012.6,35.9,20.1,165.2,14.3,7,10,2023-01-14T06:48:08,2023-01-14T17:30:41,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48008099999,remote"
Myitkyina,2023-01-15,25.1,11.9,17.6,25.1,11.9,17.6,13.1,76.9,0,0,0,,0,0,16.6,6.1,29.4,1012.8,44.8,20.1,129.5,11.3,5,10,2023-01-15T06:48:06,2023-01-15T17:31:26,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48008099999,remote"
Myitkyina,2023-01-16,25.2,11,17.2,25.2,11,17.2,12.5,76.8,0,0,0,,0,0,18.7,5.8,29.4,1013.8,26.9,20.1,176,15.2,7,10,2023-01-16T06:48:03,2023-01-16T17:32:12,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48008099999,remote"
Myitkyina,2023-01-17,25.9,10.5,16.7,25.9,10.5,16.7,11.9,77,0,0,0,,0,0,19.1,5,34.1,1014.9,9.2,20.1,193.8,16.6,7,10,2023-01-17T06:47:59,2023-01-17T17:32:58,0.84,Clear,Clear conditions throughout the day.,clear-day,"48008099999,remote"
