name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nabawan,1/1/2023,31.5,21.1,25,34.9,21.1,26,21.5,82.5,1.9,100,45.83,rain,0,0,28.1,6.5,79.3,1012.7,65,,216.7,18.9,8,,2023-01-01T06:22:30,2023-01-01T18:12:35,0.3,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,remote
Nabawan,1/2/2023,29.7,21.4,24.6,32.7,21.4,25.5,21.3,82.9,2,100,41.67,rain,0,0,32,7.9,39.4,1012.2,82.3,,202.7,17.7,7,,2023-01-02T06:22:57,2023-01-02T18:13:05,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Nabawan,1/3/2023,28,20.1,22.9,30.1,20.1,23.2,21,89.6,5.1,100,37.5,rain,0,0,25.6,6.1,303.4,1011.2,96.1,,159.1,13.8,6,,2023-01-03T06:23:23,2023-01-03T18:13:35,0.37,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Nabawan,1/4/2023,30,19.5,23.8,33.2,19.5,24.2,21.2,86.7,5.4,100,54.17,rain,0,0,20.5,4.7,243.4,1009.5,99.4,,207,17.8,8,,2023-01-04T06:23:48,2023-01-04T18:14:05,0.4,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Nabawan,1/5/2023,29.3,21.3,24.1,34.2,21.3,25.2,22.6,91.9,17,100,100,rain,0,0,26.3,7.6,129.8,1010.5,84.8,,158.6,13.8,6,,2023-01-05T06:24:12,2023-01-05T18:14:35,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Nabawan,1/6/2023,29.7,21.7,24.2,34.4,21.7,24.9,22.6,91.5,4.5,100,70.83,rain,0,0,24.8,4.7,129,1011.7,97.8,,155,13.4,8,,2023-01-06T06:24:37,2023-01-06T18:15:04,0.47,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Nabawan,1/7/2023,25.9,20,22.6,25.9,20,22.6,21.7,95,21.8,100,83.33,rain,0,0,16.9,4.3,79.3,1011.6,99,,136.1,11.7,5,,2023-01-07T06:25:00,2023-01-07T18:15:33,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Nabawan,1/8/2023,28.5,19,22.5,31.6,19,22.9,20.8,91.1,18.2,100,50,rain,0,0,29.2,4.7,52.6,1013.1,99.8,,183.1,15.8,7,,2023-01-08T06:25:23,2023-01-08T18:16:02,0.54,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Nabawan,1/9/2023,26.5,20,22.7,26.5,20,22.7,20.7,89,2.2,100,37.5,rain,0,0,23.8,5.8,346.9,1014,99.2,,124.1,10.6,5,,2023-01-09T06:25:45,2023-01-09T18:16:31,0.57,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Nabawan,1/10/2023,27.3,19.9,23.1,29.2,19.9,23.3,20.8,87.4,0.2,100,8.33,rain,0,0,33.8,9,315.8,1013,99.8,,109.5,9.5,4,,2023-01-10T06:26:07,2023-01-10T18:16:59,0.61,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,remote
Nabawan,1/11/2023,29.4,20.9,23.9,31.6,20.9,24.5,21.3,86.5,5,100,12.5,rain,0,0,29.9,8.6,315.3,1012.3,94.8,,163.9,14.2,6,,2023-01-11T06:26:27,2023-01-11T18:17:26,0.64,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,remote
