name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Najran,1/1/2023,22,9.9,16.3,22,9.9,16.3,5.7,51,0,0,0,,0,0,40,20.5,96.2,1025,35.8,10,221.8,19.1,8,,2023-01-01T06:33:35,2023-01-01T17:39:32,0.31,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"41128099999,OENG"
Najran,1/2/2023,24,13.8,18.4,24,13.8,18.4,8.4,53.4,0,0,0,,0,0,36,14.8,92.7,1024.8,57.2,10,217.5,18.7,8,,2023-01-02T06:33:56,2023-01-02T17:40:07,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41128099999,OENG"
Najran,1/3/2023,22.1,14,17.4,22.1,14,17.4,9.3,60.8,0,0,0,,0,0,33.5,18.4,109.1,1026.1,28.6,9.9,230.5,19.8,8,,2023-01-03T06:34:16,2023-01-03T17:40:44,0.38,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41128099999,OENG"
Najran,1/4/2023,28,10.8,18.9,27,10.8,18.8,7.8,52.9,0,0,0,,0,0,29.9,14.8,123.7,1021.7,0.2,10,234.5,20.3,8,,2023-01-04T06:34:35,2023-01-04T17:41:20,0.41,Clear,Clear conditions throughout the day.,clear-day,"41128099999,OENG"
Najran,1/5/2023,30.7,14,21.5,28.7,14,21.1,3.7,34.8,0,0,0,,0,0,28.1,14.8,125.9,1018.8,1,10,236.3,20.4,8,,2023-01-05T06:34:52,2023-01-05T17:41:57,0.45,Clear,Clear conditions throughout the day.,clear-day,"41128099999,OENG"
Najran,1/6/2023,26,13,20.2,26,13,20.2,5.7,41,0,0,0,,0,0,27,16.6,73.5,1020.3,0.7,10,232.6,20.2,8,,2023-01-06T06:35:09,2023-01-06T17:42:34,0.48,Clear,Clear conditions throughout the day.,clear-day,"41128099999,OENG"
Najran,1/7/2023,22,12,16.4,22,12,16.4,11,71,0,0,0,,0,0,33.5,14.8,78.4,1021.8,20,6.8,229,19.9,8,,2023-01-07T06:35:24,2023-01-07T17:43:11,0.5,Clear,Clearing in the afternoon.,clear-day,"41128099999,OENG"
Najran,1/8/2023,19,12,15.1,19,12,15.1,11.4,79.9,0,0,0,,0,0,38.9,14.8,94.5,1021.7,64.4,9.8,201.7,17.4,7,,2023-01-08T06:35:39,2023-01-08T17:43:48,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41128099999,OENG"
Najran,1/9/2023,25,12.8,17.9,25,12.8,17.9,11.7,69,0,0,0,,0,0,28.1,18.4,109.5,1020.7,44,10,229.9,19.9,8,,2023-01-09T06:35:52,2023-01-09T17:44:25,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41128099999,OENG"
Najran,1/10/2023,30.1,13,21.6,28.6,13,21.3,9.8,50.9,0,0,0,,0,0,29.2,14.8,49.7,1020.2,19,10,227.1,19.4,8,,2023-01-10T06:36:04,2023-01-10T17:45:03,0.61,Clear,Clear conditions throughout the day.,clear-day,"41128099999,OENG"
Najran,1/11/2023,21,13,17,21,13,17,10,64.6,0,0,0,,0,0,34.6,18.4,78.9,1023.4,17.7,5.8,225.1,19.5,8,,2023-01-11T06:36:15,2023-01-11T17:45:40,0.65,Clear,Clear conditions throughout the day.,clear-day,"41128099999,OENG"
Najran,1/12/2023,23.3,9,15.9,23.3,9,15.9,7,58.1,0,0,0,,0,0,42.1,22.3,106.3,1022,17.2,7,224,19.3,8,,2023-01-12T06:36:25,2023-01-12T17:46:18,0.68,Clear,Clear conditions throughout the day.,clear-day,"41128099999,OENG"
Najran,1/13/2023,24.3,11,17.6,24.3,11,17.6,8,56.9,0,0,0,,0,0,39.2,16.6,87,1021,27,8.6,223.6,19.2,8,,2023-01-13T06:36:34,2023-01-13T17:46:55,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41128099999,OENG"
Najran,1/14/2023,27,12,19.5,26.5,12,19.4,8.3,50.8,0,0,0,,0,0,30.6,22.3,101.7,1020.1,37.6,9.7,225.9,19.4,8,,2023-01-14T06:36:41,2023-01-14T17:47:33,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41128099999,OENG"
Najran,1/15/2023,29.8,15,22,28.1,15,21.6,5.5,35.9,0,0,0,,0,0,34.2,18.4,85,1019,29.3,10,232,19.9,8,,2023-01-15T06:36:47,2023-01-15T17:48:10,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41128099999,OENG"
Najran,1/16/2023,30.8,14,22.8,29,14,22.3,6.2,37.7,0,0,0,,0,0,33.1,18.4,117.7,1018.5,15.3,10,235.9,20.5,9,,2023-01-16T06:36:52,2023-01-16T17:48:47,0.82,Clear,Clear conditions throughout the day.,clear-day,"41128099999,OENG"
Najran,1/17/2023,31.3,16,23.4,29.3,16,22.9,5.1,31.9,0,0,0,,0,0,34.2,14.8,47.6,1018.3,31,10,234.8,20.3,9,,2023-01-17T06:36:56,2023-01-17T17:49:24,0.85,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41128099999,OENG"
Najran,1/18/2023,23,15,19.2,23,15,19.2,8.8,51.2,0,0,0,,0,0,30.6,22.3,66.9,1022.5,21.9,6.5,231.8,20.2,8,,2023-01-18T06:36:59,2023-01-18T17:50:01,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41128099999,OENG"
Najran,1/19/2023,23.1,10,16,23.1,10,16,3.5,44.8,0,0,0,,0,0,36.7,18.4,114.8,1023.9,0,8.8,241.2,20.8,9,,2023-01-19T06:37:00,2023-01-19T17:50:38,0.92,Clear,Clear conditions throughout the day.,clear-day,"41128099999,OENG"
Najran,1/20/2023,23,8.2,15.6,23,8.2,15.6,1.3,39.8,0,0,0,,0,0,36.7,18.4,105.2,1022.3,0,10,244.6,21,9,,2023-01-20T06:37:01,2023-01-20T17:51:14,0.95,Clear,Clear conditions throughout the day.,clear-day,"41128099999,OENG"
Najran,1/21/2023,25.1,9,16.9,25.1,7.9,16.8,1,35.9,0,0,0,,0,0,38.9,22.3,85.4,1020.7,0,10,244.2,20.9,9,,2023-01-21T06:36:59,2023-01-21T17:51:50,0,Clear,Clear conditions throughout the day.,clear-day,"41128099999,OENG"
Najran,1/22/2023,25.8,10,18.3,25.8,10,18.3,1.6,34.3,0,0,0,,0,0,38.9,18.4,102.3,1019.3,0.1,10,245.1,21,9,,2023-01-22T06:36:57,2023-01-22T17:52:26,0.02,Clear,Clear conditions throughout the day.,clear-day,"41128099999,OENG"
Najran,1/23/2023,27.3,10,19,26.3,10,18.9,0.8,31.6,0,0,0,,0,0,38.2,14.8,83.9,1019,0.4,10,244.6,20.9,9,,2023-01-23T06:36:54,2023-01-23T17:53:02,0.05,Clear,Clear conditions throughout the day.,clear-day,"41128099999,OENG"
Najran,1/24/2023,28,11,19.6,26.8,11,19.4,2.7,34,0,0,0,,0,0,32.4,18.4,95.1,1018.5,1.8,10,243.5,21,9,,2023-01-24T06:36:49,2023-01-24T17:53:37,0.08,Clear,Clear conditions throughout the day.,clear-day,"41128099999,OENG"
Najran,1/25/2023,30,13,20.9,28.3,13,20.6,5.1,38.3,0,0,0,,0,0,37.8,22.3,72.4,1016.3,5.6,10,244.6,21.2,9,,2023-01-25T06:36:43,2023-01-25T17:54:12,0.12,Clear,Clear conditions throughout the day.,clear-day,"41128099999,OENG"
Najran,1/26/2023,27,12,19,26.4,12,18.9,8.3,51.9,0,0,0,,0,0,34.9,22.3,73.2,1016.8,0.7,10,245.2,21.1,9,,2023-01-26T06:36:36,2023-01-26T17:54:46,0.15,Clear,Clear conditions throughout the day.,clear-day,"41128099999,OENG"
Najran,1/27/2023,21,13.8,16.9,21,13.8,16.9,11,69,0.7,100,20.83,rain,0,0,48.2,18.4,91.1,1019.7,65.5,10,142.1,12.3,5,,2023-01-27T06:36:27,2023-01-27T17:55:21,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"41128099999,OENG"
