name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Naryn,2023-01-01,-5.9,-17,-13.1,-8.4,-23.8,-17.4,-17.6,70.4,0,0,0,,0,6.6,29.9,11.5,62.2,1041.2,45.1,23.6,103.4,8.8,5,10,2023-01-01T08:22:21,2023-01-01T17:36:35,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36974099999,remote"
Naryn,2023-01-02,-7.3,-20.4,-14.8,-7.3,-28.2,-18.8,-21.5,59.7,0,0,0,,0,6.4,30.6,11.9,71.6,1037.1,52.1,23.6,90.1,7.6,4,10,2023-01-02T08:22:27,2023-01-02T17:37:26,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36974099999,remote"
Naryn,2023-01-03,-9.1,-18.4,-13.9,-9.1,-25.2,-18.1,-18.6,69.8,0.2,100,8.33,snow,0,6.4,29.9,12.6,69.4,1033.8,82.6,23.6,89.2,7.6,4,10,2023-01-03T08:22:31,2023-01-03T17:38:19,0.37,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"36974099999,remote"
Naryn,2023-01-04,-3.8,-14.1,-8.2,-3.8,-14.1,-9.5,-11.2,80,4.7,100,75,snow,4.3,10.1,49.3,9.4,121.5,1030.8,98.6,6.7,66.4,5.7,3,10,2023-01-04T08:22:32,2023-01-04T17:39:13,0.41,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"36974099999,remote"
Naryn,2023-01-05,-5.1,-14.9,-10.5,-6.9,-21.8,-15.1,-14.1,76.4,0.4,100,4.17,snow,0,10.8,33.1,13.7,61.2,1031.1,40.9,21.9,108.3,9.2,5,10,2023-01-05T08:22:31,2023-01-05T17:40:08,0.44,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"36974099999,remote"
Naryn,2023-01-06,-0.1,-13.9,-8.6,-0.1,-19.8,-11.4,-17.5,54.4,0,0,0,snow,0,9.6,36.7,9.7,60.9,1023,78.8,21.5,81.8,7,4,10,2023-01-06T08:22:28,2023-01-06T17:41:06,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36974099999,remote"
Naryn,2023-01-07,0.1,-15.7,-10.8,-2.3,-22.7,-15.3,-16.3,66.1,0,0,0,,0,9.5,29.5,12.6,51.8,1022.7,45.5,23.8,107.3,9.3,4,10,2023-01-07T08:22:23,2023-01-07T17:42:04,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36974099999,remote"
Naryn,2023-01-08,-1.1,-14.9,-10.5,-3.9,-19.3,-14.5,-15.8,67.8,0.2,100,4.17,snow,0,9.4,31.3,12.2,55.6,1019.3,52.8,22.6,112.7,9.8,5,10,2023-01-08T08:22:15,2023-01-08T17:43:04,0.54,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"36974099999,remote"
Naryn,2023-01-09,-2.4,-13.3,-9.4,-2.4,-19.8,-12.5,-14,70.2,0,0,0,,0,9.3,27.7,14.4,73.4,1022.6,63.7,22.8,102,8.7,5,10,2023-01-09T08:22:05,2023-01-09T17:44:06,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36974099999,remote"
Naryn,2023-01-10,-4.7,-15.8,-10.5,-5.8,-21.6,-13.5,-15.1,71.2,0.3,100,8.33,snow,0,8.7,34.6,13,65.5,1020.4,63.2,22.2,96.2,8.2,4,10,2023-01-10T08:21:53,2023-01-10T17:45:08,0.61,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"36974099999,remote"
Naryn,2023-01-11,-7.9,-16.7,-11.1,-7.9,-23.3,-14.5,-13.9,80.7,1.6,100,54.17,snow,3.3,10.5,36,18,233.7,1022.2,96.4,1.9,60.9,5.3,3,10,2023-01-11T08:21:38,2023-01-11T17:46:12,0.64,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"36974099999,remote"
Naryn,2023-01-12,-14.6,-26.2,-19.3,-16.9,-33,-21.8,-24.2,66,0.2,100,4.17,snow,0,11.1,24.5,10.8,140.7,1043.3,71.9,13.6,109.1,9.4,5,10,2023-01-12T08:21:21,2023-01-12T17:47:17,0.68,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"36974099999,remote"
Naryn,2023-01-13,-14.3,-30.3,-22.6,-17.9,-41,-28.4,-27.6,65,0,0,0,,0,10.8,29.5,13,67,1043.8,63,21.1,104.7,9.1,4,10,2023-01-13T08:21:02,2023-01-13T17:48:22,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36974099999,remote"
Naryn,2023-01-14,-15.7,-28.5,-23,-16.9,-38.5,-28.6,-27.8,65.9,0,0,0,,0,10.5,27.4,12.2,63.2,1042.8,34.7,21.8,124.2,10.7,5,10,2023-01-14T08:20:40,2023-01-14T17:49:29,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36974099999,remote"
Naryn,2023-01-15,-14.7,-28.8,-23.6,-14.7,-38.5,-28.9,-29.3,62.5,0,0,0,,0,10,29.2,13,61.4,1042.9,0.4,23.6,126.8,11.1,5,10,2023-01-15T08:20:16,2023-01-15T17:50:37,0.75,Clear,Clear conditions throughout the day.,clear-day,"36974099999,remote"
Naryn,2023-01-16,-12.3,-28.8,-23.2,-16.8,-37.2,-29.7,-29.3,60,0,0,0,,0,9.9,30.6,14,52.2,1038.5,1.7,23.8,128.4,11.1,5,10,2023-01-16T08:19:50,2023-01-16T17:51:46,0.81,Clear,Clear conditions throughout the day.,clear-day,"36974099999,remote"
Naryn,2023-01-17,-10.5,-28.9,-21.7,-12.8,-36.2,-27,-29.4,52.5,0,0,0,,0,9.7,33.5,12.2,63.8,1035.2,0.2,23.6,130,11.2,5,10,2023-01-17T08:19:22,2023-01-17T17:52:56,0.85,Clear,Clear conditions throughout the day.,clear-day,"36974099999,remote"
Naryn,2023-01-18,-10.5,-27.9,-21.8,-14.6,-35.7,-27.5,-28.7,55.7,0,0,0,,0,9.7,31.3,14.8,58.3,1034.3,0.1,23.4,131.4,11.4,5,10,2023-01-18T08:18:52,2023-01-18T17:54:06,0.88,Clear,Clear conditions throughout the day.,clear-day,"36974099999,remote"
Naryn,2023-01-19,-8.8,-27.4,-20.9,-12,-34.4,-26.4,-28.5,53.9,0,0,0,,0,9.6,33.1,13.7,59.4,1033.7,0,23.6,133.3,11.6,5,10,2023-01-19T08:18:19,2023-01-19T17:55:17,0.91,Clear,Clear conditions throughout the day.,clear-day,"36974099999,remote"
Naryn,2023-01-20,-9.1,-27,-20.5,-9.1,-34.5,-24.8,-27.6,56,0,0,0,,0,9.6,29.2,11.5,55.5,1034.4,0.2,23.4,130.6,11.2,5,10,2023-01-20T08:17:45,2023-01-20T17:56:29,0.95,Clear,Clear conditions throughout the day.,clear-day,"36974099999,remote"
Naryn,2023-01-21,-7.7,-27,-19.8,-10.6,-34.6,-24.3,-24.9,65.2,0,0,0,,0,9.6,29.9,12.6,67.5,1034.9,1.6,23.4,130.5,11.3,5,10,2023-01-21T08:17:08,2023-01-21T17:57:41,0.98,Clear,Clear conditions throughout the day.,clear-day,"36974099999,remote"
Naryn,2023-01-22,-6,-26.4,-17.1,-7.4,-31.1,-21.5,-21.9,68.4,0,0,0,,0,9.5,36,14.4,54.1,1031.5,7.7,23.4,134.3,11.7,6,10,2023-01-22T08:16:29,2023-01-22T17:58:54,0,Clear,Clear conditions throughout the day.,clear-day,"36974099999,remote"
Naryn,2023-01-23,-7,-25.1,-17.5,-11.2,-32.1,-22.5,-23.6,61,0,0,0,,0,9.5,37.4,15.5,69.3,1034.4,50.7,23.4,122.3,10.6,5,10,2023-01-23T08:15:48,2023-01-23T18:00:08,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36974099999,remote"
Naryn,2023-01-24,-10.2,-24.3,-18.2,-10.2,-33.7,-22.4,-24.3,61.2,0,0,0,,0,9.4,28.1,13,68.1,1032.8,6.7,23.4,136.5,11.8,6,10,2023-01-24T08:15:05,2023-01-24T18:01:22,0.08,Clear,Clear conditions throughout the day.,clear-day,"36974099999,remote"
Naryn,2023-01-25,-8.1,-24.3,-16.7,-8.1,-32.5,-20.5,-22.7,62.1,0,0,0,,0,9.4,27.4,12.2,55.2,1030.6,40.4,23.4,138,12,6,10,2023-01-25T08:14:20,2023-01-25T18:02:36,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36974099999,remote"
Naryn,2023-01-26,-5.3,-20.8,-13.7,-5.3,-29,-17.7,-19.5,63.2,0,0,0,,0,9.5,27,12.2,63.6,1032.1,41.5,23.4,132.5,11.4,6,10,2023-01-26T08:13:33,2023-01-26T18:03:51,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36974099999,remote"
Naryn,2023-01-27,-6.9,-21.9,-15.4,-7.9,-31.1,-19.6,-20.8,66.1,0,0,0,,0,9.1,32,14,61.3,1035,4.2,23.4,141.3,12.2,6,10,2023-01-27T08:12:44,2023-01-27T18:05:06,0.18,Clear,Clear conditions throughout the day.,clear-day,"36974099999,remote"
Naryn,2023-01-28,-4.7,-21.4,-13.3,-7.8,-27.4,-18.2,-22.8,49.3,0,0,0,,0,8.7,30.6,14.4,57.8,1027.6,27.7,23.4,144.8,12.6,6,10,2023-01-28T08:11:54,2023-01-28T18:06:21,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36974099999,remote"
Naryn,2023-01-29,-0.3,-12.4,-8.6,-2,-19.1,-13.4,-19.7,41.8,0,0,0,,0,8.8,29.5,14.4,62.4,1018.8,83.8,23.8,132.6,11.4,5,10,2023-01-29T08:11:01,2023-01-29T18:07:37,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36974099999,remote"
