name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nenets,2023-01-01,-29,-34.6,-32.1,-29,-41.1,-37.4,-35.8,69.4,0,0,0,snow,0.2,18.8,15.5,9,94.8,1034.2,97.5,6.8,0.1,0,0,10,2023-01-01T11:16:23,2023-01-01T13:57:47,0.3,Overcast,Cloudy skies throughout the day.,cloudy,"23330099999,remote"
Nenets,2023-01-02,-24.7,-33.8,-29.4,-33.8,-44.1,-41.4,-32.9,72,3.5,100,50,snow,5.2,20.1,50.4,32,67.7,1017.2,100,2.4,0.2,0,0,10,2023-01-02T11:14:14,2023-01-02T14:00:53,0.34,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"23330099999,remote"
Nenets,2023-01-03,-19.8,-24.1,-21.7,-29.7,-38.7,-34.4,-24.5,77.9,7.5,100,100,snow,9,27.2,50.4,36.4,51.1,1008.2,100,1.9,0.2,0,0,10,2023-01-03T11:11:57,2023-01-03T14:04:08,0.37,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"23330099999,remote"
Nenets,2023-01-04,-19.7,-22.4,-20.7,-29.9,-38.1,-34.3,-23.9,76,1.3,100,54.17,snow,4.3,28.9,64.1,45,39.7,1009.6,99.2,1.8,0.2,0,0,10,2023-01-04T11:09:32,2023-01-04T14:07:30,0.41,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"23330099999,remote"
Nenets,2023-01-05,-22,-26.4,-24,-35.6,-42.1,-39.4,-27.6,72.4,2.4,100,87.5,snow,2.5,21.2,67,47.2,39.9,1012.7,100,1.8,0.3,0,0,10,2023-01-05T11:06:59,2023-01-05T14:10:58,0.44,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"23330099999,remote"
Nenets,2023-01-06,-26.2,-35,-30.5,-38.9,-46.8,-43.4,-34.3,68.9,0,0,0,,0,17.2,50.4,32.4,44.9,1016.5,83.7,17.8,0.5,0,0,10,2023-01-06T11:04:19,2023-01-06T14:14:33,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23330099999,remote"
Nenets,2023-01-07,-33.4,-38,-35.5,-36.2,-51.7,-46.7,-39.5,66.6,0,0,0,,0,16.2,25.9,17.6,47.7,1023,88.2,11.6,0.6,0,0,10,2023-01-07T11:01:34,2023-01-07T14:18:12,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23330099999,remote"
Nenets,2023-01-08,-29.1,-42.3,-38.2,-35.4,-52.5,-46.5,-42.6,63.6,0,0,0,,0,14.8,25.6,17.3,315.8,1024.9,62.3,17.9,0.8,0,0,10,2023-01-08T10:58:43,2023-01-08T14:21:56,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23330099999,remote"
Nenets,2023-01-09,-19.3,-30.8,-25.5,-24.9,-39.9,-32.9,-29.3,70.1,0,0,0,,0,14.1,29.2,20.9,342.4,1018.8,45.7,20,1,0,0,10,2023-01-09T10:55:47,2023-01-09T14:25:44,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23330099999,remote"
Nenets,2023-01-10,-24.9,-30.8,-27.8,-25.3,-39.6,-33.5,-31.3,72.5,0.8,100,25,snow,0.7,15.5,15.5,10.1,113.3,1025.5,99.1,7.4,0.8,0,0,10,2023-01-10T10:52:47,2023-01-10T14:29:35,0.61,"Snow, Overcast",Cloudy skies throughout the day with snow in the morning and afternoon.,snow,"23330099999,remote"
Nenets,2023-01-11,-23.5,-31.4,-26.8,-23.5,-40.3,-32.6,-30.2,73.3,3,100,75,snow,2.8,17.3,14.8,10.1,153.2,1021.6,99.9,4.4,0.8,0,0,10,2023-01-11T10:49:42,2023-01-11T14:33:29,0.65,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"23330099999,remote"
Nenets,2023-01-12,-21.9,-32.1,-25.8,-21.9,-39.1,-28.8,-28.8,75.9,0,0,0,snow,0.2,22.1,14.4,10.1,94.2,1016.7,87.1,11.6,1.3,0.1,0,10,2023-01-12T10:46:34,2023-01-12T14:37:26,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23330099999,remote"
