name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nomgon,1/1/2023,-7.3,-19,-13.9,-11,-25.1,-17.8,-20.8,57.1,0,0,0,,0,1.8,18,10.8,21.3,1044.6,12.9,32.7,91.1,7.8,4,10,2023-01-01T08:32:19,2023-01-01T17:35:24,0.3,Clear,Clear conditions throughout the day.,clear-day,"remote,44373099999"
Nomgon,1/2/2023,-5.6,-19.5,-13.6,-10.4,-25.6,-18.2,-20.3,59,0,0,0,,0,1.8,25.6,11.9,203.1,1040,40.8,30.4,91.6,7.8,4,10,2023-01-02T08:32:23,2023-01-02T17:36:16,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,44373099999"
Nomgon,1/3/2023,-5.4,-15.5,-11.7,-11,-20.8,-16.4,-18,60.6,0,0,0,,0,2,29.5,28.8,292.3,1034.6,41.8,29.5,93.3,8,4,10,2023-01-03T08:32:26,2023-01-03T17:37:11,0.37,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"remote,44373099999"
Nomgon,1/4/2023,-3.9,-16.2,-11.1,-4.6,-22.9,-16.3,-17.9,59.3,0,0,0,,0,2,37.8,20.2,218.7,1030,36.2,31.5,94.7,8.2,4,10,2023-01-04T08:32:25,2023-01-04T17:38:07,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,44373099999"
Nomgon,1/5/2023,-3.3,-14.4,-9.7,-11.8,-20.9,-16.9,-18.7,49.4,0,0,0,,0,1.9,61.2,39.6,259.2,1028.5,27,28.1,91.8,7.8,4,10,2023-01-05T08:32:23,2023-01-05T17:39:04,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,44373099999"
Nomgon,1/6/2023,0.2,-14.6,-8.4,-3.3,-21.4,-13.3,-19.1,44.2,0,0,0,,0,2,36.7,21.2,238.7,1026.6,20.3,30.6,95,8.4,4,10,2023-01-06T08:32:18,2023-01-06T17:40:03,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,44373099999"
Nomgon,1/7/2023,2.6,-10.6,-5.4,-0.3,-16.1,-9.7,-14.3,50.9,0,0,0,,0,2,33.1,18,259.3,1019.3,51.7,32.7,85.5,7.3,4,10,2023-01-07T08:32:10,2023-01-07T17:41:04,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,44373099999"
Nomgon,1/8/2023,1.5,-11,-5.5,-2.1,-16.6,-9.5,-13.3,55.5,0,0,0,,0,1.9,30.6,18,211.6,1026.3,40.3,32.7,87.3,7.6,4,10,2023-01-08T08:32:00,2023-01-08T17:42:07,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,44373099999"
Nomgon,1/9/2023,3.4,-14.8,-6.9,3.4,-19,-10.1,-13.8,60.1,0,0,0,,0,1.9,29.9,15.5,199.1,1029.1,4.2,31.5,97,8.5,4,10,2023-01-09T08:31:48,2023-01-09T17:43:10,0.57,Clear,Clear conditions throughout the day.,clear-day,"remote,44373099999"
Nomgon,1/10/2023,4.6,-13.3,-5.8,1.7,-19,-9.4,-13.8,56.2,0,0,0,,0,1.8,27,13,204.6,1020.7,45.9,31.4,71.2,6,3,10,2023-01-10T08:31:33,2023-01-10T17:44:15,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,44373099999"
Nomgon,1/11/2023,4.2,-11.9,-5.8,2.4,-16.8,-8.9,-15.1,50.6,0,0,0,,0,1.8,23.4,11.9,188,1013.2,45.1,32.7,84.6,7.3,4,10,2023-01-11T08:31:16,2023-01-11T17:45:22,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,44373099999"
Nomgon,1/12/2023,-3.9,-15.5,-10.3,-10.6,-27,-17.6,-16.5,61.2,0,0,0,,0,1.7,61.2,39.6,346.1,1020.4,55.3,24.7,97.5,8.4,4,10,2023-01-12T08:30:56,2023-01-12T17:46:29,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,44373099999"
Nomgon,1/13/2023,-16.2,-21,-18.7,-20.3,-30.6,-26.9,-22.9,70,1,100,4.17,snow,0.6,2.4,53.3,30.6,358.4,1048.5,89.7,20.4,82.9,7.1,4,10,2023-01-13T08:30:34,2023-01-13T17:47:38,0.71,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"remote,44373099999"
Nomgon,1/14/2023,-14.2,-23.9,-19.5,-16.1,-30.9,-25.7,-24.8,64.5,0,0,0,snow,0.1,1.5,36,19.8,248.4,1046,37.3,27.7,107.3,9.3,5,10,2023-01-14T08:30:10,2023-01-14T17:48:48,0.74,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"remote,44373099999"
Nomgon,1/15/2023,-10.4,-23.9,-18,-10.8,-30.5,-24.6,-26.9,47.2,0,0,0,,0,0.8,40.3,22.3,242.8,1038.1,0,32.7,109.8,9.4,5,10,2023-01-15T08:29:43,2023-01-15T17:49:59,0.75,Clear,Clear conditions throughout the day.,clear-day,"remote,44373099999"
Nomgon,1/16/2023,-9.6,-22.3,-16,-16.5,-29.5,-22.5,-22.9,56.3,0,0,0,,0,0.6,37.8,23.8,268.7,1032.1,20.1,30.4,106.7,9.2,5,10,2023-01-16T08:29:14,2023-01-16T17:51:11,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,44373099999"
Nomgon,1/17/2023,-8.8,-22,-15.4,-15.2,-27.3,-22.1,-23,54.1,0,0,0,,0,0.5,54.4,36,247.6,1032.8,7.4,31.7,110.8,9.4,5,10,2023-01-17T08:28:42,2023-01-17T17:52:24,0.84,Clear,Clear conditions throughout the day.,clear-day,"remote,44373099999"
Nomgon,1/18/2023,-6.9,-16.5,-11.6,-15.1,-24.8,-20.5,-21,47.3,0,0,0,,0,0.5,54.4,36,281.4,1024.7,37.9,30.2,108.7,9.4,5,10,2023-01-18T08:28:09,2023-01-18T17:53:38,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,44373099999"
Nomgon,1/19/2023,-12.7,-20.5,-16.7,-14.9,-29.8,-23.9,-26.1,44.9,0.2,100,4.17,snow,0,0.6,45.7,26.3,320.4,1037.5,27.1,30,113.1,9.6,5,10,2023-01-19T08:27:33,2023-01-19T17:54:53,0.91,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"remote,44373099999"
Nomgon,1/20/2023,-7.8,-17.9,-13.5,-17,-28.2,-22.2,-21.5,51.3,0,0,0,,0,0.6,58.7,33.1,257.2,1027.4,19.5,31.5,98.5,8.4,4,10,2023-01-20T08:26:55,2023-01-20T17:56:08,0.94,Clear,Clear conditions throughout the day.,clear-day,"remote,44373099999"
Nomgon,1/21/2023,-8.4,-18.9,-13.8,-14.1,-25.1,-18.8,-22.5,49.9,0,0,0,,0,0.5,29.5,15.5,275.7,1025.1,58.6,32.7,112.5,9.6,5,10,2023-01-21T08:26:14,2023-01-21T17:57:24,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,44373099999"
Nomgon,1/22/2023,-14.3,-24.1,-18,-15.6,-33.3,-26.9,-22.4,68.7,0.3,100,4.17,snow,0.6,0.6,48.2,36,321.9,1035.8,78.8,18.5,98.4,8.6,4,10,2023-01-22T08:25:32,2023-01-22T17:58:41,0,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"remote,44373099999"
Nomgon,1/23/2023,-21.6,-30.1,-25.9,-25.9,-39.9,-34.8,-32.4,55.1,0.6,100,4.17,snow,0,0.7,42.1,23.8,344.6,1058.7,42.9,30.6,114.3,9.7,5,10,2023-01-23T08:24:47,2023-01-23T17:59:58,0.04,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"remote,44373099999"
Nomgon,1/24/2023,-11.8,-28.8,-20.5,-17.2,-37.8,-27.3,-29.7,45.5,0,0,0,,0,0.9,50,28.4,223.5,1038.5,1.3,32.7,120.8,10.4,5,10,2023-01-24T08:24:00,2023-01-24T18:01:16,0.08,Clear,Clear conditions throughout the day.,clear-day,"remote,44373099999"
