name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nukus,1/1/2023,6,-6,-0.2,3,-10.8,-4.2,-5.4,68.6,0,0,0,,0,0,28.8,22.3,163.1,1032.5,51.7,12.9,81.4,7,4,,2023-01-01T08:31:12,2023-01-01T17:38:53,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/2/2023,7.3,2,3.9,3.8,-1.7,0.5,-0.8,71.5,3.9,100,12.5,rain,0,0,44.6,22.3,210.3,1028.1,92.1,12.6,72.5,6.3,4,,2023-01-02T08:31:17,2023-01-02T17:39:45,0.34,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/3/2023,9,2.3,7.2,5.9,-0.7,3.9,0.8,64.5,0.4,100,4.17,rain,0,0,52.6,48.4,237.8,1023.9,84.6,12.6,38,3.3,2,,2023-01-03T08:31:20,2023-01-03T17:40:38,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/4/2023,13,-3.7,4.1,13,-7.9,1.4,-1.1,70.6,0,0,0,,0,0,31,18.4,162.6,1023.9,17,12.3,88.4,7.7,4,,2023-01-04T08:31:20,2023-01-04T17:41:34,0.41,Clear,Clear conditions throughout the day.,clear-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/5/2023,8,2.3,5.7,6,-0.7,2.5,-3.6,52.8,0,0,0,,0,0,27.4,25.9,200.5,1013.4,36.8,11.3,57.6,5,3,,2023-01-05T08:31:18,2023-01-05T17:42:31,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/6/2023,7,-5.7,1.1,4.3,-8.4,-1.4,-2.1,80.3,0,0,0,,0,0,23.4,14.8,152.8,1020.7,43.7,11.2,66.3,5.8,3,,2023-01-06T08:31:14,2023-01-06T17:43:29,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/7/2023,12,-1,4.7,12,-4.8,1.6,0.9,78.3,0,0,0,,0,0,32.4,22.3,180.8,1012.2,32,11.7,92.5,7.9,4,,2023-01-07T08:31:07,2023-01-07T17:44:29,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/8/2023,5,-7.4,-2.4,1.3,-13.7,-7.9,-8.7,63.2,0,0,0,,0,0,38.9,29.5,282.6,1021.5,73.4,12.9,92.8,7.9,4,,2023-01-08T08:30:57,2023-01-08T17:45:31,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/9/2023,-8,-15,-11,-13.2,-21.4,-17,-17.2,61.4,0,0,0,,0,0,25.2,18.4,299,1032.2,38.6,12.9,99.8,8.6,4,,2023-01-09T08:30:46,2023-01-09T17:46:34,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/10/2023,-10,-16.1,-13.6,-15.6,-24.8,-19.9,-18.1,69.2,0.2,100,4.17,snow,0,0,33.1,18.4,289.5,1038.8,40.1,12.5,90.3,7.8,4,,2023-01-10T08:30:32,2023-01-10T17:47:38,0.61,"Snow, Partially cloudy",Becoming cloudy in the afternoon with late afternoon snow.,snow,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/11/2023,-11.9,-21.3,-16.8,-17.8,-29.1,-23.6,-21.4,68,0,0,0,,0,0,26.3,14.8,358.5,1050.5,19.7,12.9,101.2,8.7,4,,2023-01-11T08:30:15,2023-01-11T17:48:43,0.65,Clear,Clear conditions throughout the day.,clear-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/12/2023,-9,-23,-16.4,-15.4,-29.5,-20.9,-23.5,58.2,0,0,0,,0,0,29.5,18.4,53.4,1054.7,0,12.9,104.5,9,4,,2023-01-12T08:29:56,2023-01-12T17:49:50,0.68,Clear,Clear conditions throughout the day.,clear-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/13/2023,-6,-22,-14.7,-13.2,-27.1,-20.6,-23.7,49.2,0,0,0,,0,0,35.3,25.9,66.8,1050.5,4.2,12.9,105.8,9,4,,2023-01-13T08:29:35,2023-01-13T17:50:58,0.71,Clear,Clear conditions throughout the day.,clear-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/14/2023,-4,-20,-12.5,-10.3,-27.7,-18.8,-21.8,49,0,0,0,,0,0,36,22.3,49,1046.3,3.8,12.9,106.7,9.1,5,,2023-01-14T08:29:12,2023-01-14T17:52:06,0.75,Clear,Clear conditions throughout the day.,clear-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/15/2023,-2,-16.1,-10.2,-7.5,-21.7,-15.4,-19.5,49.8,0,0,0,,0,0,34.9,22.3,39.5,1040.6,7.5,12.9,108.3,9.2,5,,2023-01-15T08:28:46,2023-01-15T17:53:16,0.75,Clear,Clear conditions throughout the day.,clear-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/16/2023,0,-15,-8.3,-4.4,-19,-12.4,-19.6,42.7,0,0,0,,0,0,30.6,18.4,41,1034.3,35.3,12.9,107.5,9.1,5,,2023-01-16T08:28:18,2023-01-16T17:54:27,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/17/2023,1,-14.9,-7.5,-3.1,-18.9,-11,-18.7,42.8,0,0,0,,0,0,27.7,18,37.9,1032.3,35.8,12.9,107,9.2,5,,2023-01-17T08:27:48,2023-01-17T17:55:39,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/18/2023,2,-14.1,-7.5,-1.9,-19.2,-11,-15.6,54.6,0,0,0,,0,0,27.7,14.8,4.2,1030.7,10.7,12.9,108.6,9.2,5,,2023-01-18T08:27:15,2023-01-18T17:56:51,0.88,Clear,Clear conditions throughout the day.,clear-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/19/2023,-1,-14.1,-8.6,-3.8,-19.2,-12.3,-14.4,64.8,0,0,0,,0,0,19.8,11.2,339,1030.9,7.5,12.9,109.9,9.5,5,,2023-01-19T08:26:40,2023-01-19T17:58:05,0.91,Clear,Clear conditions throughout the day.,clear-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/20/2023,0,-16.3,-8.9,-1,-21.5,-10.9,-14.5,66.4,0,0,0,,0,0,18.7,11.2,6.2,1034.7,19.7,12.9,110.8,9.7,5,,2023-01-20T08:26:04,2023-01-20T17:59:19,0.95,Clear,Clear conditions throughout the day.,clear-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/21/2023,2,-13.7,-6.7,-2.5,-19.2,-11.6,-14.7,56.7,0,0,0,,0,0,32.4,18.4,357.2,1037.1,22.9,12.9,113.3,9.8,5,,2023-01-21T08:25:24,2023-01-21T18:00:33,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/22/2023,0.7,-10.9,-5.4,-4.4,-17.6,-11.1,-12,60.7,0,0,0,,0,0,38.9,25.3,3.6,1037.5,3.8,12.9,113.2,9.7,5,,2023-01-22T08:24:43,2023-01-22T18:01:48,0,Clear,Clear conditions throughout the day.,clear-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/23/2023,-1.4,-12,-7.2,-7.2,-18,-12.9,-14.9,56.6,0,0,0,,0,0,35.6,21.6,0.2,1036.5,0,12.9,116.2,10,5,,2023-01-23T08:24:00,2023-01-23T18:03:04,0.05,Clear,Clear conditions throughout the day.,clear-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/24/2023,3,-14.1,-6.8,0.9,-19,-9.8,-15,54.9,0,0,0,,0,0,19.1,11.2,301.3,1034.3,15.8,12.9,117.6,10,5,,2023-01-24T08:23:15,2023-01-24T18:04:21,0.08,Clear,Clear conditions throughout the day.,clear-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/25/2023,0.1,-9,-4.7,0,-12.6,-5.5,-12,57.7,0.1,100,4.17,"rain,snow",0,0,14.8,7.6,7.6,1031.5,82.5,12.9,91.4,7.9,4,,2023-01-25T08:22:27,2023-01-25T18:05:38,0.11,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/26/2023,3,-8,-2.6,2,-11.9,-5.2,-11.6,52,0,0,0,,0,0,19.1,14.8,129.2,1031.7,90.1,12.9,86.5,7.5,4,,2023-01-26T08:21:38,2023-01-26T18:06:55,0.15,Overcast,Cloudy skies throughout the day.,cloudy,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
Nukus,1/27/2023,3.1,-7.3,-2.1,0.9,-8.4,-3.8,-9.6,57.8,0,0,0,,0,0,21.2,11.2,76,1031.1,22.9,12.9,115.5,10,5,,2023-01-27T08:20:46,2023-01-27T18:08:12,0.18,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"38403199999,38457499999,38392099999,UTNN,38262099999,38264099999"
