name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nursultan,1/1/2023,-11,-22,-14.1,-16,-28.1,-19.5,-16.2,84.3,3.51,100,8.33,snow,0,21.7,38.9,25.2,232.6,1027.9,86.2,6.8,35.2,3.1,2,,2023-01-01T09:18:14,2023-01-01T17:17:18,0.3,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"35283099999,35188099999,UACC"
Nursultan,1/2/2023,-4,-13,-6.9,-9.2,-15.6,-12.6,-8.2,90.3,0.693,100,8.33,snow,0,23.5,33.8,28.8,181.3,1022.9,94.9,8.8,42.9,3.6,2,,2023-01-02T09:18:09,2023-01-02T17:18:21,0.34,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"35283099999,35188099999,UACC"
Nursultan,1/3/2023,0,-5,-2.4,-5.6,-14.4,-9.7,-3.6,91.5,1.275,100,8.33,"rain,snow",1.7,24.6,75.6,50.4,203.8,998.6,99.8,4.1,21.5,1.8,1,,2023-01-03T09:18:00,2023-01-03T17:19:26,0.37,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"35283099999,35188099999,UACC"
Nursultan,1/4/2023,-2,-9,-5.9,-9.6,-18.7,-14.7,-7.6,87.7,7.892,100,8.33,snow,0.3,27.6,79.2,50.4,244.6,1004.9,98,3.3,32.7,2.7,2,,2023-01-04T09:17:48,2023-01-04T17:20:34,0.41,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"35283099999,35188099999,UACC"
Nursultan,1/5/2023,1,-1.2,-0.1,-2.4,-7.9,-5.4,-0.8,95,2.989,100,8.33,"rain,snow",1,30,64.8,46.8,230.4,1006.9,100,5.7,28.1,2.4,1,,2023-01-05T09:17:33,2023-01-05T17:21:45,0.44,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"35283099999,35188099999,UACC"
Nursultan,1/6/2023,0,-4,-2.1,-1.8,-10.5,-6.4,-3.2,91.6,7.036,100,8.33,"rain,snow",0.9,34.8,29.9,25.2,245.7,1010.8,96.8,8.5,29.7,2.6,2,,2023-01-06T09:17:14,2023-01-06T17:22:57,0.48,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"35283099999,35188099999,UACC"
Nursultan,1/7/2023,-3,-4.1,-3.8,-9.9,-13.3,-11.5,-5.7,86.4,0.493,100,8.33,snow,0,36.3,51.1,46.8,204.8,1013.1,93.6,9.8,41.4,3.6,2,,2023-01-07T09:16:52,2023-01-07T17:24:13,0.5,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"35283099999,35188099999,UACC"
Nursultan,1/8/2023,2,-23,-4.4,-2.3,-37.5,-12.7,-6.4,86.2,2,100,4.17,"rain,snow",0.6,34.5,79.2,61.2,219.1,1001.4,90.6,6.9,28.7,2.4,2,,2023-01-08T09:16:27,2023-01-08T17:25:30,0.54,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,snow,"35283099999,35188099999,UACC"
Nursultan,1/9/2023,-22,-28,-24.8,-25.6,-40.7,-36.4,-28.7,70.1,0.589,100,8.33,snow,0,32.8,68.4,39.6,231.8,1021.5,60.7,9.7,57.7,5,3,,2023-01-09T09:15:59,2023-01-09T17:26:50,0.58,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"35283099999,35188099999,UACC"
Nursultan,1/10/2023,-28,-33,-30.6,-29.8,-43.7,-39.5,-34.1,71.8,0,0,0,,0,32.4,20.2,18,246.9,1030.7,43.4,8.5,59,5.1,3,,2023-01-10T09:15:27,2023-01-10T17:28:12,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35283099999,35188099999,UACC"
