name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Olgii,1/1/2023,-17.4,-27.3,-22.5,-17.4,-34.3,-26,-25.7,75.4,0,0,0,,0,4.5,14.4,10.8,239.3,1047.4,58.8,23.3,56.2,4.9,3,10,2023-01-01T08:46:10,2023-01-01T17:04:24,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44215099999,remote"
Olgii,1/2/2023,-18,-27.9,-22.7,-18,-35,-26.4,-25.6,77,0.3,100,4.17,snow,0,3.9,12.6,7.2,240,1043.7,65.2,21.8,44,3.8,2,10,2023-01-02T08:46:07,2023-01-02T17:05:24,0.34,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"44215099999,remote"
Olgii,1/3/2023,-19.1,-29.1,-25.3,-21.3,-38.3,-30.3,-28.1,77.2,0,0,0,,0,3.4,16.2,10.8,223.2,1040.9,60,23.2,48.5,4.3,2,10,2023-01-03T08:46:02,2023-01-03T17:06:26,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44215099999,remote"
Olgii,1/4/2023,-13,-27,-21.6,-15.2,-35.1,-26.9,-24.8,75.5,0,0,0,,0,3.1,24.1,11.9,224.6,1030.7,87.3,23.6,53.2,4.7,3,10,2023-01-04T08:45:54,2023-01-04T17:07:30,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44215099999,remote"
Olgii,1/5/2023,-8.6,-22.3,-16.1,-16,-31.6,-24.4,-23.3,55.5,0,0,0,,0,3.2,57.6,36,253.1,1027.6,51.9,23.2,51.5,4.5,2,10,2023-01-05T08:45:43,2023-01-05T17:08:36,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44215099999,remote"
Olgii,1/6/2023,-0.3,-21.4,-13.1,-5.4,-29.9,-19.4,-18.8,63.6,0,0,0,,0,3.5,36,21.6,231.3,1020.2,40.4,23.6,61.5,5.3,3,10,2023-01-06T08:45:28,2023-01-06T17:09:45,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44215099999,remote"
Olgii,1/7/2023,0.9,-17.6,-9.4,-3.9,-24.6,-14.7,-15.2,64.1,0,0,0,,0,4.3,50.4,25.2,251.7,1018.6,41.1,23.6,67.4,5.7,3,10,2023-01-07T08:45:11,2023-01-07T17:10:56,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44215099999,remote"
Olgii,1/8/2023,-1.3,-17.9,-12.2,-6.6,-25.1,-17.7,-16.8,69.6,0,0,0,,0,4.9,24.8,18,234.5,1024.7,27.4,23.6,69.3,6,3,10,2023-01-08T08:44:51,2023-01-08T17:12:08,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44215099999,remote"
Olgii,1/9/2023,-5.4,-18.2,-13,-6.3,-26,-18.5,-16.9,73.1,0,0,0,,0,5.3,23.8,14.4,224.7,1023.8,55.1,23.6,61.9,5.2,3,10,2023-01-09T08:44:28,2023-01-09T17:13:23,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44215099999,remote"
Olgii,1/10/2023,-3.9,-18.1,-12.6,-7.3,-26.2,-17.9,-16.3,74.1,0,0,0,,0,5.6,25.9,13.3,229.2,1016.4,34,23.6,71.1,6.2,3,10,2023-01-10T08:44:02,2023-01-10T17:14:39,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44215099999,remote"
Olgii,1/11/2023,-4.3,-17.8,-11.7,-10.2,-28.2,-19.7,-19.7,54.9,0,0,0,,0,4.4,64.8,36,275.3,1012.9,44.7,23.2,72,6.1,3,10,2023-01-11T08:43:33,2023-01-11T17:15:57,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44215099999,remote"
Olgii,1/12/2023,-18.6,-29.1,-23.5,-26.4,-38.3,-31.9,-33,42.3,0,0,0,,0,3.8,43.2,28.8,278.9,1044.5,19.5,23.6,75,6.6,3,10,2023-01-12T08:43:01,2023-01-12T17:17:17,0.68,Clear,Clear conditions throughout the day.,clear-day,"44215099999,remote"
Olgii,1/13/2023,-18.1,-37.1,-27.6,-23,-48.1,-35.3,-35.8,48,0,0,0,,0,3.6,46.8,25.2,239.7,1051.9,6.4,23.6,78.4,6.8,4,10,2023-01-13T08:42:26,2023-01-13T17:18:39,0.71,Clear,Clear conditions throughout the day.,clear-day,"44215099999,remote"
Olgii,1/14/2023,-12.9,-32.5,-23.9,-20,-42.1,-32,-31.6,51.1,0,0,0,,0,3,54,32.4,251.6,1046.3,33.8,23.6,76.8,6.8,3,10,2023-01-14T08:41:49,2023-01-14T17:20:02,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44215099999,remote"
Olgii,1/15/2023,-11.3,-27.6,-19.3,-19.3,-36.4,-27.6,-26.3,55.3,0,0,0,,0,2.9,57.6,39.6,251.6,1035,64,23.6,56.9,4.9,3,10,2023-01-15T08:41:08,2023-01-15T17:21:27,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44215099999,remote"
Olgii,1/16/2023,-9.8,-23.8,-17.3,-16.4,-32.5,-24.3,-24.9,52.4,0,0,0,,0,2.9,57.6,32.4,255.8,1036.3,37.9,23.6,78.2,6.9,4,10,2023-01-16T08:40:25,2023-01-16T17:22:53,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44215099999,remote"
Olgii,1/17/2023,-7.3,-24.3,-14.9,-16.8,-33.1,-22.9,-23.6,48.2,0,0,0,,0,2.9,68.4,43.2,261.6,1028.9,60.5,23.6,71.3,6.2,4,10,2023-01-17T08:39:40,2023-01-17T17:24:20,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44215099999,remote"
