name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Pailin,2023-01-01,32,17.6,24.2,32.4,17.6,24.4,17,66.2,0,0,0,,0,0,40,27.7,34,1015,46.2,14.8,226.7,19.5,8,10,2023-01-01T06:31:28,2023-01-01T17:54:24,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VTBO,48557899999,48481099999,remote,48480099999"
Pailin,2023-01-02,30,20.5,24.7,31.3,20.5,25,18.3,68.5,0,0,0,,0,0,37.1,22.3,38.9,1015.4,86.4,14.9,135.9,11.8,7,10,2023-01-02T06:31:51,2023-01-02T17:54:58,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VTBO,48557899999,48481099999,remote,48480099999"
Pailin,2023-01-03,33,19.9,26,34.6,19.9,26.6,18.8,66.3,0,0,0,,0,0,43.2,33.5,36.5,1014.5,44.4,14.8,204.2,17.8,8,10,2023-01-03T06:32:13,2023-01-03T17:55:32,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VTBO,48557899999,48481099999,remote,48480099999"
Pailin,2023-01-04,33,21.1,26.4,35.3,21.1,27.1,18.9,64.7,0,0,0,,0,0,39.2,24.1,41.6,1014.1,64.7,14.8,219.2,18.8,8,10,2023-01-04T06:32:35,2023-01-04T17:56:06,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VTBO,48557899999,48481099999,remote,48480099999"
Pailin,2023-01-05,31,20.6,25.8,32.4,20.6,26.4,19.2,68,0,0,0,,0,0,43.9,31.7,34.8,1013.6,77.8,15.1,205.5,17.7,8,10,2023-01-05T06:32:55,2023-01-05T17:56:40,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VTBO,48557899999,48481099999,remote,48480099999"
Pailin,2023-01-06,29,22.2,25.4,29.8,22.2,25.8,19,67.9,0,0,0,,0,0,51.8,27.7,32.2,1013.9,92.9,14.7,94.2,8.1,4,10,2023-01-06T06:33:15,2023-01-06T17:57:14,0.47,Overcast,Cloudy skies throughout the day.,cloudy,"VTBO,48557899999,48481099999,remote,48480099999"
Pailin,2023-01-07,27,18.6,23,27.3,18.6,23,17.1,70.2,1.89,100,8.33,rain,0,0,46.4,27.7,38.9,1013.8,92.5,14.4,42.1,3.6,2,10,2023-01-07T06:33:33,2023-01-07T17:57:47,0.5,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"VTBO,48557899999,48481099999,remote,48480099999"
Pailin,2023-01-08,30,20.8,25,31.3,20.8,25.4,17.9,65.6,0.097,100,4.17,rain,0,0,34.9,24.1,33.1,1012.7,92.8,14.2,132.2,11.5,5,10,2023-01-08T06:33:51,2023-01-08T17:58:21,0.54,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"VTBO,48557899999,48481099999,remote,48480099999"
Pailin,2023-01-09,33.3,22.7,27.3,36.8,22.7,28.5,20.4,67.5,0,0,0,,0,0,34.2,27.7,35.7,1012.7,70.1,14.6,191.1,16.6,7,10,2023-01-09T06:34:08,2023-01-09T17:58:55,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VTBO,48557899999,48481099999,remote,48480099999"
Pailin,2023-01-10,30,23.3,26,33.3,23.3,27,22.2,80.6,5.3,100,45.83,rain,0,0,31.3,25.9,38.7,1012,91.4,14.7,71.8,6.1,3,10,2023-01-10T06:34:24,2023-01-10T17:59:29,0.61,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"VTBO,48557899999,48481099999,remote,48480099999"
