name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Panopa,2023-01-01,32,23.5,27.3,34.7,23.5,28.7,22,74.5,0.2,100,4.17,rain,0,0,48.2,13,299.9,1011,98.1,24.1,261.8,22.6,9,10,2023-01-01T05:31:30,2023-01-01T17:45:37,0.3,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,remote
Panopa,2023-01-02,32.7,24.1,27.7,35.9,24.1,29.4,22.6,75.6,0.1,100,4.17,rain,0,0,43.2,15.1,288,1010.8,99.5,24.1,239.9,20.7,8,30,2023-01-02T05:31:59,2023-01-02T17:46:04,0.34,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,remote
Panopa,2023-01-03,30.3,24.2,26.1,35.1,24.2,27.1,23,83.4,3.4,100,37.5,rain,0,0,43.9,15.8,287.5,1010.8,98.7,23.4,191.9,16.6,7,30,2023-01-03T05:32:28,2023-01-03T17:46:31,0.37,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,remote
Panopa,2023-01-04,31.3,23.4,26.3,35.4,23.4,27.5,22.5,80.9,2.6,100,37.5,rain,0,0,47.5,14.8,288.2,1010.2,99.1,23.9,200.9,17.5,7,10,2023-01-04T05:32:56,2023-01-04T17:46:57,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Panopa,2023-01-05,29.5,22.7,25.6,34.1,22.7,26.8,23.1,87,2.5,100,37.5,rain,0,0,40.7,15.5,268.1,1010.3,98.9,19.5,191,16.5,8,60,2023-01-05T05:33:25,2023-01-05T17:47:23,0.44,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,remote
Panopa,2023-01-06,29.8,23.7,25.8,34.6,23.7,27.2,23.8,88.8,3.5,100,62.5,rain,0,0,38.9,14.4,271.2,1010.8,99.6,21.4,143,12.4,5,60,2023-01-06T05:33:53,2023-01-06T17:47:48,0.47,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Panopa,2023-01-07,29.9,22.8,25.7,36.3,22.8,27.4,23.4,87.6,6.6,100,41.67,rain,0,0,33.5,14,270.7,1009.6,94.6,22.1,211.6,18.4,8,60,2023-01-07T05:34:20,2023-01-07T17:48:13,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Panopa,2023-01-08,29.2,22.6,25.4,33,22.6,26.6,23.1,87.8,10.2,100,37.5,rain,0,0,31.3,11.9,282.6,1011,99.2,21.1,188,16.2,8,60,2023-01-08T05:34:47,2023-01-08T17:48:37,0.54,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,remote
Panopa,2023-01-09,30.7,22.8,25.5,35.2,22.8,26.6,23.1,87.5,7.1,100,41.67,rain,0,0,29.5,10.8,294.9,1011.9,99,21.8,197.9,17.1,8,60,2023-01-09T05:35:14,2023-01-09T17:49:01,0.58,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Panopa,2023-01-10,30.3,22.9,26,35.3,22.9,27.8,23.6,87.1,2.6,100,45.83,rain,0,0,25.2,7.9,248.1,1011.8,96.4,23.3,177.1,15.3,7,30,2023-01-10T05:35:41,2023-01-10T17:49:24,0.61,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
