name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Phnom Penh,2023-01-01,28.1,23.1,25.4,29.2,23.1,25.7,19.2,68.9,0,0,0,,0,0,43.6,19.5,27.3,1013.8,57.5,9.8,181.4,15.7,7,10,2023-01-01T06:20:04,2023-01-01T17:47:37,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48992099999,VDPP,48991099999,48997099999"
Phnom Penh,2023-01-02,28.3,24.2,25.8,30.2,24.2,26.3,20.3,72.1,0.3,100,8.33,rain,0,0,32.8,18,32.4,1014.1,69,9.5,182.4,15.9,7,10,2023-01-02T06:20:28,2023-01-02T17:48:10,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48992099999,VDPP,48991099999,48997099999"
Phnom Penh,2023-01-03,31.2,24.1,27.3,34.5,24.1,28.8,21.1,69.4,0,0,0,,0,0,45,19.5,34.5,1013.2,25,9.8,193.1,16.8,8,10,2023-01-03T06:20:51,2023-01-03T17:48:44,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48992099999,VDPP,48991099999,48997099999"
Phnom Penh,2023-01-04,29.9,24.9,27.3,31.8,24.9,28.3,19.8,64.1,0,0,0,,0,0,42.5,24.9,26,1012.9,38.5,9.7,136.9,11.8,5,10,2023-01-04T06:21:13,2023-01-04T17:49:17,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48992099999,VDPP,48991099999,48997099999"
Phnom Penh,2023-01-05,29,24.2,26.7,30.8,24.2,27.6,20.7,70.2,0,0,0,,0,0,42.5,20.5,34.8,1012.6,53.2,9.8,117.9,10.3,5,10,2023-01-05T06:21:34,2023-01-05T17:49:50,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48992099999,VDPP,48991099999,48997099999"
Phnom Penh,2023-01-06,27.2,22.6,24.9,28.6,22.6,25.1,19.8,74,2.4,100,33.33,rain,0,0,43.9,24.5,39.2,1012.8,62.7,9.1,121.6,10.5,7,10,2023-01-06T06:21:54,2023-01-06T17:50:23,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48992099999,VDPP,48991099999,48997099999"
Phnom Penh,2023-01-07,24.9,22.9,23.9,24.9,22.9,23.9,18.5,72,12,100,83.33,rain,0,0,50.8,23,29.2,1012,69,9.6,77.6,6.9,3,10,2023-01-07T06:22:14,2023-01-07T17:50:56,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48992099999,VDPP,48991099999,48997099999"
Phnom Penh,2023-01-08,27.3,23,25.1,28.6,23,25.5,19.7,72.1,2.9,100,45.83,rain,0,0,33.1,21.6,34.6,1011.6,52,10,131.2,11.3,6,10,2023-01-08T06:22:32,2023-01-08T17:51:29,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48992099999,VDPP,48991099999,48997099999"
Phnom Penh,2023-01-09,30,23.8,26.8,33.4,23.8,28.4,22.1,76.7,7.2,100,45.83,rain,0,0,28.1,18,30.1,1011.8,53.1,10.1,103.2,8.9,5,10,2023-01-09T06:22:50,2023-01-09T17:52:02,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48992099999,VDPP,48991099999,48997099999"
Phnom Penh,2023-01-10,27.9,24,25.4,32.1,24,26.1,24.7,95.8,43.8,100,100,rain,0,0,26.6,13.7,120.5,1011.2,80.5,8.6,40.3,3.6,2,10,2023-01-10T06:23:07,2023-01-10T17:52:35,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48992099999,VDPP,48991099999,48997099999"
Phnom Penh,2023-01-11,29.2,23.9,25.6,34.8,23.9,26.7,24.3,92.9,8.2,100,91.67,rain,0,0,28.4,10.6,102.9,1010.5,75.4,9.4,81.3,6.9,3,10,2023-01-11T06:23:23,2023-01-11T17:53:08,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48992099999,VDPP,48991099999,48997099999"
Phnom Penh,2023-01-12,29.4,23.9,25.5,36,23.9,26.6,24.6,95.2,9.1,100,75,rain,0,0,24.5,10.8,193.4,1010.6,69.1,10.2,134,11.5,7,10,2023-01-12T06:23:38,2023-01-12T17:53:40,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48992099999,VDPP,48991099999,48997099999"
Phnom Penh,2023-01-13,31.4,24,27,37.5,24,29.7,24.3,86,0.8,100,33.33,rain,0,0,21.2,11,237,1010.7,55.2,10,194,16.6,7,30,2023-01-13T06:23:52,2023-01-13T17:54:13,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VDPP,48991099999,48997099999"
Phnom Penh,2023-01-14,32.9,24.7,28.5,38.2,24.7,30.8,23.2,75.1,0,0,0,rain,0,0,17.3,7.6,327.7,1008.9,39.8,9.6,218.8,19.2,8,30,2023-01-14T06:24:05,2023-01-14T17:54:45,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VDPP,48991099999"
Phnom Penh,2023-01-15,32,24.7,28.1,36.2,24.7,29.9,22.5,73.4,0,0,0,,0,0,20.9,9.9,346.9,1008.2,35.7,10.2,216.7,18.7,8,10,2023-01-15T06:24:17,2023-01-15T17:55:16,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VDPP,48991099999,48997099999"
Phnom Penh,2023-01-16,32.6,24.6,28.2,37,24.6,31.1,23.6,77.3,0.3,100,8.33,rain,0,0,20.5,10.8,60.9,1010,37.5,9.5,199.2,17.3,8,10,2023-01-16T06:24:28,2023-01-16T17:55:48,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VDPP,48991099999"
Phnom Penh,2023-01-17,30.8,23.4,27.2,33.3,23.4,29.1,22.2,74.9,0,0,0,,0,0,26.6,9.9,50.2,1011.6,34.4,9.6,240.7,20.7,8,10,2023-01-17T06:24:38,2023-01-17T17:56:19,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VDPP,48991099999"
Phnom Penh,2023-01-18,30.8,23,27,31.3,23,27.7,19.1,63.1,0,0,0,,0,0,39.2,24.9,44.6,1013.1,36.6,9.5,237,20.5,9,10,2023-01-18T06:24:47,2023-01-18T17:56:49,0.88,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"VDPP,48991099999"
Phnom Penh,2023-01-19,30.1,23.8,26.8,31.1,23.8,27.5,18.9,62.6,0,0,0,,0,0,36.7,22.7,33.6,1012.6,40.6,9.5,231.4,19.9,8,10,2023-01-19T06:24:55,2023-01-19T17:57:20,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VDPP,48991099999,48997099999"
