name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Primorsky,2023-01-01,-6.1,-22.5,-12.6,-12,-28.7,-18.2,-20.1,56.4,0,0,0,,0,0.2,68.4,42.6,316.3,1023.8,9.5,21,90.1,7.9,4,10,2023-01-01T08:44:16,2023-01-01T17:47:25,0.3,Clear,Clear conditions throughout the day.,clear-day,"31960099999,UHWW,3FSP9,31974199999"
Primorsky,2023-01-02,-9,-27,-17,-9.7,-32.7,-21.1,-24.5,55.2,0,0,0,,0,0.2,57.6,24.9,303,1026.6,0,19.8,94.8,8.2,4,10,2023-01-02T08:44:21,2023-01-02T17:48:17,0.33,Clear,Clear conditions throughout the day.,clear-day,"31960099999,UHWW,3FSP9,31974199999"
Primorsky,2023-01-03,-7,-28,-12.8,-11.6,-28,-18.1,-21.7,49.1,0,0,0,,0,0.2,46.8,21.5,333.5,1024,0.4,23.1,95.2,8.3,4,10,2023-01-03T08:44:23,2023-01-03T17:49:11,0.37,Clear,Clear conditions throughout the day.,clear-day,"31960099999,UHWW,3FSP9,31974199999"
Primorsky,2023-01-04,-7,-20,-11.5,-7.8,-25.8,-17.3,-21.1,46,0,0,0,,0,0.2,41.4,26.7,339.4,1025.9,1.2,23.1,96.1,8.4,4,10,2023-01-04T08:44:23,2023-01-04T17:50:07,0.4,Clear,Clear conditions throughout the day.,clear-day,"31960099999,UHWW,3FSP9,31974199999"
Primorsky,2023-01-05,-5.2,-29,-15,-6.2,-36.2,-17.6,-22,58.6,0,0,0,,0,0.2,22.7,14.4,277.7,1026.6,0,21.7,96.8,8.4,4,10,2023-01-05T08:44:21,2023-01-05T17:51:04,0.44,Clear,Clear conditions throughout the day.,clear-day,"31960099999,UHWW,3FSP9,31974199999"
Primorsky,2023-01-06,-4,-27,-15.1,-4,-27,-16.1,-20.4,67,0,0,0,,0,0.2,31.3,18.7,341.4,1021.8,1.2,19.3,92.6,7.9,4,10,2023-01-06T08:44:16,2023-01-06T17:52:04,0.47,Clear,Clear conditions throughout the day.,clear-day,"31960099999,UHWW,3FSP9,31974199999"
Primorsky,2023-01-07,-8,-19,-13.6,-14.9,-26.3,-21.1,-18.3,68.7,0,0,0,,0,0.2,46.8,35.6,328.9,1019,21.5,15.5,83.2,7.1,4,10,2023-01-07T08:44:09,2023-01-07T17:53:04,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"31960099999,UHWW,3FSP9,31974199999"
Primorsky,2023-01-08,-5.9,-26,-13.8,-7,-26,-16.7,-17.9,71.9,0,0,0,,0,0.2,40.3,21.4,352.9,1021.8,25.2,10.7,91.5,7.9,4,10,2023-01-08T08:43:59,2023-01-08T17:54:06,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"31960099999,UHWW,3FSP9,31974199999"
Primorsky,2023-01-09,-5,-16.9,-8.7,-9,-20.3,-14.2,-14.4,64.9,0.2,100,4.17,snow,0,0.2,54,28.8,340.4,1022.1,19.6,15.5,99.3,8.6,4,10,2023-01-09T08:43:47,2023-01-09T17:55:10,0.57,Snow,Clear conditions throughout the day with early morning snow.,snow,"31960099999,UHWW,3FSP9,31974199999"
Primorsky,2023-01-10,-3.2,-20,-10.4,-5,-25.8,-15.6,-16.7,60.9,0,0,0,,0,0.2,49.7,29.1,85.9,1026.4,14.1,22.8,96.8,8.3,4,10,2023-01-10T08:43:32,2023-01-10T17:56:15,0.6,Clear,Clear conditions throughout the day.,clear-day,"31960099999,UHWW,3FSP9,31974199999"
