name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Qarshi,2023-01-01,1.9,-1,0.1,1.9,-3.8,-1,-0.1,98.8,0,0,0,,0,0,17.3,7.6,66.6,1032.7,100,1.5,113.2,9.6,5,10,2023-01-01T07:55:22,2023-01-01T17:25:12,0.3,Overcast,Cloudy skies throughout the day.,cloudy,"UTSK,38141799999,38812099999"
Qarshi,2023-01-02,6,-4,1.1,3.6,-4,-0.7,-0.3,91.8,0,0,0,,0,0,21.2,14.8,195.9,1033.1,50.7,3.7,111.3,9.5,5,10,2023-01-02T07:55:30,2023-01-02T17:26:01,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-03,7,-3,3,7,-6.9,0.5,-0.9,77.1,0.4,100,8.33,rain,0,0,31,18.3,166.6,1031.8,36.9,5,51.5,4.4,2,10,2023-01-03T07:55:36,2023-01-03T17:26:51,0.37,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"UTSK,38141799999,38812099999"
Qarshi,2023-01-04,16,6,9.6,16,4.4,8.7,-1.1,49.7,0.9,100,16.67,rain,0,0,24.1,13.2,91.8,1028.8,39.7,10,106.8,9.2,5,10,2023-01-04T07:55:40,2023-01-04T17:27:42,0.41,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"UTSK,38141799999,38812099999"
Qarshi,2023-01-05,18.9,1.9,9.5,18.9,-1.2,8.4,-1.3,51.3,0,0,0,,0,0,35.3,22.3,144.3,1018.2,30.2,9.8,110.8,9.7,5,10,2023-01-05T07:55:42,2023-01-05T17:28:35,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-06,12,8,9.3,12,5.5,8.4,1.7,60.1,1,100,20.83,rain,0,0,27,14.8,103.4,1021.1,35.1,7.2,50.7,4.3,3,10,2023-01-06T07:55:42,2023-01-06T17:29:30,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"UTSK,38141799999,38812099999"
Qarshi,2023-01-07,20,6,12.5,20,4.2,11.6,2.1,52.4,1,100,29.17,rain,0,0,47.9,40.9,164,1015.5,32.6,9.6,100.4,8.7,4,10,2023-01-07T07:55:39,2023-01-07T17:30:25,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"UTSK,38141799999,38812099999"
Qarshi,2023-01-08,15.1,5.1,10.4,15.1,2.3,9.7,2.1,57.8,0,0,0,,0,0,24.1,14.8,350.5,1017.9,38.3,10,100.8,8.7,4,10,2023-01-08T07:55:35,2023-01-08T17:31:22,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-09,8,1.9,4.3,6,-1.9,2.2,1.3,82,7.1,100,54.17,rain,0,0,43.6,18.4,329.5,1023.4,44.2,9.2,81.7,7,3,10,2023-01-09T07:55:28,2023-01-09T17:32:20,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"UTSK,38141799999,38812099999"
Qarshi,2023-01-10,2,-8,-4.1,-1.9,-14.3,-9.2,-6,86.9,12,100,58.33,"rain,snow",9.6,5.5,32,29.1,308.7,1030.4,95.6,7.5,73.4,6.2,4,10,2023-01-10T07:55:19,2023-01-10T17:33:18,0.61,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"UTSK,38141799999,38812099999"
Qarshi,2023-01-11,-8,-18.8,-13,-12,-21.6,-17.4,-15.8,79.9,0,0,0,,0,7.4,19.4,18.4,294.9,1040.8,29.6,8.7,134.3,11.5,6,10,2023-01-11T07:55:08,2023-01-11T17:34:18,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-12,-13,-20.9,-17.5,-13,-26.1,-19.2,-19.7,83,0,0,0,,0,7,11.5,11.2,131.2,1046.7,2.1,3.6,127.6,11.1,5,10,2023-01-12T07:54:55,2023-01-12T17:35:19,0.68,Clear,Clear conditions throughout the day.,clear-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-13,-13,-21,-16.8,-13,-21.7,-17.7,-19.2,81.7,0,0,0,,0,6.5,15.1,11.2,101.2,1045,44,5.1,131.1,11.5,6,10,2023-01-13T07:54:40,2023-01-13T17:36:21,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-14,-8,-21,-15.3,-8,-28.9,-19.2,-19.6,70.9,0,0,0,,0,6.3,14.8,11.2,78.6,1038.9,6.8,5.9,137.3,12,6,10,2023-01-14T07:54:23,2023-01-14T17:37:23,0.75,Clear,Clear conditions throughout the day.,clear-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-15,-7,-21,-14.3,-7,-28.9,-17.8,-19,68.1,0,0,0,,0,6.2,18,14.5,69.9,1035,0,6.5,138.7,12,6,10,2023-01-15T07:54:03,2023-01-15T17:38:27,0.75,Clear,Clear conditions throughout the day.,clear-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-16,-0.4,-18,-11.2,-0.4,-25.3,-14.6,-16.3,68.6,0,0,0,,0,6.1,18,11.2,83.4,1028.6,0,5.5,141.3,12.3,6,10,2023-01-16T07:53:42,2023-01-16T17:39:31,0.81,Clear,Clear conditions throughout the day.,clear-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-17,3,-15.1,-8.4,0,-22.9,-12.7,-14.3,64.9,0,0,0,,0,5.2,16.9,14.8,73,1027.4,0,6.8,141,12.2,6,10,2023-01-17T07:53:18,2023-01-17T17:40:36,0.85,Clear,Clear conditions throughout the day.,clear-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-18,2.1,-11.1,-5.8,2.1,-17.8,-8.2,-10.9,69,0,0,0,,0,4.9,17.6,14.4,52.4,1024.1,35.8,6.2,122.8,10.8,5,10,2023-01-18T07:52:53,2023-01-18T17:41:41,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-19,1,-9,-3.7,1,-13.2,-4.1,-7.7,75.4,0,0,0,,0,3.5,14.8,7.6,138.5,1027.4,25.1,5.7,103,8.9,4,10,2023-01-19T07:52:25,2023-01-19T17:42:48,0.91,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-20,3.9,-7.1,-3.8,3.9,-12.1,-4.9,-7.3,78.4,0,0,0,,0,0.9,15.1,11.2,91.3,1030,5.7,3,128.7,11.3,5,10,2023-01-20T07:51:56,2023-01-20T17:43:54,0.95,Clear,Clear conditions throughout the day.,clear-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-21,3,-9.1,-4.3,3,-13.2,-5.8,-8.4,74.9,0,0,0,,0,1.1,15.5,7.6,103.4,1030.8,10.9,4.6,131,11.3,5,10,2023-01-21T07:51:24,2023-01-21T17:45:01,0.98,Clear,Clear conditions throughout the day.,clear-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-22,-1,-10,-5.6,-1,-14.3,-7.1,-8.1,82.2,0,0,0,,0,1.6,20.5,11.1,146.1,1031.3,4.7,2.8,110.9,9.6,4,10,2023-01-22T07:50:50,2023-01-22T17:46:09,0,Clear,Clear conditions throughout the day.,clear-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-23,1,-10,-5.2,1,-16.7,-7.9,-8.8,77,0,0,0,,0,3.1,21.2,14.8,114.3,1032.3,18.9,4.6,122.9,10.6,5,10,2023-01-23T07:50:15,2023-01-23T17:47:17,0.05,Clear,Clear conditions throughout the day.,clear-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-24,1,-10,-5.1,1,-14.3,-6.2,-8.8,76.1,0,0,0,,0,3,18.7,10.9,124.4,1031.5,1.1,6.5,135,11.6,6,10,2023-01-24T07:49:37,2023-01-24T17:48:25,0.08,Clear,Clear conditions throughout the day.,clear-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-25,1,-10,-4.9,1,-14.3,-6.4,-8.7,75.6,0,0,0,,0,1.7,20.9,7.6,92.4,1031.2,2.9,7.5,135.3,11.7,6,10,2023-01-25T07:48:58,2023-01-25T17:49:34,0.11,Clear,Clear conditions throughout the day.,clear-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-26,2,-9,-3.9,0,-13.3,-6.4,-8,74.2,0,0,0,,0,1.2,19.8,14.8,41.4,1029.9,4,6.9,142.6,12.2,6,10,2023-01-26T07:48:17,2023-01-26T17:50:43,0.15,Clear,Clear conditions throughout the day.,clear-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-27,5,-8.1,-2.3,5,-14.2,-4.3,-6.4,74.2,0,0,0,,0,0.8,19.1,14.7,62,1028.3,1.8,5.7,143.8,12.4,6,10,2023-01-27T07:47:34,2023-01-27T17:51:52,0.18,Clear,Clear conditions throughout the day.,clear-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-28,6,-6,-0.2,6,-9.7,-2.3,-5.5,70.2,0,0,0,,0,1.4,24.1,18.4,17.3,1022.3,11.1,5.4,146.4,12.6,6,10,2023-01-28T07:46:49,2023-01-28T17:53:02,0.25,Clear,Clear conditions throughout the day.,clear-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-29,8,-3,1.6,7.9,-5.4,0.4,-2.8,74.3,0,0,0,,0,1.5,19.1,11.2,141.8,1016.3,28.8,6.3,142.1,12.3,6,10,2023-01-29T07:46:02,2023-01-29T17:54:11,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"UTSK,38141799999,38812099999"
Qarshi,2023-01-30,11,-0.1,4.8,11,-4.4,2.3,-0.2,71.6,0.4,100,12.5,rain,0,1.4,36.7,25.5,123.6,1016.3,55.9,8.4,101.2,8.7,5,10,2023-01-30T07:45:13,2023-01-30T17:55:21,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"UTSK,38141799999,38812099999"
Qarshi,2023-01-31,16,4.9,9.6,16,2.4,8.5,2.9,65.2,0.4,100,16.67,rain,0,0.6,35.3,25.9,133.8,1017.2,51.5,10,134.9,11.8,5,10,2023-01-31T07:44:23,2023-01-31T17:56:31,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"UTSK,38141799999,38812099999"
Qarshi,2023-02-01,19,11,14.1,19,11,14.1,4.7,54.4,2.9,100,50,rain,0,0,59.4,37.1,124.9,1009.8,65.3,10,33.1,3,2,10,2023-02-01T07:43:31,2023-02-01T17:57:41,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"UTSK,38141799999,38812099999"
Qarshi,2023-02-02,12.7,7,9.2,12.7,5,8.2,7.2,88.4,2.3,100,37.5,rain,0,0,45.7,29.5,196.8,1014.5,86.4,10,70.7,6,3,10,2023-02-02T07:42:38,2023-02-02T17:58:50,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"UTSK,38141799999,38812099999"
Qarshi,2023-02-03,12,5,8.5,12,1.7,6.8,6.1,85.3,6.4,100,54.17,rain,0,0,39.2,22.3,127.8,1015.3,52.4,10,69.4,6,3,10,2023-02-03T07:41:43,2023-02-03T18:00:00,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"UTSK,38141799999,38812099999"
Qarshi,2023-02-04,15,3,8.6,15,1.7,7.4,5.7,83.3,0.1,100,4.17,rain,0,0,50.8,25.9,219.8,1019.7,28.3,8.8,141.3,12.3,6,10,2023-02-04T07:40:46,2023-02-04T18:01:10,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"UTSK,38141799999,38812099999"
Qarshi,2023-02-05,13,2.9,7.9,13,0.9,6.2,2.8,74.6,0.4,100,12.5,rain,0,0,34.2,25.9,3.6,1016.4,72.8,6.1,129,11.2,6,10,2023-02-05T07:39:47,2023-02-05T18:02:20,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"UTSK,38141799999,38812099999"
Qarshi,2023-02-06,14,0.9,7.6,14,-1.5,6.3,0.4,65,0.7,100,8.33,rain,0,0,26.6,18,151.5,1019.7,37.5,10,141.8,12.2,6,10,2023-02-06T07:38:47,2023-02-06T18:03:29,0.52,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"UTSK,38141799999,38812099999"
Qarshi,2023-02-07,18,2,9.6,18,-1.9,7.9,-1.6,50.9,0,0,0,,0,0,25.2,18.4,64.1,1015.6,19.7,10,164,14,6,10,2023-02-07T07:37:46,2023-02-07T18:04:39,0.55,Clear,Clear conditions throughout the day.,clear-day,"UTSK,38141799999,38812099999"
