name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Quetta,1/1/2023,8.6,-2.4,2.9,6.1,-3.7,1.7,-3.4,66.6,0,0,0,,0,0,40.7,18.4,294.5,1025.8,9.1,5.6,170,14.7,7,,2023-01-01T07:28:24,2023-01-01T17:42:25,0.3,Clear,Clear conditions throughout the day.,clear-day,"remote,41660099999"
Quetta,1/2/2023,8.1,-2.4,2.2,5.1,-3.7,0.8,-4.8,61.7,0,0,0,,0,0,35.3,22.3,290,1026.6,4.4,7,173.2,15,7,,2023-01-02T07:28:38,2023-01-02T17:43:08,0.34,Clear,Clear conditions throughout the day.,clear-day,"remote,41660099999"
Quetta,1/3/2023,8.1,-3.4,2.1,6,-6.6,0.7,-5.2,61,0,0,0,,0,0,32.4,22.3,305.5,1028.9,0,7,174.6,15,7,,2023-01-03T07:28:50,2023-01-03T17:43:52,0.37,Clear,Clear conditions throughout the day.,clear-day,"remote,41660099999"
Quetta,1/4/2023,8.9,-3.9,2.6,8.9,-5.4,1.9,-6,55.6,0,0,0,,0,0,17.3,11.2,296.7,1026.6,0,7,176.6,15.2,7,,2023-01-04T07:29:01,2023-01-04T17:44:36,0.41,Clear,Clear conditions throughout the day.,clear-day,"remote,41660099999"
Quetta,1/5/2023,15.1,-0.7,5.5,15.1,-2.5,4.2,-9.3,40.1,0,0,0,,0,0,26.6,29.5,124.6,1024.1,19.3,7,171.3,14.7,7,,2023-01-05T07:29:11,2023-01-05T17:45:21,0.44,Clear,Clear conditions throughout the day.,clear-day,"remote,41660099999"
Quetta,1/6/2023,15.1,0.8,7.3,15.1,-1.3,6,-10.8,29.1,0,0,0,,0,0,23.4,29.5,126.6,1023.2,79.6,4.4,145.1,12.4,5,,2023-01-06T07:29:19,2023-01-06T17:46:07,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41660099999"
Quetta,1/7/2023,16.1,0.6,7.8,16.1,-1.8,6.7,-4.3,44.2,1.6,100,25,"rain,snow",0,0,28.4,25.9,149,1021.9,55.1,4.7,109.7,9.5,4,,2023-01-07T07:29:25,2023-01-07T17:46:54,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"remote,41660099999"
Quetta,1/8/2023,13.1,2.2,7.7,13.1,0.6,6.7,3.1,73.2,11.3,100,83.33,rain,0,0,53.3,25.9,172,1020.5,85.7,2,89.3,7.9,4,,2023-01-08T07:29:29,2023-01-08T17:47:42,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,41660099999"
Quetta,1/9/2023,13.6,2.5,7.8,13.6,2.5,7.6,1.5,67.3,0,0,0,,0,0,25.6,18.4,243.9,1021.8,52.4,6.4,152.2,13.1,6,,2023-01-09T07:29:32,2023-01-09T17:48:30,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41660099999"
Quetta,1/10/2023,15.6,0.7,7.6,15.6,-0.6,7.1,-1.4,56.2,0,0,0,,0,0,32.4,33.5,180.2,1020.2,35,7,170.2,14.5,7,,2023-01-10T07:29:33,2023-01-10T17:49:19,0.61,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"remote,41660099999"
