name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Rajshahi,2023-01-01,22.5,13.6,16.6,22.5,13.6,16.6,14.8,89.9,0.1,100,4.17,rain,0,0,16.9,7.9,20.9,1019,36.3,17.1,160.3,14,7,10,2023-01-01T06:49:20,2023-01-01T17:28:37,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41907099999,remote,42603099999,41895099999"
Rajshahi,2023-01-02,23.6,11.8,16.7,23.6,11.8,16.7,13.5,83.1,0,0,0,,0,0,23.4,10.8,347.6,1019.5,37.9,17.7,148.6,12.9,6,10,2023-01-02T06:49:37,2023-01-02T17:29:16,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41907099999,remote,42603099999,41895099999"
Rajshahi,2023-01-03,19.6,12.1,15.4,19.6,12.1,15.4,13.2,87.7,0,0,0,,0,0,29.5,13.3,330.7,1019.9,25.3,17.4,170.4,14.7,7,10,2023-01-03T06:49:53,2023-01-03T17:29:56,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41907099999,remote,42603099999,41895099999"
Rajshahi,2023-01-04,18.3,11.6,14.4,18.3,11.6,14.4,12.4,88,0,0,0,,0,0,25.6,13,318.5,1019.8,10.9,17.5,158.8,13.7,7,10,2023-01-04T06:50:08,2023-01-04T17:30:36,0.41,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,42603099999,41895099999"
Rajshahi,2023-01-05,20.3,11,14.3,20.3,11,14.3,12,86.4,0,0,0,,0,0,28.8,12.6,324.6,1020.5,8.4,17.5,177.7,15.4,7,10,2023-01-05T06:50:22,2023-01-05T17:31:17,0.44,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,42603099999,41895099999"
Rajshahi,2023-01-06,19.5,11.2,14.1,19.5,11.2,14.1,11.5,85.3,0,0,0,,0,0,31.3,14,317.8,1019.9,4.2,17.6,186.6,16.1,7,10,2023-01-06T06:50:34,2023-01-06T17:31:59,0.48,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,42603099999,41895099999"
Rajshahi,2023-01-07,19.9,10.1,14.1,19.9,10.1,14.1,11.6,85.5,0,0,0,,0,0,28.8,13.3,322.2,1017.8,8.4,17.8,185.5,16,7,10,2023-01-07T06:50:45,2023-01-07T17:32:41,0.5,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,42603099999,41895099999"
Rajshahi,2023-01-08,21.4,9.8,14.5,21.4,9.8,14.5,11.3,82.3,0,0,0,,0,0,23.4,13,321.2,1017.2,0,17.8,188,16.3,7,10,2023-01-08T06:50:54,2023-01-08T17:33:23,0.54,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,42603099999,41895099999"
Rajshahi,2023-01-09,25.1,10.9,16.3,25.1,10.9,16.3,12,77.8,0,0,0,,0,0,21.2,10.4,328.5,1018.1,0,17.8,188.5,16.4,7,10,2023-01-09T06:51:02,2023-01-09T17:34:06,0.58,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,42603099999,41895099999"
Rajshahi,2023-01-10,26.1,11.3,16.3,26.1,11.3,16.3,11,74.3,0,0,0,,0,0,24.8,10.1,325,1016.8,0,17.8,191.8,16.6,7,10,2023-01-10T06:51:09,2023-01-10T17:34:49,0.61,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,42603099999,41895099999"
Rajshahi,2023-01-11,20.6,8.1,14,20.6,8.1,14,10.6,81.9,0,0,0,,0,0,23.8,9.4,317.3,1015.1,3.3,17.7,192.3,16.6,7,10,2023-01-11T06:51:14,2023-01-11T17:35:33,0.64,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,42603099999,41895099999"
Rajshahi,2023-01-12,23.6,8.1,14.5,23.6,8.1,14.4,11.1,82,0,0,0,,0,0,18.4,7.9,308.6,1013.3,3.3,18.4,191.8,16.7,7,10,2023-01-12T06:51:18,2023-01-12T17:36:16,0.68,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,42603099999,41895099999"
Rajshahi,2023-01-13,25.4,10,16.7,25.4,10,16.7,12.7,78.8,0,0,0,,0,0,14,8.3,18.3,1013.7,0,17.8,187.5,16.3,7,10,2023-01-13T06:51:21,2023-01-13T17:37:00,0.71,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,42603099999,41895099999"
Rajshahi,2023-01-14,26.6,13.1,18.2,26.6,13.1,18.2,14.7,81.1,0,0,0,,0,0,15.1,7.2,355.9,1013,32.4,17.8,159.3,13.8,6,10,2023-01-14T06:51:22,2023-01-14T17:37:45,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41907099999,remote,42603099999,41895099999"
Rajshahi,2023-01-15,24.1,13.1,18.1,24.1,13.1,18.1,14.3,80.1,0,0,0,,0,0,30.6,14.4,295.6,1013.1,32.7,17.6,158.2,13.8,7,10,2023-01-15T06:51:21,2023-01-15T17:38:29,0.75,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"41907099999,remote,42603099999,41895099999"
Rajshahi,2023-01-16,21.1,12.1,15.7,21.1,12.1,15.7,12.2,80.8,0,0,0,,0,0,20.9,9.7,340.2,1015.4,53,17.7,152.1,13.2,6,10,2023-01-16T06:51:19,2023-01-16T17:39:13,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41907099999,remote,42603099999,41895099999"
Rajshahi,2023-01-17,21.4,10,14.5,21.4,10,14.5,10.2,77.8,0,0,0,,0,0,23.4,11.2,340.2,1016.2,0.7,17.7,194.1,16.9,7,10,2023-01-17T06:51:16,2023-01-17T17:39:58,0.85,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,42603099999,41895099999"
Rajshahi,2023-01-18,22,9,14.2,22,9,14.2,10.2,78.8,0,0,0,,0,0,21.6,7.9,335.8,1018.1,13,17.8,172.1,15,7,10,2023-01-18T06:51:11,2023-01-18T17:40:43,0.88,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,42603099999,41895099999"
