name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Ramallah,2023-01-01,15.6,10.4,12.4,15.6,10.4,12.4,6.4,66.9,0,0,0,,0,0,40.7,21.3,85.1,1022.5,72.4,9.3,82.5,7,3,,2023-01-01T06:39:35,2023-01-01T16:45:48,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40180099999,40183099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-02,14.5,9.9,11.2,14.5,8.3,11.1,5,65.7,0.011,100,4.17,rain,0,0,39.6,26.2,94.2,1022.4,61.6,9.4,57.9,4.8,5,,2023-01-02T06:39:48,2023-01-02T16:46:32,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-03,16.7,9.2,12,16.7,7.6,11.8,5.9,66.5,1.071,100,12.5,rain,0,0,28.8,19.1,89.9,1020.9,45.7,9.2,128,11,6,,2023-01-03T06:39:59,2023-01-03T16:47:16,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-04,16,8.5,11.8,16,7.6,11.8,5.7,66.8,0.119,100,8.33,rain,0,0,21.6,11.4,84.8,1019.4,60.4,9.3,66.7,5.8,4,,2023-01-04T06:40:09,2023-01-04T16:48:02,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-05,17.4,9.2,12.3,17.4,7.6,12,7.8,74.7,0,0,0,,0,0,25.9,22,250.7,1020.5,44.4,9.3,116.8,10,6,,2023-01-05T06:40:17,2023-01-05T16:48:49,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-06,15.5,10.5,11.8,15.5,10.5,11.8,9,83.5,0.093,100,4.17,rain,0,0,25.9,15.6,212,1021.5,68.1,9,33.4,2.9,1,,2023-01-06T06:40:23,2023-01-06T16:49:36,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40179099999"
Ramallah,2023-01-07,17,10.4,12.4,17,10.4,12.4,9,80.5,3.232,100,4.17,rain,0,0,18.4,15.8,249.3,1020.5,43.2,9.4,86.2,7.6,5,,2023-01-07T06:40:28,2023-01-07T16:50:25,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-08,17.7,8.9,12.5,17.7,8.4,12.5,7.8,73.7,0.011,100,4.17,rain,0,0,17.3,11.8,48.7,1016.9,35.8,9.3,144.8,12.6,6,,2023-01-08T06:40:30,2023-01-08T16:51:14,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"40180099999,40183099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-09,13.2,8.7,10.9,13.2,8.1,10.8,7.6,80.3,0.161,100,8.33,rain,0,0,17.3,10.9,95.7,1017.6,44.3,9.1,52.7,4.6,3,,2023-01-09T06:40:31,2023-01-09T16:52:04,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"40180099999,40183099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-10,14.8,7.1,11,14.8,6.3,10.9,6.7,75.5,1.189,100,4.17,rain,0,0,22,7.7,156.6,1023.2,29.3,9.4,92.9,8.1,6,,2023-01-10T06:40:30,2023-01-10T16:52:54,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-11,16.1,7.7,11.4,16.1,7.1,11.2,3,58.2,0.011,100,4.17,rain,0,0,29.5,13.5,109.8,1021.9,38.2,9.7,158.5,13.6,6,,2023-01-11T06:40:28,2023-01-11T16:53:46,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,40179099999"
Ramallah,2023-01-12,15.5,7.4,10.8,15.5,6.6,10.5,3.7,62.5,0,0,0,,0,0,30.6,14.7,164.5,1017.8,40.4,9.6,115.5,9.8,7,,2023-01-12T06:40:24,2023-01-12T16:54:37,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40180099999,40183099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-13,17.2,8.8,11.5,17.2,7,10.9,4.4,62.1,0.194,100,4.17,rain,0,0,29.9,20.6,247.6,1017.2,39.2,9.4,125.5,11,6,,2023-01-13T06:40:18,2023-01-13T16:55:30,0.72,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-14,16.9,9.6,11.5,16.9,8.2,11.4,5.7,68.1,0,0,0,,0,0,43.9,24.3,217.7,1016.1,47.3,9.3,57,4.9,3,,2023-01-14T06:40:10,2023-01-14T16:56:23,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-15,14.7,9.2,12.1,14.7,7.8,11.9,6.6,69.7,1.223,100,4.17,rain,0,0,30.2,13.9,192.4,1017.6,43,9.5,85.8,7.3,4,,2023-01-15T06:40:00,2023-01-15T16:57:16,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"40180099999,40183099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-16,16.7,8.9,12,16.7,8.3,11.9,5.4,64.9,0,0,0,,0,0,20.5,12.5,292.3,1016.4,43.5,9.2,97.1,8.3,4,,2023-01-16T06:39:49,2023-01-16T16:58:10,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-17,17.3,9.1,12.1,17.3,8.6,12,7,72.1,0.289,100,8.33,rain,0,0,18,11.3,317.1,1022,25.9,9.3,144,12.5,6,,2023-01-17T06:39:36,2023-01-17T16:59:04,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"40180099999,40183099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-18,18.8,8.4,12.9,18.8,7.4,12.9,5.2,61.8,0,0,0,,0,0,17.3,11.7,63.1,1023.4,4.4,9.5,160.8,13.8,6,,2023-01-18T06:39:21,2023-01-18T16:59:58,0.88,Clear,Clear conditions throughout the day.,clear-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,40179099999"
Ramallah,2023-01-19,18.7,7.8,13.1,18.7,7.2,13,1.6,48.3,0,0,0,,0,0,24.1,13.6,91.8,1020.9,0,9.7,168.3,14.5,7,,2023-01-19T06:39:05,2023-01-19T17:00:53,0.92,Clear,Clear conditions throughout the day.,clear-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,40179099999"
Ramallah,2023-01-20,19.8,9.3,13.9,19.8,8.6,13.7,1.2,43.9,0,0,0,,0,0,19.4,10.4,80.1,1016,0,9.9,166.7,14.2,7,,2023-01-20T06:38:46,2023-01-20T17:01:48,0.95,Clear,Clear conditions throughout the day.,clear-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,40179099999"
Ramallah,2023-01-21,19.2,8.1,13.8,19.2,8.1,13.8,5.4,57.8,0,0,0,,0,0,16.9,12.2,2.2,1017.4,2.3,9.6,160.9,13.9,6,,2023-01-21T06:38:27,2023-01-21T17:02:43,0,Clear,Clear conditions throughout the day.,clear-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-22,19.5,10.3,14.4,19.5,10.3,14.4,7.1,62.5,0,0,0,,0,0,16.2,12.4,53.3,1018,9.2,8.3,165.7,14.4,6,,2023-01-22T06:38:05,2023-01-22T17:03:39,0.02,Clear,Clear conditions throughout the day.,clear-day,"40180099999,40183099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-23,19.1,10.9,14.6,19.1,10.9,14.6,7.2,62.3,0,0,0,,0,0,19.4,10.5,61.7,1018.9,16.2,7.8,165,14.4,6,,2023-01-23T06:37:42,2023-01-23T17:04:34,0.05,Clear,Clear conditions throughout the day.,clear-day,"40180099999,40183099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-24,22,10.9,14.5,22,10.9,14.5,5.5,56.1,0,0,0,,0,0,24.1,12.5,66.6,1018.7,2.2,9.7,162.8,14.3,6,,2023-01-24T06:37:17,2023-01-24T17:05:30,0.09,Clear,Clear conditions throughout the day.,clear-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40179099999"
Ramallah,2023-01-25,19.3,9.4,13.4,19.3,9.1,13.4,5.6,60.6,0,0,0,,0,0,23.8,18,11.9,1017.9,4.4,9.4,160.9,13.8,7,,2023-01-25T06:36:50,2023-01-25T17:06:26,0.12,Clear,Clear conditions throughout the day.,clear-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-26,17.9,7.4,13,17.9,7.4,13,3.9,55.5,0,0,0,,0,0,15.1,9.8,70.4,1017.9,2.5,8.4,162.5,14,6,,2023-01-26T06:36:22,2023-01-26T17:07:21,0.15,Clear,Clear conditions throughout the day.,clear-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-27,22.9,8.8,15.4,22.9,7.7,15.3,0.5,39.8,0,0,0,,0,0,25.2,16.3,131.9,1014.3,18.4,9.4,172.5,14.8,7,,2023-01-27T06:35:52,2023-01-27T17:08:17,0.19,Clear,Clear conditions throughout the day.,clear-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-28,23.6,12.7,16.9,23.6,12.7,16.9,5.2,48.8,0,0,0,,0,0,41,20,242.8,1012.6,47.5,9.2,129.7,11.2,6,,2023-01-28T06:35:20,2023-01-28T17:09:13,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-29,19.7,10.4,13.8,19.7,10.4,13.8,7,66.9,0,0,0,,0,0,23,11.6,305.7,1013.9,39.7,8.5,124.9,11,6,,2023-01-29T06:34:47,2023-01-29T17:10:08,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-30,18.3,9.6,12.2,18.3,7.3,12.1,7.5,74,0.011,100,4.17,rain,0,0,36.7,20.2,257.4,1011.8,46.1,9.8,156,13.6,7,,2023-01-30T06:34:13,2023-01-30T17:11:04,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"40180099999,40183099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-01-31,14.1,6.8,9,14.1,3.7,6.7,6.3,83.1,5.003,100,12.5,rain,0,0,48.2,32.2,230.8,1010.2,71,8.7,38.2,3.2,3,,2023-01-31T06:33:37,2023-01-31T17:11:59,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"40180099999,40183099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-01,13.6,7.1,9.5,13.6,3.2,7.1,5.1,75,29.735,100,12.5,rain,0,0,79.2,38.9,236,1010.9,74,9,112.7,9.7,6,,2023-02-01T06:32:59,2023-02-01T17:12:55,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"40180099999,40183099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-02,15.1,6.7,9.1,15.1,2.6,7.3,4.7,74.2,30.522,100,12.5,rain,0,0,63,36.5,262.8,1019.3,56.1,9.5,96.7,8.3,5,,2023-02-02T06:32:20,2023-02-02T17:13:50,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"40180099999,40183099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-03,11.9,7.9,9.3,11.9,5.3,8.4,6.5,83.4,6.018,100,12.5,rain,0,0,22,15.6,235.8,1021.8,59.5,9.2,58.6,4.9,3,,2023-02-03T06:31:39,2023-02-03T17:14:45,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"40180099999,40183099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-04,14.9,7,9,14.9,3.7,7,6.5,84.7,13.32,100,8.33,rain,0,0,41.8,20.2,230,1016.2,65.5,9,85.7,7.2,5,,2023-02-04T06:30:57,2023-02-04T17:15:40,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"40180099999,40183099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-05,13.7,8.2,10.9,13.7,5.9,10.2,5.4,70.7,11.769,100,8.33,rain,0,0,45.7,26.4,219.1,1011.8,45.6,9.6,150.7,13.1,7,,2023-02-05T06:30:14,2023-02-05T17:16:34,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"40180099999,40183099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-06,12,5.8,8.9,12,1.3,5.8,2.4,65.1,0.023,100,4.17,rain,0,0,74.2,36.4,236.7,1008.7,62.6,8.7,115.2,9.9,5,,2023-02-06T06:29:29,2023-02-06T17:17:28,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"40180099999,40183099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-07,12.4,5,6.9,12.4,0.5,3.7,4.1,82.3,56.091,100,16.67,rain,0,0,63.4,32.4,250.6,1013.9,79.4,8.4,22.7,1.9,1,,2023-02-07T06:28:43,2023-02-07T17:18:22,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-08,10.1,3.9,6.4,10.1,0.5,3.6,2.9,78.2,49.095,100,12.5,rain,0,0,70.6,29.2,285.6,1020.5,67.6,9.5,49,4.3,3,,2023-02-08T06:27:55,2023-02-08T17:19:16,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"40180099999,40183099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-09,12.4,3.7,7.2,12.4,2.1,6.3,3.5,77.6,7.102,100,4.17,rain,0,0,15.5,11.7,114.3,1023.5,56.5,9.4,62.2,5.3,4,,2023-02-09T06:27:06,2023-02-09T17:20:10,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-10,15.6,5.5,9,15.6,3.4,8.1,1.5,61,0,0,0,,0,0,22,11.7,63.1,1020.8,15,9.6,194.1,16.8,7,,2023-02-10T06:26:16,2023-02-10T17:21:03,0.66,Clear,Clear conditions throughout the day.,clear-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-11,12,5.5,8.6,12,2.7,7.5,0,55.4,0,0,0,,0,0,23.8,14.4,39.7,1017.4,23.1,9.6,158.9,13.6,6,,2023-02-11T06:25:25,2023-02-11T17:21:56,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-12,14.4,5.2,8.4,14.4,2.6,7.3,2.9,69.3,0.619,100,4.17,rain,0,0,29.5,15.4,296.5,1020.4,40.9,9.4,116.3,9.9,5,,2023-02-12T06:24:32,2023-02-12T17:22:48,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-13,12.5,6,8.8,12.5,4.7,8.4,2,64.9,0,0,0,,0,0,20.9,12.8,357.7,1022.5,42.9,9.3,164,14.2,6,,2023-02-13T06:23:38,2023-02-13T17:23:40,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-14,15.8,5.1,9.5,15.8,3.9,9.1,1.2,57.7,0,0,0,,0,0,18.4,18.9,13,1017.9,18.5,9.3,170.6,14.7,8,,2023-02-14T06:22:43,2023-02-14T17:24:32,0.8,Clear,Clear conditions throughout the day.,clear-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-15,13.4,5.9,8.7,13.4,4.2,7.7,4.1,73.3,0.183,100,4.17,rain,0,0,34.6,18,292,1018.9,45.6,9.3,101.3,8.7,5,,2023-02-15T06:21:47,2023-02-15T17:25:23,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-16,13.9,5.8,8.8,13.9,5.4,8.3,4.8,76,2.227,100,4.17,rain,0,0,17.6,8.8,115.5,1024.1,49,9.3,61.7,5.4,4,,2023-02-16T06:20:50,2023-02-16T17:26:14,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"40180099999,40183099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-17,17,5.5,10.5,17,5.1,10.4,2.3,59.3,0.141,100,4.17,rain,0,0,18.4,17.7,37.8,1026.9,11.7,9.5,216.2,18.6,8,,2023-02-17T06:19:51,2023-02-17T17:27:05,0.9,Rain,Clear conditions throughout the day with morning rain.,rain,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-18,18.1,5.3,11.5,18.1,5.3,11.4,2.5,56.1,0,0,0,,0,0,17.6,15.8,32.6,1025.8,1.4,9.6,216.9,18.7,8,,2023-02-18T06:18:52,2023-02-18T17:27:55,0.94,Clear,Clear conditions throughout the day.,clear-day,"40180099999,40183099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-19,18.7,6.1,12.9,18.7,6.1,12.7,1.2,48,0,0,0,,0,0,18.7,14.9,36.3,1023.8,0,9.8,221.5,19.2,8,,2023-02-19T06:17:52,2023-02-19T17:28:45,0.97,Clear,Clear conditions throughout the day.,clear-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-20,18.8,9.2,13.3,18.8,8.3,13.2,3.7,54.3,0,0,0,,0,0,27.7,18.7,340.8,1020.2,19.7,8.9,212.3,18.1,8,,2023-02-20T06:16:50,2023-02-20T17:29:35,0,Clear,Clear conditions throughout the day.,clear-day,"40180099999,40183099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-21,15,9.5,12,15,8.9,12,6.1,67.7,0,0,0,,0,0,28.1,11.6,319,1019.8,58.3,9.7,172.6,14.9,8,,2023-02-21T06:15:48,2023-02-21T17:30:24,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-22,18.1,7.8,12.3,18.1,7.8,12.3,6.1,67.4,0,0,0,,0,0,28.4,19.8,317.7,1016.8,9,9.1,223,19.4,8,,2023-02-22T06:14:45,2023-02-22T17:31:13,0.07,Clear,Clear conditions throughout the day.,clear-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-23,17,8.8,11.7,17,7.6,11.4,7.1,74.1,0,0,0,,0,0,31,17.7,302.5,1015.6,48.1,9.6,106.3,9.3,4,,2023-02-23T06:13:40,2023-02-23T17:32:01,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-24,18.4,8.3,11.8,18.4,6.8,11.4,6.6,72.3,0,0,0,,0,0,20.9,15.8,323.1,1016.4,38.7,9.5,111.6,9.8,4,,2023-02-24T06:12:35,2023-02-24T17:32:49,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-25,17.6,7.8,11.9,17.6,6.8,11.7,6.4,70,0,0,0,,0,0,24.1,16.8,341.6,1017.7,31.3,9.4,165.4,14.2,7,,2023-02-25T06:11:30,2023-02-25T17:33:37,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-26,19.5,9.5,14.5,19.5,8.9,14.4,7.3,63.9,0,0,0,,0,0,18.4,13.8,6.1,1019.7,19.2,8.6,222.7,19.3,8,,2023-02-26T06:10:23,2023-02-26T17:34:24,0.2,Clear,Clear conditions throughout the day.,clear-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-27,22.7,12.5,17.1,22.7,12.5,17.1,5.9,49.2,0,0,0,,0,0,26.6,12.7,79.1,1021.4,20.1,7.6,212.8,18.4,7,,2023-02-27T06:09:15,2023-02-27T17:35:11,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-02-28,26.3,14.3,19.7,26.3,14.3,19.7,0.7,29.4,0,0,0,,0,0,29.5,24.2,103.7,1018.8,0,9.4,223.4,19.3,8,,2023-02-28T06:08:07,2023-02-28T17:35:58,0.27,Clear,Clear conditions throughout the day.,clear-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40179099999"
Ramallah,2023-03-01,25.9,15.6,20.6,25.9,15.6,20.6,1.4,28.4,0,0,0,,0,0,20.9,15.2,99.5,1015.2,0,9.5,227,19.7,8,,2023-03-01T06:06:58,2023-03-01T17:36:44,0.3,Clear,Clear conditions throughout the day.,clear-day,"40180099999,40183099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
Ramallah,2023-03-02,27.9,12.1,21.3,26.7,12.1,21,1.1,27.9,0,0,0,,0,0,18.7,10.5,125.8,1012.3,10.2,9.3,229,19.8,8,,2023-03-02T06:05:49,2023-03-02T17:37:30,0.33,Clear,Clear conditions throughout the day.,clear-day,"40183099999,40180099999,C0641,40270099999,OJAM,LLBG,OJAI,40272099999,40179099999"
