name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Ras Al Khaimah,1/1/2023,26,14.1,19.5,26,14.1,19.5,15.6,80.8,0,0,0,,0,0,19.8,14.7,240.8,1023.1,4.5,8.8,177.2,15.4,7,,2023-01-01T07:02:52,2023-01-01T17:36:15,0.31,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41184099999,OMRK,41242099999"
Ras Al Khaimah,1/2/2023,26.9,14.1,20.6,26.5,14.1,20.6,14.1,71.4,0,0,0,,0,0,20.2,18.2,117.6,1022.9,19.4,7.6,173.3,15,7,,2023-01-02T07:03:09,2023-01-02T17:36:55,0.34,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41184099999,OMRK,41242099999"
Ras Al Khaimah,1/3/2023,26,17.7,21.3,26,17.7,21.3,13,61.6,2,100,29.17,rain,0,0,19.8,25.2,93.8,1023.9,52.3,10,140.9,12.1,6,,2023-01-03T07:03:24,2023-01-03T17:37:36,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"OMSJ,41184099999,OMRK,41242099999"
Ras Al Khaimah,1/4/2023,26,15.1,21.1,26,15.1,21.1,8.8,48.2,0.3,100,8.33,rain,0,0,30.6,29.5,100.6,1021.4,42.8,10,166,14.4,7,,2023-01-04T07:03:38,2023-01-04T17:38:17,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OMSJ,41184099999,OMRK,41242099999"
Ras Al Khaimah,1/5/2023,28,20.5,23.5,27.1,20.5,23.5,11.1,46.5,0.5,100,16.67,rain,0,0,31,22,106.7,1019.8,75.9,10,138.6,11.9,5,,2023-01-05T07:03:51,2023-01-05T17:38:59,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OMSJ,41184099999,OMRK,41242099999"
Ras Al Khaimah,1/6/2023,24.4,19,21,24.4,19,21,15.5,71.4,1.1,100,25,rain,0,0,27.4,27.4,5,1020.7,49.7,10,118.8,10.3,4,,2023-01-06T07:04:02,2023-01-06T17:39:42,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"OMSJ,41184099999,OMRK,41242099999"
Ras Al Khaimah,1/7/2023,21,16.1,18,21,16.1,18,16.2,88.9,7.5,100,45.83,rain,0,0,36,38,2.5,1020.5,44.4,9.2,72.5,6.3,3,,2023-01-07T07:04:11,2023-01-07T17:40:25,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OMSJ,41184099999,OMRK,41242099999"
Ras Al Khaimah,1/8/2023,23.1,15,18.8,23.1,15,18.8,16,85.3,0,0,0,,0,0,21.6,13.1,310,1019.8,39.9,7.4,167.9,14.7,7,,2023-01-08T07:04:20,2023-01-08T17:41:09,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41184099999,OMRK,41242099999"
Ras Al Khaimah,1/9/2023,23.8,15.1,19.3,23.8,15.1,19.3,15.6,80.9,0,0,0,,0,0,19.8,12.9,207.4,1020.6,26.7,7,169.7,14.8,7,,2023-01-09T07:04:26,2023-01-09T17:41:53,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41184099999,OMRK,41242099999"
Ras Al Khaimah,1/10/2023,27.1,16,21.2,27.5,16,21.2,17.2,80.4,0.7,100,16.67,rain,0,0,55.1,26.3,248,1018,22.1,5.7,162.2,14,6,,2023-01-10T07:04:32,2023-01-10T17:42:37,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OMSJ,41184099999,OMRK,41242099999"
Ras Al Khaimah,1/11/2023,23,17.1,20.5,23,17.1,20.5,15.2,72.8,0,0,0,,0,0,30.2,20.6,260.7,1019.2,45.2,9.8,174.2,15,7,,2023-01-11T07:04:35,2023-01-11T17:43:22,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41184099999,OMRK,41242099999"
Ras Al Khaimah,1/12/2023,23,14,18.3,23,14,18.3,10,62.7,2,100,62.5,rain,0,0,22.3,27.4,121.3,1020.8,35.6,8.2,147.3,12.7,6,,2023-01-12T07:04:38,2023-01-12T17:44:08,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OMSJ,41184099999,OMRK,41242099999"
Ras Al Khaimah,1/13/2023,22,12.1,17.8,22,12.1,17.8,8.5,55.7,0.2,100,8.33,rain,0,0,48.2,27.7,93.1,1021.8,48,10,160.8,13.9,6,,2023-01-13T07:04:38,2023-01-13T17:44:53,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"OMSJ,41184099999,OMRK,41242099999"
Ras Al Khaimah,1/14/2023,24,11.4,18.5,24,11.4,18.5,8.6,55.4,0,0,0,,0,0,21.2,18.6,102.2,1021.3,19.7,10,186.8,16.1,7,,2023-01-14T07:04:38,2023-01-14T17:45:39,0.75,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41184099999,OMRK,41242099999"
Ras Al Khaimah,1/15/2023,25,13.1,18.7,25,13.1,18.7,11.7,65.7,0,0,0,,0,0,20.9,14.8,19.1,1019.5,16.3,10,181.2,15.8,7,,2023-01-15T07:04:36,2023-01-15T17:46:25,0.75,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41184099999,OMRK,41242099999"
Ras Al Khaimah,1/16/2023,26,14.2,19.2,26,14.2,19.2,14.3,75.9,0,0,0,,0,0,20.2,14.7,294.3,1017.8,4.3,9.8,185.4,16.1,7,,2023-01-16T07:04:32,2023-01-16T17:47:11,0.81,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41184099999,OMRK,41242099999"
Ras Al Khaimah,1/17/2023,26.7,14.4,20.3,26.7,14.4,20.3,15.5,76.3,0,0,0,,0,0,26.6,21.7,86.3,1015.6,44.3,8,169.6,14.8,6,,2023-01-17T07:04:27,2023-01-17T17:47:57,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41184099999,OMRK,41242099999"
Ras Al Khaimah,1/18/2023,23.2,18.2,21.1,23.2,18.2,21.1,14.5,67.4,0.1,100,4.17,rain,0,0,50.4,27.8,250.1,1015.5,44.8,9.8,176.6,15.3,7,,2023-01-18T07:04:20,2023-01-18T17:48:43,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"OMSJ,41184099999,OMRK,41242099999"
Ras Al Khaimah,1/19/2023,24,15.1,19.4,24,15.1,19.4,12.6,66.3,0,0,0,,0,0,27.7,18,212.1,1018.1,33.7,9.6,183.9,15.8,7,,2023-01-19T07:04:12,2023-01-19T17:49:30,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41184099999,OMRK,41242099999"
Ras Al Khaimah,1/20/2023,23.8,11.1,17.9,23.8,11.1,17.9,9.8,62.4,0,0,0,,0,0,33.5,16.1,80.8,1019.8,29.5,9.9,174.3,15.2,6,,2023-01-20T07:04:02,2023-01-20T17:50:16,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41184099999,OMRK,41242099999"
Ras Al Khaimah,1/21/2023,24,11.4,19.2,24,11.4,19.2,8.5,51.9,0,0,0,,0,0,32.4,22.4,107.5,1020.2,35.6,10,164.9,14.1,7,,2023-01-21T07:03:51,2023-01-21T17:51:03,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41184099999,OMRK,41242099999"
Ras Al Khaimah,1/22/2023,24,11.1,18.4,24,11.1,18.4,9.6,58.5,0,0,0,,0,0,29.2,20.2,80.9,1019.4,23.6,10,167.9,14.5,6,,2023-01-22T07:03:38,2023-01-22T17:51:49,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41184099999,OMRK,41242099999"
