name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Riyadh,2023-01-01,15,10,12,15,9.6,12,9.2,83,0,0,0,rain,0,0,21.6,13,91.7,1027.1,61.9,5.1,136.3,11.7,5,10,2023-01-01T06:37:40,2023-01-01T17:15:45,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OERK,40437099999"
Riyadh,2023-01-02,13,9.9,11.4,13,8.5,11.3,9.3,87,9.1,100,62.5,rain,0,0,27.4,13,38,1027.3,81,4.9,72.5,6.1,3,10,2023-01-02T06:37:58,2023-01-02T17:16:25,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OERK,40437099999"
Riyadh,2023-01-03,17,12,13.8,17,12,13.8,12.1,89.8,6.8,100,70.83,rain,0,0,25.2,14.8,134,1026.5,85.1,3.9,120.4,10.2,6,10,2023-01-03T06:38:14,2023-01-03T17:17:05,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"OERK,40437099999"
Riyadh,2023-01-04,17,12,14.6,17,12,14.6,12.1,85.5,1.6,100,16.67,rain,0,0,40,22.3,158.6,1020.8,96,4.3,126.9,11,5,10,2023-01-04T06:38:28,2023-01-04T17:17:45,0.41,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"OERK,40437099999"
Riyadh,2023-01-05,15,11,13.4,15,11,13.4,12,91.6,4.5,100,70.83,rain,0,0,37.1,16.6,10.7,1020.7,98,6.3,107.3,9.3,5,10,2023-01-05T06:38:41,2023-01-05T17:18:27,0.45,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"OERK,40437099999"
Riyadh,2023-01-06,11.1,9,10.3,11.1,7.6,9.9,8.4,88.3,15.2,100,91.67,rain,0,0,32,18.4,20.8,1023.3,90.2,9.2,58.9,5,3,10,2023-01-06T06:38:53,2023-01-06T17:19:09,0.48,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"OERK,40437099999"
Riyadh,2023-01-07,15.1,9,12,15.1,9,11.9,9,82.2,0,0,0,rain,0,0,13.7,7.6,39.9,1023.4,84.5,8.8,148.4,12.8,6,10,2023-01-07T06:39:04,2023-01-07T17:19:51,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OERK,40437099999"
Riyadh,2023-01-08,17,10,13.6,17,9.6,13.6,10.2,80.5,0,0,0,,0,0,25.9,11.2,135.8,1022.2,57.6,9.8,155,13.3,7,10,2023-01-08T06:39:13,2023-01-08T17:20:34,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OERK,40437099999"
Riyadh,2023-01-09,18,13,15.2,18,13,15.2,10.4,73.8,0,0,0,rain,0,0,44.3,27.7,165.7,1019.1,55.4,9.4,123.7,10.7,6,10,2023-01-09T06:39:20,2023-01-09T17:21:17,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OERK,40437099999"
Riyadh,2023-01-10,17.8,9,14.4,17.8,6.7,14.2,8.6,69.8,0.6,100,12.5,rain,0,0,37.1,29.5,333.9,1021.4,56.5,10,139.3,12,6,10,2023-01-10T06:39:27,2023-01-10T17:22:00,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"OERK,40437099999"
Riyadh,2023-01-11,13,7,10.1,13,5.5,9.1,4.2,67.6,0,0,0,,0,0,30.6,20.5,4.4,1025.5,78.2,10,62.1,5.4,2,10,2023-01-11T06:39:31,2023-01-11T17:22:44,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OERK,40437099999"
