name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Sakha,2023-01-01,-40.8,-46,-43.8,-40.8,-56,-45.5,-47.8,64.7,0.201,100,8.33,snow,0.2,30.1,10.8,7.2,12.9,1018.5,53.1,0.7,7.5,0.7,1,10,2023-01-01T09:44:23,2023-01-01T15:05:08,0.3,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"21823099999,24856099999,UEEE,24959099999"
Sakha,2023-01-02,-40.8,-44,-42.4,-40.8,-53.7,-44.8,-46.4,65.1,0.2,100,4.17,snow,0.2,30.1,13.3,7.2,321.7,1019.5,23.2,2.3,6.9,0.5,1,10,2023-01-02T09:43:44,2023-01-02T15:06:46,0.33,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"21823099999,24856099999,UEEE,24959099999"
Sakha,2023-01-03,-41,-45,-43.5,-41,-53.7,-45.5,-47.5,64.5,0,0,0,,0,30,12.6,7.2,15.6,1022.6,62.6,0.9,7.2,0.7,1,10,2023-01-03T09:42:58,2023-01-03T15:08:28,0.37,Partially cloudy,Partly cloudy throughout the day.,fog,"21823099999,24856099999,UEEE,24959099999"
Sakha,2023-01-04,-36,-42,-39.4,-36.9,-54,-47,-43.3,66.5,0.598,100,8.33,snow,0.4,30,13,14.4,19.4,1017.3,29.4,3.9,5.2,0.4,0,10,2023-01-04T09:42:07,2023-01-04T15:10:16,0.4,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"21823099999,24856099999,UEEE,24959099999"
Sakha,2023-01-05,-36,-43,-40.2,-37,-43,-40.5,-44,67.2,0.596,100,8.33,snow,0,30,13.3,5.2,347.2,1020.6,78,1.8,8.1,0.8,1,10,2023-01-05T09:41:09,2023-01-05T15:12:09,0.44,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"21823099999,24856099999,UEEE,24959099999"
Sakha,2023-01-06,-40.2,-46,-43.3,-40.2,-46,-43.3,-47.3,64.8,0.199,100,4.17,snow,0,30,10.4,3.6,351.3,1018.6,95.5,0.1,7.2,0.8,1,10,2023-01-06T09:40:07,2023-01-06T15:14:07,0.47,"Snow, Overcast",Cloudy skies throughout the day with morning snow.,snow,"21823099999,24856099999,UEEE,24959099999"
Sakha,2023-01-07,-43.4,-49,-46.3,-43.4,-58.4,-46.7,-50.3,63.4,0,0,0,,0,30,11.5,7.2,0.2,1016.6,100,0.1,10.1,0.9,1,10,2023-01-07T09:38:58,2023-01-07T15:16:09,0.5,Overcast,Cloudy skies throughout the day.,fog,"21823099999,24856099999,UEEE,24959099999"
Sakha,2023-01-08,-38,-47,-41.9,-38,-57.2,-43.9,-45.9,65.1,0.404,100,8.33,snow,0.1,30.1,12.6,7.2,21.2,1018.2,53.6,1.3,6.2,0.6,0,10,2023-01-08T09:37:45,2023-01-08T15:18:15,0.54,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"21823099999,24856099999,UEEE,24959099999"
Sakha,2023-01-09,-37.8,-45,-40.2,-37.8,-51.4,-41.3,-44.1,66.3,0.401,100,4.17,snow,0.1,30.5,12.2,7.2,358,1017.4,31.3,0.7,7.8,0.7,1,10,2023-01-09T09:36:26,2023-01-09T15:20:26,0.57,"Snow, Partially cloudy",Clearing in the afternoon with morning snow.,snow,"21823099999,24856099999,UEEE,24959099999"
Sakha,2023-01-10,-32,-46,-40.7,-33.7,-56,-47.6,-44.7,65.7,0.003,100,4.17,snow,1.1,30.8,22.3,10.8,16.6,1009.8,47.5,3.1,7.3,0.7,1,10,2023-01-10T09:35:02,2023-01-10T15:22:41,0.61,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"21823099999,24856099999,UEEE,24959099999"
