name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Salalah,2023-01-01,30,23.9,25.8,28.5,23.9,25.6,10.7,40.4,0,0,0,,0,0,37.4,31.7,24.3,1020.6,50.5,11,200.7,17.4,8,10,2023-01-01T06:53:07,2023-01-01T18:01:01,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41316099999,OOSA,41314099999,41315099999,WSEP"
Salalah,2023-01-02,30,23,25.8,28.7,23,25.9,13.4,47.3,0,0,0,,0,0,25.6,29.5,25.6,1019.7,20.3,10,226.4,19.5,8,10,2023-01-02T06:53:28,2023-01-02T18:01:36,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41316099999,OOSA,41314099999,41315099999"
Salalah,2023-01-03,28,21,24.7,29.2,21,25.1,17.4,64.3,0,0,0,,0,0,25.9,16.6,138.2,1020.7,42.9,10.6,220.7,18.9,8,10,2023-01-03T06:53:48,2023-01-03T18:02:12,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41316099999,OOSA,41314099999,remote,41315099999,WSEP"
Salalah,2023-01-04,27,22,24.9,28.2,22,25.2,18.6,68.5,0,0,0,,0,0,26.6,18.4,130.1,1019,47.6,10,214.4,18.6,8,10,2023-01-04T06:54:07,2023-01-04T18:02:48,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41316099999,OOSA,41314099999,41315099999,WSEP"
Salalah,2023-01-05,28,21.9,25,28.8,21.9,25.2,18.9,69.3,0,0,0,,0,0,35.3,22.3,133.6,1017.9,51.5,10,216.9,18.7,8,10,2023-01-05T06:54:25,2023-01-05T18:03:25,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41316099999,OOSA,41314099999,41315099999,WSEP"
Salalah,2023-01-06,27,23.9,25.2,28.2,23.9,25.4,18.6,66.9,0.8,100,4.17,rain,0,0,33.5,24.1,123.3,1018,79.8,10,203.6,17.7,7,10,2023-01-06T06:54:42,2023-01-06T18:04:01,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"41316099999,OOSA,41314099999,41315099999,WSEP"
Salalah,2023-01-07,27,22,24.6,28.2,22,24.7,18.3,68.4,12,100,4.17,rain,0,0,24.1,16.6,116.7,1017.8,55.5,10,197.7,17.1,7,10,2023-01-07T06:54:58,2023-01-07T18:04:38,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41316099999,OOSA,41314099999,41315099999,WSEP"
Salalah,2023-01-08,27,22,24.6,27.9,22,24.7,18.1,67.6,0.2,100,4.17,rain,0,0,42.5,17,102.8,1017.3,46.6,10,218.6,18.8,8,10,2023-01-08T06:55:13,2023-01-08T18:05:15,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41316099999,OOSA,41314099999,41315099999,WSEP"
Salalah,2023-01-09,27,21,24.4,28.2,21,24.5,18.3,69.4,0,0,0,,0,0,24.8,20.5,112.6,1018.7,46.5,10,218.4,18.8,8,10,2023-01-09T06:55:27,2023-01-09T18:05:52,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41316099999,OOSA,41314099999,41315099999,WSEP"
Salalah,2023-01-10,27,21,24.3,27.9,21,24.5,18.2,69.3,0,0,0,,0,0,46.4,14.8,150,1018.6,38.1,10,219.5,19,8,10,2023-01-10T06:55:39,2023-01-10T18:06:29,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41316099999,OOSA,41314099999,41315099999,WSEP"
Salalah,2023-01-11,28,20,23.9,28,20,23.9,16.2,63.3,0,0,0,,0,0,25.9,14.8,145.2,1017.7,32.8,10,227.3,19.6,8,10,2023-01-11T06:55:51,2023-01-11T18:07:06,0.65,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41316099999,OOSA,41314099999,41315099999"
