name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Sanaa,1/1/2023,20.1,7.2,13,20.1,6.2,12.7,4.3,57.1,1.3,100,33.33,rain,0,0,29.2,11.9,101.2,1023.3,58.8,,133.3,11.6,6,,2023-01-01T06:29:38,2023-01-01T17:43:34,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,remote
Sanaa,1/2/2023,21.1,8,14.3,21.1,6.9,14,4.4,53.8,0,0,0,,0,0,38.5,16.2,98.8,1022.3,21.2,,236.5,20.4,8,,2023-01-02T06:30:00,2023-01-02T17:44:09,0.34,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,remote
Sanaa,1/3/2023,21.8,6.7,14,21.8,5.1,13.6,-2,39.9,0,0,0,,0,0,37.4,16.9,96.9,1023.1,36.8,,251.4,21.7,9,,2023-01-03T06:30:21,2023-01-03T17:44:44,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Sanaa,1/4/2023,22.7,6.3,14.4,22.7,5.4,14.1,-2.9,36.6,0,0,0,,0,0,30.6,11.5,160.9,1020.6,0,,253.5,21.9,9,,2023-01-04T06:30:41,2023-01-04T17:45:20,0.41,Clear,Clear conditions throughout the day.,clear-day,remote
Sanaa,1/5/2023,22.9,10.3,16,22.9,10.3,16,0.2,40.6,0,0,0,,0,0,35.6,15.5,234.3,1018.9,0.4,,251.6,21.6,9,,2023-01-05T06:30:59,2023-01-05T17:45:55,0.45,Clear,Clear conditions throughout the day.,clear-day,remote
Sanaa,1/6/2023,21.7,10.1,15.5,21.7,10.1,15.5,1.5,43,0,0,0,,0,0,37.4,15.8,235,1019.4,17.4,,250.8,21.6,9,,2023-01-06T06:31:17,2023-01-06T17:46:31,0.48,Clear,Clear conditions throughout the day.,clear-day,remote
Sanaa,1/7/2023,20.5,9.5,14.5,20.5,9.5,14.5,4.9,57.2,0,0,0,,0,0,35.6,13.7,217.5,1019.9,10.6,,243.5,21,9,,2023-01-07T06:31:34,2023-01-07T17:47:06,0.5,Clear,Clear conditions throughout the day.,clear-day,remote
Sanaa,1/8/2023,20.2,7.4,13.8,20.2,6.7,13.8,5.3,58.9,0,0,0,,0,0,33.5,10.8,162.8,1019,8.8,,239.2,20.6,8,,2023-01-08T06:31:50,2023-01-08T17:47:42,0.55,Clear,Clear conditions throughout the day.,clear-day,remote
Sanaa,1/9/2023,21,9.6,14.7,21,9.6,14.7,5.4,57.9,0,0,0,,0,0,35.6,15.8,206.2,1019.8,13.3,,247.1,21.3,9,,2023-01-09T06:32:05,2023-01-09T17:48:18,0.58,Clear,Clear conditions throughout the day.,clear-day,remote
Sanaa,1/10/2023,22.1,8.4,15.4,22.1,8.4,15.4,5.1,55.5,0,0,0,,0,0,28.1,10.1,241.5,1020.2,5.2,,246.3,21.2,9,,2023-01-10T06:32:19,2023-01-10T17:48:53,0.61,Clear,Clear conditions throughout the day.,clear-day,remote
Sanaa,1/11/2023,21.4,9.4,15.2,21.4,8.4,15.1,4.2,51.2,0.1,100,4.17,rain,0,0,29.5,10.1,97.2,1020,1,,242.5,20.8,9,,2023-01-11T06:32:32,2023-01-11T17:49:29,0.65,Rain,Clear conditions throughout the day with late afternoon rain.,rain,remote
