name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Shanghai,1/1/2023,8.8,1.7,6.3,8.8,1.7,5.6,-1.5,60,0,0,0,,0,0,18,13.8,39.2,1032.2,22.5,7.1,47.5,4.1,3,,2023-01-01T06:52:54,2023-01-01T17:02:03,0.3,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/2/2023,9,6,7.4,7.2,3.7,5.3,1.4,66.2,0.3,100,12.5,rain,0,0,31.7,18.6,26,1033.1,45.1,8.1,49,4.4,3,,2023-01-02T06:53:07,2023-01-02T17:02:46,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/3/2023,9.8,3.1,6.8,9.2,2.5,5.1,-0.6,61.4,0,0,0,,0,0,25.2,12,39.4,1033,37.5,10.9,140,12.1,6,,2023-01-03T06:53:20,2023-01-03T17:03:30,0.37,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/4/2023,11.7,0,6,11.7,0,5.4,-1.2,65.2,0,0,0,,0,0,27.4,13.8,113.2,1031.5,10.3,9.7,149.6,12.7,6,,2023-01-04T06:53:30,2023-01-04T17:04:15,0.4,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/5/2023,13.5,5.7,9.9,13.5,4.3,9.4,4.8,71,0.6,100,12.5,rain,0,0,25.6,13.8,130.8,1029.4,60.4,9.8,32.9,2.8,2,,2023-01-05T06:53:39,2023-01-05T17:05:01,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/6/2023,15,7.8,10.8,15,6.3,10.5,2.3,59.4,0,0,0,,0,0,38.2,21.6,273.7,1025.9,11.6,7,147.7,12.7,6,,2023-01-06T06:53:46,2023-01-06T17:05:48,0.47,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/7/2023,15.8,2.8,8.8,15.8,2.2,8.2,-2.4,50.5,0,0,0,,0,0,36,13.8,180.1,1024.9,0,6.2,155.5,13.5,6,,2023-01-07T06:53:52,2023-01-07T17:06:36,0.5,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/8/2023,17.9,4.5,10.6,17.9,3,9.8,1.3,55.5,0,0,0,,0,0,37.8,22.2,162.2,1023,0,8.5,155,13.5,6,,2023-01-08T06:53:55,2023-01-08T17:07:24,0.54,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/9/2023,16.8,4.7,10.2,16.8,4.7,9.8,5.3,74.1,0,0,0,,0,0,38.9,28.8,31.7,1024.6,27.5,7.9,151.6,12.9,6,,2023-01-09T06:53:57,2023-01-09T17:08:13,0.57,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/10/2023,12.7,6.6,9.1,12.7,4.1,7.7,3.2,66.8,0,0,0,,0,0,36,18.6,45.4,1027.9,60.6,10.7,128.3,11.2,5,,2023-01-10T06:53:58,2023-01-10T17:09:03,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/11/2023,16.4,3.6,10.8,16.4,2,10.3,7.2,79.9,0,0,0,,0,0,27,18.6,110.2,1023.4,46.9,9.9,134.5,11.5,5,,2023-01-11T06:53:56,2023-01-11T17:09:53,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/12/2023,19.8,10.8,15.5,19.8,10.8,15.5,13.5,88.4,0.7,100,4.17,rain,0,0,30.6,22.7,147,1015.6,54.2,9,122.3,10.5,5,,2023-01-12T06:53:53,2023-01-12T17:10:44,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/13/2023,18,14.1,16.6,18,14.1,16.6,16.2,97.5,35,100,25,rain,0,0,35.3,18,65.2,1011.1,74.7,5.6,12.7,1.1,1,,2023-01-13T06:53:48,2023-01-13T17:11:36,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/14/2023,13.7,4,9,13.7,-1.3,6.9,7.9,92.3,13.9,100,20.83,rain,0,0,54.4,39.6,13.2,1016.1,89,7,16.8,1.4,1,,2023-01-14T06:53:42,2023-01-14T17:12:28,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/15/2023,3.2,-1,0.5,-2.3,-7,-5.4,-2.7,80.1,1.1,100,8.33,"rain,snow",0.2,0,55.1,33,326.4,1027.5,84.6,9.3,53.6,4.6,3,,2023-01-15T06:53:33,2023-01-15T17:13:20,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/16/2023,4,-1.8,0.7,-0.1,-7.3,-3.8,-8,52.5,0,0,0,,0,0,40,25.8,328.1,1030.8,60.5,10.8,117.2,10.2,5,,2023-01-16T06:53:23,2023-01-16T17:14:13,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/17/2023,6.8,0.2,3.5,4.4,-2.5,0.8,-7.5,45.9,0,0,0,,0,0,32.4,14.4,327,1029.8,44.5,10.4,161.4,14,6,,2023-01-17T06:53:12,2023-01-17T17:15:06,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/18/2023,9,1.2,4.6,6.4,-1.3,2.4,-5.9,48,0,0,0,,0,0,32.4,18.6,293.1,1029.6,8.1,10.1,164.7,14.3,6,,2023-01-18T06:52:58,2023-01-18T17:15:59,0.88,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/19/2023,10.2,-1,4.6,10.2,-2.6,4,-5.8,52,0,0,0,,0,0,32.4,14.4,230.4,1027.2,4.8,9.9,167,14.5,6,,2023-01-19T06:52:43,2023-01-19T17:16:53,0.91,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/20/2023,10.2,0.9,5.6,10.2,-1,3.4,-1.2,62.3,0,0,0,,0,0,40.7,22.8,16.1,1030,13.3,10,147.8,12.8,6,,2023-01-20T06:52:26,2023-01-20T17:17:47,0.94,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/21/2023,10.8,4.8,7.3,10.8,1.9,4.9,-1,56.7,0.5,100,4.17,rain,0,0,36.4,22.2,110.5,1027.4,44.2,10.7,164.4,14.2,6,,2023-01-21T06:52:08,2023-01-21T17:18:41,0.98,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/22/2023,9,7,7.9,9,3.7,6.1,6.9,93.8,8.5,100,16.67,rain,0,0,32.4,21,355.2,1021.2,96.3,7.8,25.1,2.1,1,,2023-01-22T06:51:47,2023-01-22T17:19:36,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/23/2023,8.2,4.8,7.1,5.7,-0.7,4,5.9,91.9,3,100,12.5,rain,0,0,49.7,39.6,3.7,1023.7,99.5,8.5,25.3,2.1,1,,2023-01-23T06:51:26,2023-01-23T17:20:30,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/24/2023,3.2,-4,-0.5,-3.2,-10.7,-7.1,-9.3,53,0.1,100,4.17,rain,0,0,61.9,43.2,338.7,1036.7,56.1,10.6,173.1,15,7,,2023-01-24T06:51:02,2023-01-24T17:21:25,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/25/2023,2.8,-5.9,-1.8,2,-11.6,-5.5,-10.4,53.5,0,0,0,,0,0.2,57.6,22.2,274.2,1031.8,31.2,11.3,154.7,13.5,6,,2023-01-25T06:50:37,2023-01-25T17:22:19,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/26/2023,9.7,-2.5,3.3,8,-4.8,1.3,-4.3,62,0,0,0,,0,0,32.4,24.6,336.3,1024.5,16.1,10,172.3,14.9,7,,2023-01-26T06:50:10,2023-01-26T17:23:14,0.14,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/27/2023,4.8,-0.3,2,-0.3,-5.6,-3,-9.3,44.6,0,0,0,,0,0,57.6,33.6,327.4,1031.2,26.5,10.6,156.6,13.4,6,,2023-01-27T06:49:42,2023-01-27T17:24:09,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/28/2023,6.8,-1.9,2,3.5,-5.6,-1,-11.8,37.5,0,0,0,,0,0,43.2,25.2,305.2,1029.4,0,10.5,185.2,16,7,,2023-01-28T06:49:12,2023-01-28T17:25:03,0.25,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/29/2023,11,-2.1,4.4,11,-4.6,2.3,-9.6,39.1,0,0,0,,0,0,36.7,21.6,262.1,1025.8,5.7,10.3,183.4,16,7,,2023-01-29T06:48:40,2023-01-29T17:25:58,0.24,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/30/2023,13.8,-1.7,6,13.8,-1.7,5.3,-5.7,47.7,0,0,0,,0,0,36,14.4,158.7,1024.8,0,10,183.8,16,7,,2023-01-30T06:48:07,2023-01-30T17:26:52,0.28,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,1/31/2023,18.8,2,9.7,18.8,0.4,8.8,-2.2,47.3,0,0,0,,0,0,27.4,15,171.3,1017.1,8,9.9,182.6,15.8,7,,2023-01-31T06:47:33,2023-01-31T17:27:46,0.31,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,2/1/2023,14.7,3.8,8.5,14.7,1.7,7.1,0.5,59.7,0,0,0,,0,0,54,36,30.2,1020.4,31.4,9.8,169.6,14.6,6,,2023-02-01T06:46:56,2023-02-01T17:28:41,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
Shanghai,2/2/2023,6.8,4.8,5.4,3.8,0.5,2,-0.9,64.1,0,0,0,,0,0,46.8,25.2,17.2,1028.5,61,10.7,120.1,10.6,5,,2023-02-02T06:46:19,2023-02-02T17:29:35,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
