name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Sholakespe,2023-01-01,-0.6,-5.3,-3.4,-3.3,-9.4,-7.2,-6.5,79.5,0,0,0,,0,1.8,22,11.9,181.3,1035.8,80.9,24.1,63.9,5.6,3,10,2023-01-01T09:06:32,2023-01-01T17:55:20,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Sholakespe,2023-01-02,-0.1,-4.7,-1.9,-5.1,-8.4,-6.6,-3.8,87.1,2.1,100,41.67,"rain,snow",0.8,2.7,36.7,22.3,214,1027.4,92.4,15.6,18.3,1.4,1,10,2023-01-02T09:06:34,2023-01-02T17:56:15,0.34,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,remote
Sholakespe,2023-01-03,2.8,-0.9,0.8,-3.6,-7.4,-5.9,-1,88.2,13.2,100,87.5,"rain,snow",5.8,3.5,79.6,50,236.1,1015.9,89.9,8.2,33.3,2.9,2,10,2023-01-03T09:06:34,2023-01-03T17:57:11,0.37,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,remote
Sholakespe,2023-01-04,5.1,-2.2,0.5,0.7,-8.8,-5.1,-3,77.2,0,0,0,,0,2.8,45,27,236.1,1025,94.3,23.3,44.1,3.9,3,10,2023-01-04T09:06:31,2023-01-04T17:58:10,0.41,Overcast,Cloudy skies throughout the day.,cloudy,remote
Sholakespe,2023-01-05,11.4,3.7,5.8,11.4,-0.5,2.8,0.9,71.5,0.3,100,8.33,rain,0,1.6,42.8,23.8,201.8,1016.1,68.8,24.1,71.2,6.1,3,10,2023-01-05T09:06:26,2023-01-05T17:59:11,0.44,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,remote
Sholakespe,2023-01-06,5.6,0.3,2.3,2.6,-4.2,-1,-0.2,83.9,0,0,0,snow,0,0.7,33.8,20.5,256.4,1017.3,98.8,15.6,33.6,2.9,2,10,2023-01-06T09:06:18,2023-01-06T18:00:13,0.48,Overcast,Cloudy skies throughout the day.,cloudy,remote
Sholakespe,2023-01-07,4.5,0,2.1,1.2,-3,-0.6,0.2,87.2,0,0,0,snow,0.1,0.5,25.6,15.8,126.3,1017.6,72.2,13.5,56.8,4.9,3,10,2023-01-07T09:06:07,2023-01-07T18:01:17,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Sholakespe,2023-01-08,4.5,-4.9,1.3,0.2,-10.4,-3.8,-1.6,81.3,0,0,0,snow,0,0.3,50.4,29.9,243.7,1014.1,60.3,24.1,38.6,3.3,2,10,2023-01-08T09:05:53,2023-01-08T18:02:23,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Sholakespe,2023-01-09,-4.6,-10.5,-6.7,-9.2,-15.1,-11,-12.8,62.1,0,0,0,,0,0.1,26.3,13,289.9,1027.9,81.1,24.1,67,5.9,3,10,2023-01-09T09:05:37,2023-01-09T18:03:30,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Sholakespe,2023-01-10,-9,-14.5,-11.5,-14.6,-20,-17,-18.3,57.3,0,0,0,,0,0.9,36.7,21.2,299.2,1032.8,37.5,24.1,88.1,7.6,4,10,2023-01-10T09:05:19,2023-01-10T18:04:39,0.61,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
