name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Simunjan,2023-01-01,30,23.3,26.2,36,23.3,28.2,23.6,85.7,1.4,100,8.33,rain,0,0,33.8,17.7,312.6,1011.2,61.1,11.6,222.3,19.3,8,30,2023-01-01T06:39:05,2023-01-01T18:41:35,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"WBGG,WBGY,96413099999,96001199999"
Simunjan,2023-01-02,30.8,24,26.8,37.3,24,29.4,24.6,88.1,1.2,100,8.33,rain,0,0,24.8,9.2,291.8,1010.9,54.7,11,217.2,18.8,8,60,2023-01-02T06:39:32,2023-01-02T18:42:04,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WBGG,WBGY,96413099999,96001199999"
Simunjan,2023-01-03,26,22.9,24.4,26,22.9,24.4,23.9,96.7,36,100,12.5,rain,0,0,29.5,11.6,263.7,1011.3,65.4,7.4,132.2,11.5,6,30,2023-01-03T06:40:00,2023-01-03T18:42:32,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WBGG,WBGY,96413099999,96001199999"
Simunjan,2023-01-04,28.4,22.5,25,33.5,22.5,26.1,23.7,92.7,24.6,100,12.5,rain,0,0,32,11.9,284.1,1009.9,59.7,11.1,177.8,15.4,8,30,2023-01-04T06:40:27,2023-01-04T18:43:00,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WBGG,WBGY,96413099999,96001199999"
Simunjan,2023-01-05,29.3,23.6,25.4,34.1,23.6,26.2,23.8,91.6,15,100,8.33,rain,0,0,39.6,11,259.7,1009.3,55.9,11.1,215.2,18.5,9,60,2023-01-05T06:40:53,2023-01-05T18:43:28,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WBGG,WBGY,96413099999,96001199999"
Simunjan,2023-01-06,31.2,23.9,26.4,39.1,23.9,28.5,24.3,89.2,0,0,0,rain,0,0,33.8,14.6,242.7,1009.5,54.5,11.9,173.1,14.9,8,60,2023-01-06T06:41:20,2023-01-06T18:43:55,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"WBGG,WBGY,96413099999,96001199999"
Simunjan,2023-01-07,31.8,23,25.9,38.3,23,27.4,23.9,89.8,1,100,4.17,rain,0,0,50,22.6,233.7,1009.1,57.1,12.1,230.9,19.9,8,60,2023-01-07T06:41:45,2023-01-07T18:44:22,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"WBGG,WBGY,96413099999,96001199999"
Simunjan,2023-01-08,32.2,22.9,25.7,39.3,22.9,27.6,23.6,89.3,14,100,4.17,rain,0,0,36,11.9,172.2,1010.5,60.6,10.9,196,16.9,8,75,2023-01-08T06:42:10,2023-01-08T18:44:48,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"WBGG,WBGY,96413099999,96001199999"
Simunjan,2023-01-09,32.6,22.3,25.7,40.2,22.3,27.5,23.5,89.2,7,100,4.17,rain,0,0,28.1,9.2,265,1011.6,59.4,9.6,196.1,16.9,8,60,2023-01-09T06:42:35,2023-01-09T18:45:15,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"WBGG,WBGY,96413099999,96001199999"
Simunjan,2023-01-10,30.7,22.8,25.9,37.4,22.8,28,23.9,89.8,14,100,8.33,rain,0,0,20.9,9.2,125.7,1011.3,63.5,8.4,197.6,17,7,30,2023-01-10T06:42:59,2023-01-10T18:45:40,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WBGG,WBGY,96413099999,96001199999"
Simunjan,2023-01-11,30.7,23.6,26,37.4,23.6,28,24.1,89.7,3.6,100,8.33,rain,0,0,26.3,12.8,354.3,1010.8,61.3,11.7,222.8,19.3,8,75,2023-01-11T06:43:22,2023-01-11T18:46:05,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WBGG,WBGY,96413099999,96001199999"
Simunjan,2023-01-12,31.6,23,26.7,39.3,23,29.5,24.4,87.9,0,0,0,rain,0,0,22,10.7,17.7,1010.2,53.1,11.9,208.1,17.8,8,30,2023-01-12T06:43:45,2023-01-12T18:46:29,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"WBGG,WBGY,96413099999,96001199999"
Simunjan,2023-01-13,30.9,24.6,27.3,38,24.6,30.2,24.6,85.6,0,0,0,rain,0,0,23.4,13.2,343.2,1010.4,56.2,12.3,220.7,18.9,8,30,2023-01-13T06:44:07,2023-01-13T18:46:53,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"WBGG,WBGY,96413099999,96001199999"
Simunjan,2023-01-14,29.8,23.1,26.4,35.3,23.1,28.7,24.1,87.7,0,0,0,rain,0,0,29.2,11.6,325.2,1009.7,55,11.8,219.6,19,8,30,2023-01-14T06:44:29,2023-01-14T18:47:17,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"WBGG,WBGY,96413099999,96001199999"
Simunjan,2023-01-15,32.3,23,26.9,38.6,23,29.2,23.8,84.7,0,0,0,,0,0,30.6,13.8,322.5,1008.8,54.5,11.8,255.5,22.1,9,30,2023-01-15T06:44:50,2023-01-15T18:47:39,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"WBGG,WBGY,96413099999,96001199999"
Simunjan,2023-01-16,31,22.7,26.5,36.5,22.7,28.6,23.6,85.1,0,0,0,rain,0,0,31.7,14.6,334.6,1009.6,56,12.2,261.4,22.6,9,10,2023-01-16T06:45:10,2023-01-16T18:48:02,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"WBGG,WBGY,96413099999,96001199999"
Simunjan,2023-01-17,30.5,22.6,26.3,36.4,22.6,28.3,23.7,86.6,25,100,8.33,rain,0,0,28.4,18.5,2.2,1010.4,56.4,11.9,245.9,21.2,9,10,2023-01-17T06:45:29,2023-01-17T18:48:23,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WBGG,WBGY,96413099999,96001199999"
