name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Sinuiju,2023-01-01,-0.8,-9.2,-5.6,-4.1,-15.8,-9.9,-15.3,48.4,0,0,0,,0,0.4,35.6,18.4,342.9,1033.7,0,20.8,108.7,9.3,5,10,2023-01-01T08:04:36,2023-01-01T17:26:55,0.3,Clear,Clear conditions throughout the day.,clear-day,"47028099999,47037099999,47035099999,54497099999,54493099999,remote"
Sinuiju,2023-01-02,-2.7,-12.2,-7.9,-4.3,-18.5,-11.8,-17.1,49.3,0,0,0,,0,0.6,32.4,13.7,340.2,1035.1,1.7,22,110.7,9.5,5,10,2023-01-02T08:04:44,2023-01-02T17:27:45,0.33,Clear,Clear conditions throughout the day.,clear-day,"47028099999,47037099999,47035099999,54497099999,54493099999,remote"
Sinuiju,2023-01-03,-1.5,-14.9,-9,-3.1,-20.1,-12.6,-15.5,61.3,0,0,0,,0,0.8,25.2,11.2,359.2,1031.9,4.2,20.3,112.3,9.7,5,10,2023-01-03T08:04:49,2023-01-03T17:28:36,0.37,Clear,Clear conditions throughout the day.,clear-day,"47028099999,47037099999,47035099999,54497099999,54493099999,remote"
Sinuiju,2023-01-04,-1.3,-12.6,-7.8,-3.5,-18.4,-11.1,-15.8,54.7,0,0,0,,0,1,20.9,10.6,29.8,1031.7,0,20.6,110,9.4,5,10,2023-01-04T08:04:52,2023-01-04T17:29:28,0.4,Clear,Clear conditions throughout the day.,clear-day,"47028099999,47037099999,47035099999,54497099999,54493099999,remote"
Sinuiju,2023-01-05,-0.1,-11.8,-6.5,-1.4,-15.1,-9,-11.6,67.3,0,0,0,,0,1.2,20.9,10.8,119.7,1031.1,24.7,19.4,107,9.1,5,10,2023-01-05T08:04:53,2023-01-05T17:30:22,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47028099999,47037099999,47035099999,54497099999,54493099999,remote"
Sinuiju,2023-01-06,0.7,-6,-2,0.2,-9.9,-5.6,-4.1,85.8,1.809,100,8.33,"rain,snow",4.2,1.3,36.4,20.5,120.8,1021,94.7,12.8,44.7,3.8,2,10,2023-01-06T08:04:52,2023-01-06T17:31:18,0.47,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"47028099999,47037099999,47035099999,54497099999,54493099999,remote"
Sinuiju,2023-01-07,2.2,-4.8,-1.8,0.3,-10.2,-4.8,-6.6,71.4,0.152,100,12.5,"rain,snow",0,1.6,30.2,16.6,327.2,1020.2,32.4,14.3,111.7,9.5,5,10,2023-01-07T08:04:49,2023-01-07T17:32:15,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"47028099999,47037099999,47035099999,54497099999,54493099999,remote"
Sinuiju,2023-01-08,2.1,-6.2,-2,1.3,-9.7,-4.6,-6,74.2,0,0,0,,0,0.6,33.8,16.6,118.3,1024.1,76.9,19,98.5,8.5,5,10,2023-01-08T08:04:43,2023-01-08T17:33:13,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47028099999,47037099999,47035099999,54497099999,54493099999,remote"
Sinuiju,2023-01-09,2.4,-4.2,-1.5,-0.8,-10.3,-5.5,-12.3,45.5,0,0,0,,0,0.9,44.6,24.1,358.4,1029,13.9,22.5,115,9.9,5,10,2023-01-09T08:04:35,2023-01-09T17:34:12,0.57,Clear,Clear conditions throughout the day.,clear-day,"47028099999,47037099999,47035099999,54497099999,54493099999,remote"
Sinuiju,2023-01-10,1.7,-8.1,-4.2,-0.3,-13.3,-7.4,-11.6,58.1,0,0,0,,0,1.1,39.6,13,70.4,1030.3,0,21.8,117.3,10.2,5,10,2023-01-10T08:04:25,2023-01-10T17:35:12,0.61,Clear,Clear conditions throughout the day.,clear-day,"47028099999,47037099999,47035099999,54497099999,54493099999,remote"
