name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Songkhla,2023-01-01,31,21,26.2,35.1,21,27.6,21.7,77.9,0,0,0,rain,0,0,36.4,22.3,49.7,1012.9,52.1,9.7,222.9,19.2,8,10,2023-01-01T06:29:38,2023-01-01T18:12:21,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
Songkhla,2023-01-02,30,21,26.1,34.2,21,27.7,22.5,81.3,0,0,0,rain,0,0,33.5,18.4,41.6,1013.4,56.1,10.1,219.1,18.8,8,10,2023-01-02T06:30:03,2023-01-02T18:12:52,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
Songkhla,2023-01-03,31,22,26.8,36.5,22,28.9,23.4,82.6,0.508,100,8.33,rain,0,0,35.3,25.9,55.2,1012.8,71.1,10,212.7,18.3,8,10,2023-01-03T06:30:28,2023-01-03T18:13:23,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
Songkhla,2023-01-04,28.8,22,25.6,34.1,22,27.2,23.8,89.9,27.923,100,16.67,rain,0,0,37.8,16.6,32,1012.5,72.8,10,193.4,16.8,8,10,2023-01-04T06:30:52,2023-01-04T18:13:54,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
Songkhla,2023-01-05,30,23,26.7,36.2,23,28.9,23.8,84.6,0,0,0,rain,0,0,39.2,24.1,37.4,1011.6,71.1,10.3,210.5,18.3,8,30,2023-01-05T06:31:16,2023-01-05T18:14:25,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
Songkhla,2023-01-06,28.8,23,25.5,33.6,23,26.3,23.4,88.4,1.274,100,20.83,rain,0,0,42.5,18.4,36.1,1011.8,77.2,9.8,168.8,14.5,7,10,2023-01-06T06:31:38,2023-01-06T18:14:55,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
Songkhla,2023-01-07,26.1,23,23.7,26.1,23,23.7,22.9,95.4,49.733,100,33.33,rain,0,0,34.9,11.2,357.7,1011.5,94.1,7.8,66.4,5.8,4,10,2023-01-07T06:32:01,2023-01-07T18:15:26,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
Songkhla,2023-01-08,28,23,24.7,32.7,23,25.1,23.5,93.1,37.377,100,29.17,rain,0,0,28.1,14.8,358.8,1011.2,93.6,9.6,142.4,12.2,6,10,2023-01-08T06:32:22,2023-01-08T18:15:56,0.54,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
Songkhla,2023-01-09,29,23,25.3,34.5,23,26.3,23.7,91.1,26.247,100,16.67,rain,0,0,23.4,14.8,22,1011.9,87.1,9.3,176.8,15.3,7,10,2023-01-09T06:32:43,2023-01-09T18:16:26,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
Songkhla,2023-01-10,29,24,25.9,34.5,24,27.3,23.9,88.9,3.906,100,16.67,rain,0,0,21.2,11.2,14.1,1011.3,84.5,9.6,129.5,11.3,7,10,2023-01-10T06:33:03,2023-01-10T18:16:55,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
Songkhla,2023-01-11,32,22,26.6,39.1,22,29.1,23.9,86,36.967,100,8.33,rain,0,0,17.6,11.2,28,1010.3,69.4,9.3,201.4,17.3,8,30,2023-01-11T06:33:22,2023-01-11T18:17:25,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
Songkhla,2023-01-12,32,23,27.1,40.7,23,29.9,24.2,85,0,0,0,,0,0,22,13,56.7,1009.9,50.8,9.6,218.5,18.8,8,30,2023-01-12T06:33:40,2023-01-12T18:17:54,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
Songkhla,2023-01-13,32,24,27.2,42.3,24,30,24.2,84.2,3.47,100,8.33,rain,0,0,23.4,16.6,33.2,1010.8,78.7,9.9,215,18.5,8,10,2023-01-13T06:33:58,2023-01-13T18:18:22,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
Songkhla,2023-01-14,33,22,27.1,39.2,22,29.6,23.7,83,0,0,0,,0,0,18.4,13,12.5,1009.8,41.6,10.3,229.1,19.8,9,10,2023-01-14T06:34:14,2023-01-14T18:18:51,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
Songkhla,2023-01-15,35,24,27.6,43.8,24,30.9,24.4,83.8,0.502,100,8.33,rain,0,0,23.4,16.6,31.7,1008.9,63.4,10,238.3,20.6,8,30,2023-01-15T06:34:30,2023-01-15T18:19:18,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
Songkhla,2023-01-16,31,22,27.2,37.8,22,29.4,23.3,80.6,0.035,100,4.17,rain,0,0,29.5,20.5,35.4,1010.4,50.5,10,248.4,21.5,9,10,2023-01-16T06:34:45,2023-01-16T18:19:46,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
Songkhla,2023-01-17,32,19,25.6,35.1,19,27.2,21.7,81,0,0,0,,0,0,31,22.3,67.5,1011.6,29.1,9.6,237.1,20.5,8,10,2023-01-17T06:34:59,2023-01-17T18:20:13,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
Songkhla,2023-01-18,29.1,21,26.3,34.4,21,28.6,22.9,82.4,4.978,100,16.67,rain,0,0,38.9,22.3,78.6,1012.1,68.3,10,202.5,17.4,7,10,2023-01-18T06:35:12,2023-01-18T18:20:39,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
Songkhla,2023-01-19,31,22,26.6,35.5,22,28.7,23,81.4,0.031,100,12.5,rain,0,0,38.5,24.1,60.8,1011.5,64,9.7,231.9,19.9,8,10,2023-01-19T06:35:25,2023-01-19T18:21:05,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
Songkhla,2023-01-20,27.5,24,25.3,30.6,24,25.8,23.7,91.2,6.41,100,29.17,rain,0,0,39.2,18.4,43.7,1010.9,88.5,9.2,146.4,12.5,5,10,2023-01-20T06:35:36,2023-01-20T18:21:30,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48580099999,48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
Songkhla,2023-01-21,29,23,26.4,34,23,28.7,24.1,87.6,6.361,100,20.83,rain,0,0,42.1,18.4,51,1010.1,90.3,9.6,147.3,12.8,6,10,2023-01-21T06:35:46,2023-01-21T18:21:55,0.98,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
Songkhla,2023-01-22,31,24,26.8,37.8,24,29.1,24.2,86.3,30.709,100,29.17,rain,0,0,42.8,27.7,62.1,1009.3,83.6,9.5,172.8,15,7,10,2023-01-22T06:35:56,2023-01-22T18:22:19,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48569099999,48560099999,VTSS,48571099999,48574099999,48568099999"
