name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Taleqan,2023-01-01,5.7,-0.1,2.7,5.7,-0.1,2.7,-0.8,78.3,0,0,0,,0,0.3,16.6,4.7,89.4,1033.2,49.3,20.8,127.3,11,5,10,2023-01-01T07:04:29,2023-01-01T16:46:07,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38947099999,remote"
Taleqan,2023-01-02,4.8,-1.4,1.6,4.2,-1.4,1.4,-2.6,74.4,0,0,0,,0,0.1,18.4,5.8,174,1034.5,36.3,20.7,128.3,11,5,10,2023-01-02T07:04:39,2023-01-02T16:46:54,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38947099999,remote"
Taleqan,2023-01-03,7.6,-2,2.7,7.2,-2,2.6,-2.9,67.9,0,0,0,,0,0,17.6,6.5,110.7,1034.8,50.4,21.3,130.9,11.3,5,10,2023-01-03T07:04:47,2023-01-03T16:47:43,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38947099999,remote"
Taleqan,2023-01-04,12.4,0.6,5.8,12.4,-0.1,5.7,-1.6,61.8,0,0,0,,0,0,16.2,5.8,101,1030.6,29.4,22.1,129.2,11.2,5,10,2023-01-04T07:04:53,2023-01-04T16:48:32,0.41,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"38947099999,remote"
Taleqan,2023-01-05,16.6,-0.6,6.3,16.6,-2.9,5.7,-2.3,56.9,0,0,0,,0,0,22.3,7.2,120.9,1021.7,28.7,22.6,135.3,11.7,6,10,2023-01-05T07:04:56,2023-01-05T16:49:23,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38947099999,remote"
Taleqan,2023-01-06,11.7,4.2,7.6,11.7,3,7.4,0.3,61.2,0.2,100,8.33,rain,0,0,21.2,7.2,145,1021.6,96.5,22.2,60.3,5.2,3,10,2023-01-06T07:04:58,2023-01-06T16:50:15,0.48,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"38947099999,remote"
Taleqan,2023-01-07,15.8,3.3,9.2,15.8,1.7,8.9,3.1,68.1,0.3,100,12.5,rain,0,0,19.1,7.9,134.1,1018.5,66.9,22.2,102.5,8.7,4,10,2023-01-07T07:04:58,2023-01-07T16:51:08,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38947099999,remote"
Taleqan,2023-01-08,13.7,4.7,8.4,13.7,4.7,8.3,3.4,71.2,2.2,100,20.83,rain,0,0,17.3,7.2,214.9,1017.6,90.6,19.5,60.9,5.3,3,10,2023-01-08T07:04:56,2023-01-08T16:52:02,0.55,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"38947099999,remote"
Taleqan,2023-01-09,16.7,4,9.5,16.7,3.2,9.1,4.7,73.7,3.2,100,25,rain,0,0,19.1,7.2,156.1,1023,35.2,21.7,123.6,10.8,5,10,2023-01-09T07:04:52,2023-01-09T16:52:58,0.58,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"38947099999,remote"
Taleqan,2023-01-10,5.7,-3.2,1.6,5,-6.4,0.2,-1,82.9,4,100,8.33,"rain,snow",1.5,0.7,25.2,10.8,304.3,1027.6,81,13.1,52.4,4.5,2,10,2023-01-10T07:04:46,2023-01-10T16:53:54,0.61,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"38947099999,remote"
