name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Thimphu,2023-01-01,11,-10.4,1.2,11,-14.6,0.1,-4.9,68.1,1.7,100,66.67,"rain,snow",1.6,12.2,50.4,21.6,164.9,1022.1,69.8,14.6,95.7,8.3,4,10,2023-01-01T06:51:38,2023-01-01T17:17:54,0.3,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-02,12,-12.6,1.1,12,-15.5,0.4,-4.5,71.6,2.8,100,66.67,"rain,snow",1.3,13.8,46.8,25.9,151.8,1023,58.5,10.6,118.2,10.2,5,10,2023-01-02T06:51:53,2023-01-02T17:18:35,0.34,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-03,14,-16.1,1.5,14,-16.1,1.1,-6,64.3,1.1,100,45.83,"rain,snow",0.3,14.8,61.2,25.6,170.2,1023.8,36.7,16.8,121.6,10.6,5,10,2023-01-03T06:52:08,2023-01-03T17:19:17,0.37,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-04,15,-12.9,1.1,15,-14.6,0.4,-6.8,61.7,0.1,100,4.17,"rain,snow",0,14.8,75.6,31.7,173.9,1022.7,21.4,18.7,134.9,11.6,5,10,2023-01-04T06:52:21,2023-01-04T17:19:59,0.41,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-05,16,-17.8,1,16,-17.8,0.1,-8.2,58.4,1.2,100,37.5,"rain,snow",0,15.2,75.6,25.9,156.1,1025.3,15,18.2,141,12.2,6,10,2023-01-05T06:52:32,2023-01-05T17:20:42,0.44,"Snow, Rain",Clear conditions throughout the day with a chance of rain or snow throughout the day.,rain,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-06,18,-14.1,1.1,18,-18.9,-0.6,-11.5,49.4,0.1,100,4.17,"rain,snow",0,14.8,57.6,25.2,82.1,1026.7,8.4,19,184.4,16,7,10,2023-01-06T06:52:42,2023-01-06T17:21:26,0.48,"Snow, Rain",Clear conditions throughout the day with early morning snow or rain.,rain,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-07,18,-11.6,1.5,18,-18.2,0.3,-11.7,46.6,0,0,0,,0,15.9,61.2,28.8,151.7,1025.3,0.3,18.3,197.5,16.9,7,10,2023-01-07T06:52:51,2023-01-07T17:22:10,0.5,Clear,Clear conditions throughout the day.,clear-day,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-08,18,-15.6,0.7,18,-18.7,0.1,-9.4,53.9,0,0,0,,0,14.8,50.4,32.4,163.4,1024.5,1.4,19.6,192.2,16.6,7,10,2023-01-08T06:52:58,2023-01-08T17:22:55,0.54,Clear,Clear conditions throughout the day.,clear-day,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-09,19,-14.6,2.2,19,-14.6,1.6,-7.1,58.7,0,0,0,,0,14,50.4,29.5,163.6,1024.7,2.5,17.3,188.3,16.2,7,10,2023-01-09T06:53:03,2023-01-09T17:23:41,0.58,Clear,Clear conditions throughout the day.,clear-day,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-10,18,-16.1,1.2,18,-21.3,0.4,-6.8,61.8,0.4,100,12.5,"rain,snow",0,12.6,50.4,34.6,153.6,1022.1,19.1,20.8,171,14.8,7,10,2023-01-10T06:53:07,2023-01-10T17:24:27,0.61,"Snow, Rain",Clear conditions throughout the day with rain or snow.,rain,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-11,19,-12.9,3.7,19,-12.9,3.3,-4.9,62.8,0,0,0,,0,12,54,29.5,172.9,1018.3,21,17,176.5,15.3,7,10,2023-01-11T06:53:09,2023-01-11T17:25:13,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-12,16,-13.1,0.9,16,-14.1,0,-5.7,66.2,1.1,100,45.83,"rain,snow",0,12.3,61.2,28.8,186.5,1016.1,36.2,17.3,141.6,12.4,6,10,2023-01-12T06:53:10,2023-01-12T17:26:00,0.68,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-13,15,-13.8,2,15,-18,1.2,-6,60.2,1.1,100,45.83,"rain,snow",0.2,11.5,54,29.5,166.5,1015.9,45.7,14.6,128.2,11.1,6,10,2023-01-13T06:53:09,2023-01-13T17:26:47,0.71,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-14,17,-10.3,3.3,17,-15.9,2.5,-6.1,57.9,1.5,100,54.17,"rain,snow",0.3,11.5,61.2,42.5,151.9,1013.4,52.7,11.6,113.6,9.9,5,10,2023-01-14T06:53:07,2023-01-14T17:27:35,0.74,"Snow, Rain, Partially cloudy",Clearing in the afternoon with a chance of rain or snow throughout the day.,snow,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-15,17,-16.1,0.7,17,-16.1,-0.5,-7.3,61.4,1.8,100,66.67,"rain,snow",0.1,11.4,57.6,35.3,169,1013.7,46.3,16.7,86.6,7.4,4,10,2023-01-15T06:53:03,2023-01-15T17:28:23,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-16,17,-14.9,1.8,17,-19.9,0.7,-10,52.8,1.2,100,50,"rain,snow",0.1,11.2,68.4,39.6,142.6,1015,31.9,14.9,109,9.3,5,10,2023-01-16T06:52:58,2023-01-16T17:29:11,0.81,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-17,15,-15.4,0,15,-17.1,-1.2,-10,56.2,1.6,100,54.17,"rain,snow",0.4,11.9,68.4,38.9,157.8,1015.7,29.7,15.3,119.4,10.2,5,10,2023-01-17T06:52:51,2023-01-17T17:29:59,0.85,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-18,14,-13.6,0.5,14,-18.4,-0.3,-8,59.7,1.2,100,41.67,"rain,snow",0.4,13.2,54,24.9,161.2,1017.7,42.6,16.2,138.6,11.9,5,10,2023-01-18T06:52:42,2023-01-18T17:30:48,0.88,"Snow, Rain, Partially cloudy",Clearing in the afternoon with a chance of rain or snow throughout the day.,snow,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-19,13,-15.9,1.9,13,-15.9,1.3,-5.7,61.8,2.4,100,75,"rain,snow",0.5,13.9,46.8,29.2,172.1,1019.5,49.1,12.7,119.9,10.3,5,10,2023-01-19T06:52:32,2023-01-19T17:31:36,0.91,"Snow, Rain, Partially cloudy",Clearing in the afternoon with a chance of rain or snow throughout the day.,snow,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-20,15,-16.6,1.4,15,-16.6,0.8,-5.5,66,1.5,100,45.83,"rain,snow",1,14.9,50.4,31,162.2,1019.6,41,14.7,104.1,8.9,4,10,2023-01-20T06:52:20,2023-01-20T17:32:25,0.95,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-21,17,-13.9,1.2,17,-18.7,0.2,-6.9,64.5,0.7,100,29.17,"rain,snow",0.2,15.9,61.2,37.1,175.4,1017.6,35.3,19,148.6,12.8,6,10,2023-01-21T06:52:07,2023-01-21T17:33:13,0.98,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-22,19,-15.1,2.6,19,-20.1,1.9,-8.9,54.4,0.7,100,29.17,"rain,snow",0,15.4,64.8,25.9,168.7,1016.9,45.4,20,128.8,11.1,5,10,2023-01-22T06:51:52,2023-01-22T17:34:02,0,"Snow, Rain, Partially cloudy",Clearing in the afternoon with a chance of rain or snow throughout the day.,rain,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-23,18.3,-13.3,3.6,18.3,-18,2.8,-6.6,56.5,0.2,100,8.33,"rain,snow",0,16.4,64.8,37.1,172,1016.1,25.7,18.8,139.3,12,6,10,2023-01-23T06:51:36,2023-01-23T17:34:51,0.05,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-24,19,-12.8,3.3,19,-12.8,2.3,-5.9,60,0.4,100,12.5,"rain,snow",0,15.5,61.2,37.1,178.4,1017.8,45,19.1,165.4,14.2,6,10,2023-01-24T06:51:18,2023-01-24T17:35:40,0.08,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-25,24,-10.3,5.4,24,-10.6,5,-6.1,57,0.1,100,4.17,"rain,snow",0,14.4,57.6,33.5,162.8,1016.9,25,18.8,167.1,14.5,7,10,2023-01-25T06:50:58,2023-01-25T17:36:28,0.11,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-26,21,-6.1,6.1,21,-10.9,5.5,-2.8,60.8,0.6,100,25,"rain,snow",0,13.5,54,29.5,170.8,1015.7,51.6,19.4,130.2,11.2,5,10,2023-01-26T06:50:38,2023-01-26T17:37:17,0.15,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow.,rain,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-27,19,-12.3,4.8,19,-12.3,4.1,-3.7,63.4,1.6,100,45.83,"rain,snow",0,13.1,50.4,32.4,169.5,1017.3,39.9,18.2,100.8,8.8,4,10,2023-01-27T06:50:15,2023-01-27T17:38:05,0.18,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow.,rain,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-28,19,-11.8,4.5,19,-13.1,4.1,-3.9,62.4,0.9,100,37.5,"rain,snow",0,12.1,50.4,25.9,162.1,1017.6,25.4,17.7,90.4,7.8,3,10,2023-01-28T06:49:51,2023-01-28T17:38:54,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-29,20,-12.3,5.7,20,-12.3,5.5,-1.9,65.2,0.4,100,16.67,"rain,snow",0,10.9,54,21.6,174.7,1020,19.7,19.2,135.5,11.9,5,10,2023-01-29T06:49:26,2023-01-29T17:39:42,0.25,"Snow, Rain",Clear conditions throughout the day with rain or snow clearing later.,rain,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-30,24,-10.6,6.6,24,-13.7,5.9,-3.2,59.2,0.3,100,12.5,"rain,snow",0,9.5,64.8,25.9,175.5,1021.1,20.5,19.1,191.3,16.4,8,10,2023-01-30T06:48:59,2023-01-30T17:40:29,0.28,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"VQPR,43399099999,55773099999,remote"
Thimphu,2023-01-31,22,-3.6,6.1,22,-9.5,4.6,-4.1,56.7,0.5,100,20.83,rain,0,8.1,82.8,43.2,185.5,1016.8,33.8,19.3,172.6,15,6,10,2023-01-31T06:48:31,2023-01-31T17:41:17,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VQPR,43399099999,55773099999,remote"
