name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Turkmenbashy,2023-01-01,9,-2.9,3.8,6.3,-6,1.1,0.5,79.9,0,0,0,,0,0,25.2,22.3,169.1,1032.2,36.5,9,82.1,7,3,10,2023-01-01T08:50:12,2023-01-01T18:13:03,0.3,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"38507099999,38141299999,UTAK"
Turkmenbashy,2023-01-02,12,1,7.3,12,-2.4,5.5,5.3,88,0,0,0,,0,0,38.2,29.5,179.7,1031.3,67,5.9,92.5,8,4,10,2023-01-02T08:50:19,2023-01-02T18:13:53,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38507099999,38141299999,UTAK"
Turkmenbashy,2023-01-03,14,7,10,14,5.5,8.9,7.3,84.5,0,0,0,,0,0,26.6,22.3,203.7,1029.4,52.3,7.1,94.4,8.1,4,10,2023-01-03T08:50:24,2023-01-03T18:14:45,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38507099999,38141299999,UTAK"
Turkmenbashy,2023-01-04,16.1,5,9.4,16.1,2.4,8.5,0.5,62.6,0,0,0,,0,0,24.8,22.3,164.3,1020.9,44.8,7.2,104.2,9,4,10,2023-01-04T08:50:27,2023-01-04T18:15:37,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38507099999,38141299999,UTAK"
Turkmenbashy,2023-01-05,9,2.1,7.3,9,0,4.8,4,80.3,0,0,0,,0,0,49,33.5,340.9,1017.2,89,8.4,58.1,5,3,10,2023-01-05T08:50:27,2023-01-05T18:16:32,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38507099999,38141299999,UTAK"
Turkmenbashy,2023-01-06,9,3,6.2,5.7,-1.2,2.9,2.3,76.5,0,0,0,,0,0,39.2,33.5,152.1,1017.7,49.6,10,101.7,8.7,4,10,2023-01-06T08:50:26,2023-01-06T18:17:27,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38507099999,38141299999,UTAK"
Turkmenbashy,2023-01-07,13,6,9.5,13,3.6,7.6,6.3,80.8,0,0,0,rain,0,0,41,33.5,228,1012.8,66,10,93.2,8.1,4,10,2023-01-07T08:50:22,2023-01-07T18:18:24,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38507099999,38141299999,UTAK"
Turkmenbashy,2023-01-08,6,-2.5,1.2,3,-9,-4.3,-4.8,66.2,0.6,100,20.83,"rain,snow",0,0,44.3,29.5,25.4,1023.6,98.1,10,43.4,3.8,2,10,2023-01-08T08:50:16,2023-01-08T18:19:22,0.54,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"38507099999,38141299999,UTAK"
Turkmenbashy,2023-01-09,-0.9,-5,-2.8,-6.8,-11.6,-9.2,-13.4,44,0,0,0,,0,0.1,40.3,32.1,45.7,1031.6,86.4,10,82.8,7.2,4,10,2023-01-09T08:50:07,2023-01-09T18:20:22,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38507099999,38141299999,UTAK"
Turkmenbashy,2023-01-10,1,-9,-3.4,-4.3,-14.5,-9,-12.6,49.9,0,0,0,,0,0,36.4,31.7,58.9,1037.3,59.8,10,92,7.9,4,10,2023-01-10T08:49:57,2023-01-10T18:21:22,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38507099999,38141299999,UTAK"
