name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Tyumen,2023-01-01,-25,-29,-27.1,-25.1,-36.2,-30.5,-30.1,75.6,0,0,0,,0,25.7,23.4,14.4,122.8,1030.6,71.3,9.1,21.4,1.9,1,10,2023-01-01T09:17:12,2023-01-01T16:05:31,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,23220499999"
Tyumen,2023-01-02,-3,-26,-15.9,-10.2,-37.2,-25.3,-17.6,86.2,0.5,100,16.67,snow,0.2,26.2,47.5,28.8,164.4,1010.8,90,7.2,11.7,0.9,1,10,2023-01-02T09:16:54,2023-01-02T16:06:48,0.34,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"28465099999,USTR,23220499999"
Tyumen,2023-01-03,-3,-16,-5.9,-5.9,-27.7,-12.8,-6.5,95.6,10.8,100,100,snow,8.3,31.6,54,36,46.9,991.7,98.2,2.8,9,0.8,1,10,2023-01-03T09:16:30,2023-01-03T16:08:08,0.37,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"28465099999,USTR,23220499999"
Tyumen,2023-01-04,-16,-21,-17.9,-16,-30.1,-23.2,-20.3,81.4,0,0,0,snow,0.1,36.4,37.8,28.8,299.7,1001.5,82.6,8.9,18.4,1.7,1,10,2023-01-04T09:16:03,2023-01-04T16:09:31,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,23220499999"
Tyumen,2023-01-05,-16,-25,-21.2,-21.1,-33.4,-27.5,-23.4,82.3,0,0,0,snow,0,38.8,15.1,10.8,281,1006.3,79,9.4,18.2,1.6,1,10,2023-01-05T09:15:31,2023-01-05T16:10:58,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,28367099999,23220499999"
Tyumen,2023-01-06,-16,-27,-20.9,-22.7,-36,-27.1,-23.1,82.7,0.1,100,4.17,snow,0.2,40.2,22,14.3,184.1,1008.3,71.4,8.1,15.7,1.3,1,10,2023-01-06T09:14:55,2023-01-06T16:12:29,0.48,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"28465099999,USTR,23220499999"
Tyumen,2023-01-07,-10,-26,-15.4,-10,-37.4,-23.4,-17.5,83.5,4.9,100,79.17,snow,6.2,42.9,50.4,25.2,209.2,998,89.5,4.3,14.8,1.3,1,10,2023-01-07T09:14:15,2023-01-07T16:14:02,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"28465099999,USTR,23220499999"
Tyumen,2023-01-08,-26,-31,-29.1,-37.4,-45.7,-42.4,-32.7,71.4,0,0,0,,0,43.4,39.6,25.2,322.4,1005.8,36.3,9.8,21.5,1.8,1,10,2023-01-08T09:13:31,2023-01-08T16:15:39,0.54,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"28465099999,USTR,23220499999"
Tyumen,2023-01-09,-25.1,-33,-29.8,-33.6,-48.3,-42.5,-33.7,69.3,0,0,0,,0,42.3,36,28.8,304,1019.4,49.5,10.1,27.1,2.4,2,10,2023-01-09T09:12:42,2023-01-09T16:17:19,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,23220499999"
Tyumen,2023-01-10,-13,-26,-20.3,-23.2,-37.2,-30,-23.6,75.1,0,0,0,,0,41.4,32,32.4,287.6,1029.9,68.7,10.1,23.7,2,1,10,2023-01-10T09:11:50,2023-01-10T16:19:02,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,23220499999"
Tyumen,2023-01-11,-12,-15,-13.6,-21.2,-25.8,-23.1,-18.4,67.3,0.6,100,16.67,snow,0,40.3,43.9,28.8,280.1,1033.1,43,9.3,24.6,2.1,1,10,2023-01-11T09:10:54,2023-01-11T16:20:48,0.65,"Snow, Partially cloudy",Becoming cloudy in the afternoon with late afternoon snow.,snow,"28465099999,USTR,23220499999"
Tyumen,2023-01-12,-11,-12,-11.7,-17.9,-22.9,-20.6,-17.4,63.3,0.3,100,12.5,snow,0,39.9,61.2,37.7,267.6,1028,47.3,8.6,25.1,2,1,10,2023-01-12T09:09:54,2023-01-12T16:22:36,0.68,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"28465099999,USTR,23220499999"
Tyumen,2023-01-13,-7,-13,-10.5,-14.3,-20.7,-18.3,-15,70,0,0,0,,0,38.8,38.9,25.2,248.2,1028.9,63.7,10,22.8,1.8,1,10,2023-01-13T09:08:50,2023-01-13T16:24:26,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,23220499999"
Tyumen,2023-01-14,-6,-8,-7.3,-13.1,-17.2,-15,-14.6,56.8,0,0,0,,0,35.6,48.6,32.4,268.2,1025.8,24.3,10.1,26.2,2.4,1,10,2023-01-14T09:07:43,2023-01-14T16:26:20,0.75,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"28465099999,USTR,23220499999"
Tyumen,2023-01-15,-5,-9,-7.3,-12.3,-16.2,-14.3,-13.7,61.8,0,0,0,,0,34.5,43.2,28.8,253.3,1028.5,65.8,10.1,26.3,2.3,1,10,2023-01-15T09:06:32,2023-01-15T16:28:15,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,23220499999"
Tyumen,2023-01-16,-5,-12,-6.7,-11.7,-18.9,-14.1,-15.1,52,0,0,0,,0,34.4,50,33.9,262.4,1029.9,53.3,10.1,26.1,2.4,1,10,2023-01-16T09:05:18,2023-01-16T16:30:12,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,23220499999"
Tyumen,2023-01-17,-8,-13.1,-10.8,-14.9,-22.6,-18.6,-20.5,45,0,0,0,,0,34.6,27.7,25.2,238.2,1036.6,5,10.1,33.3,2.8,2,10,2023-01-17T09:04:00,2023-01-17T16:32:12,0.85,Clear,Clear conditions throughout the day.,clear-day,"28465099999,USTR,23220499999"
Tyumen,2023-01-18,-3,-14,-8.8,-9.3,-23.2,-16.4,-17.4,50.2,0,0,0,,0,34.7,32,32.4,240.1,1035.9,59.4,10.1,31.6,2.7,2,10,2023-01-18T09:02:39,2023-01-18T16:34:13,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,23220499999"
Tyumen,2023-01-19,-6,-12.1,-9.1,-11.7,-19.9,-15.7,-14.6,65,0,0,0,,0,34.7,25.6,21.4,246.6,1035.9,60.5,10.1,29.5,2.5,2,10,2023-01-19T09:01:15,2023-01-19T16:36:17,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,23220499999"
Tyumen,2023-01-20,-4,-13,-9.2,-9.2,-20.3,-16,-16.1,57.7,0,0,0,,0,34.7,30.6,21.6,249.2,1039.1,17.6,10.1,35.7,3.1,2,10,2023-01-20T08:59:47,2023-01-20T16:38:22,0.95,Clear,Clear conditions throughout the day.,clear-day,"28465099999,USTR,23220499999"
Tyumen,2023-01-21,-3,-10.1,-6.7,-9.2,-18.2,-13.7,-14.5,54.2,0,0,0,,0,34.7,34.6,25.2,244.4,1039.2,48.2,10.1,28.7,2.5,2,10,2023-01-21T08:58:17,2023-01-21T16:40:28,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,23220499999"
Tyumen,2023-01-22,-2,-5,-3.2,-6.7,-12.3,-8.9,-12.4,49.5,0,0,0,snow,0,33.8,43.2,28.5,273.7,1035,82.4,10.1,28.9,2.4,1,10,2023-01-22T08:56:43,2023-01-22T16:42:36,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,23220499999"
Tyumen,2023-01-23,-5,-11,-6.9,-10.4,-16.7,-13,-9.9,79.6,0,0,0,,0,33.8,32.8,24.7,294.2,1034.8,53.3,10.4,30.3,2.6,2,10,2023-01-23T08:55:07,2023-01-23T16:44:45,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,28367099999,23220499999"
Tyumen,2023-01-24,-6,-16,-10.7,-12.4,-23.9,-18.1,-12.5,86.6,0,0,0,,0,33.1,27.7,21.6,244.9,1029.2,29.1,10.1,38.4,3.3,2,10,2023-01-24T08:53:27,2023-01-24T16:46:56,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,23220499999"
Tyumen,2023-01-25,-6,-12,-9.3,-12.4,-20.1,-17,-12.3,78.7,0,0,0,,0,32.7,40.3,25.2,247.1,1021.3,62.9,10.1,31.6,2.7,2,10,2023-01-25T08:51:45,2023-01-25T16:49:08,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,23220499999"
Tyumen,2023-01-26,-5,-12.1,-8.5,-12.3,-21.3,-16.8,-11.8,77.6,0.1,100,4.17,snow,0.6,32.6,50.4,39.6,232,1013.3,35,10,33.4,2.8,2,10,2023-01-26T08:50:01,2023-01-26T16:51:20,0.15,"Snow, Partially cloudy",Clearing in the afternoon with late afternoon snow.,snow,"28465099999,USTR,23220499999"
Tyumen,2023-01-27,-4,-5.1,-4.7,-9.9,-11.8,-10.7,-7.6,79.8,0.9,100,12.5,snow,0.4,32,38.9,21.6,244.4,1013.3,79.8,9.8,23.4,2,1,10,2023-01-27T08:48:14,2023-01-27T16:53:34,0.18,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"28465099999,USTR,23220499999"
Tyumen,2023-01-28,-4,-6.3,-4.6,-8.3,-11.8,-10.4,-7,83.7,0.8,100,25,snow,1,32.9,31.7,21.6,258.4,1013,92.4,9.6,28.4,2.4,2,10,2023-01-28T08:46:24,2023-01-28T16:55:49,0.25,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"28465099999,USTR,28367099999,23220499999"
Tyumen,2023-01-29,-5.3,-11.9,-8.7,-9.4,-19.4,-14.7,-10.9,83.8,0,0,0,,0,33.8,39.2,28.8,239.3,1016.3,65.2,11.4,36,3.1,2,10,2023-01-29T08:44:32,2023-01-29T16:58:04,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,remote,28367099999,23220499999"
Tyumen,2023-01-30,-4.5,-11.1,-8.2,-8.9,-18.7,-14.2,-11.6,76.7,0,0,0,,0,34.7,29.2,21.6,213.4,1015.8,74.3,10.1,35.4,3,2,10,2023-01-30T08:42:38,2023-01-30T17:00:20,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,28367099999,23220499999"
Tyumen,2023-01-31,-5,-12.1,-8.8,-10.6,-20,-15.7,-11.3,82.2,0,0,0,snow,0,34.7,29.2,21.6,197.8,1016.6,68.9,9.1,38.7,3.3,2,10,2023-01-31T08:40:41,2023-01-31T17:02:37,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,28367099999,23220499999"
Tyumen,2023-02-01,-2,-8,-5.1,-6.7,-15.6,-10.4,-10,68.6,0,0,0,,0,35.2,26.6,21.6,209.9,1020.5,51.4,10,47.4,4.2,2,10,2023-02-01T08:38:42,2023-02-01T17:04:54,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"USTR,23220499999"
Tyumen,2023-02-02,-4,-9,-6.8,-4,-16.2,-11.6,-12.6,63.8,0,0,0,,0,35.1,17.6,18,195.8,1025.5,60.3,10.3,48.1,4.1,2,10,2023-02-02T08:36:41,2023-02-02T17:07:11,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,28367099999,23220499999"
Tyumen,2023-02-03,-5,-13,-10.1,-9,-20.3,-16,-15.8,64.3,0,0,0,,0,35.2,16.6,14.4,202.8,1026,69.7,10.1,51.9,4.4,2,10,2023-02-03T08:34:38,2023-02-03T17:09:29,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,23220499999"
Tyumen,2023-02-04,-6,-16.1,-11.6,-7,-24,-17.5,-15.5,73.9,0,0,0,,0,34.3,16.6,14.4,202.6,1027.2,10.5,10.1,55.4,4.7,3,10,2023-02-04T08:32:33,2023-02-04T17:11:48,0.45,Clear,Clear conditions throughout the day.,clear-day,"28465099999,USTR,23220499999"
Tyumen,2023-02-05,-9,-17,-12.4,-9,-23.9,-14.8,-15,81.6,0,0,0,,0,34.1,14.4,18,218,1026.3,49.5,8.7,40.8,3.5,2,10,2023-02-05T08:30:26,2023-02-05T17:14:06,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,23220499999"
Tyumen,2023-02-06,-7,-15,-10,-7,-19.9,-12.2,-12.9,80,0,0,0,snow,0.1,34.1,16.2,10.8,295.2,1024.5,58.6,7.2,36.4,3.1,2,10,2023-02-06T08:28:17,2023-02-06T17:16:25,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,28367099999,23220499999"
Tyumen,2023-02-07,-13,-18.1,-14.6,-13,-23.9,-20,-16.6,84.9,0,0,0,,0,34.1,24.5,14.4,330.3,1029.3,79.2,7.2,37.5,3.1,2,10,2023-02-07T08:26:07,2023-02-07T17:18:44,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28465099999,USTR,28367099999,23220499999"
Tyumen,2023-02-08,-12.1,-22.1,-17.4,-18.1,-28.1,-22.5,-19.6,82.8,0.1,100,4.17,snow,0.1,34,28.1,18,219.9,1026.1,62.2,7.8,57.7,5,3,10,2023-02-08T08:23:54,2023-02-08T17:21:03,0.59,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"28465099999,USTR,23220499999"
Tyumen,2023-02-09,-3.1,-14,-9.1,-8.7,-21.5,-15.7,-11.9,80.5,2.2,100,29.17,snow,3.1,35.9,31.7,18,262.5,1013.8,77.2,8.1,58.6,5,3,10,2023-02-09T08:21:40,2023-02-09T17:23:22,0.62,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"28465099999,USTR,23220499999"
Tyumen,2023-02-10,-3,-5,-3.7,-5.9,-10.2,-8.3,-6.7,79.8,0,0,0,snow,0,36,30.6,28.5,300.2,1015.9,99.9,10.1,39.7,3.6,2,10,2023-02-10T08:19:25,2023-02-10T17:25:42,0.66,Overcast,Cloudy skies throughout the day.,cloudy,"28465099999,USTR,23220499999"
