name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Vientiane,2023-01-01,26,14,19.8,26,14,19.8,14.7,73.8,0,0,0,,0,0,27,14.7,76.3,1018.7,32.7,8.4,213,18.3,8,10,2023-01-01T06:40:42,2023-01-01T17:45:05,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VTUD,48352099999,48354099999,48940099999,VLVT,remote,48941099999"
Vientiane,2023-01-02,25,14,19.8,25,14,19.8,16.2,80.4,0,0,0,,0,0,14.4,7.6,58.3,1018.6,65.7,9.4,124.4,10.8,5,10,2023-01-02T06:41:03,2023-01-02T17:45:41,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VTUD,48352099999,48354099999,48940099999,remote,VLVT,48941099999"
Vientiane,2023-01-03,27.1,17.2,23,29.6,17.2,23.3,19.6,81.9,0,0,0,,0,0,23.4,13.2,77.5,1018.2,86.4,8.6,155.3,13.4,7,10,2023-01-03T06:41:23,2023-01-03T17:46:18,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VTUD,48352099999,48354099999,48940099999,remote,VLVT,48941099999"
Vientiane,2023-01-04,29,18,23.1,31.9,18,23.6,19,78.8,0,0,0,,0,0,18,11.2,153.6,1017.2,48.1,8.6,200.8,17.4,7,10,2023-01-04T06:41:41,2023-01-04T17:46:54,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VTUD,48352099999,48354099999,48940099999,VLVT,remote,48941099999"
Vientiane,2023-01-05,29.4,17,23,30.9,17,23.4,18.5,77.4,0,0,0,,0,0,28.4,13,92.2,1017.4,34.3,10.4,206.8,18,7,10,2023-01-05T06:41:59,2023-01-05T17:47:31,0.44,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"VTUD,48352099999,48354099999,48940099999,remote,VLVT,48941099999"
Vientiane,2023-01-06,28.3,17,23.1,29,17,23.3,16.4,67.3,0,0,0,,0,0,33.5,19.6,81.1,1018.3,68.6,10.6,192.9,16.6,8,10,2023-01-06T06:42:15,2023-01-06T17:48:09,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VTUD,48352099999,48354099999,48940099999,remote,VLVT,48941099999"
Vientiane,2023-01-07,28,16,22,27.8,16,22,15.2,67,0,0,0,,0,0,23.4,10.9,60.8,1016.5,50.5,8.6,182.4,15.8,8,10,2023-01-07T06:42:31,2023-01-07T17:48:46,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"VTUD,48352099999,48354099999,48940099999,remote,VLVT,48941099999"
Vientiane,2023-01-08,27,17,22.3,27.9,17,22.3,16.8,72.2,0,0,0,,0,0,17.3,8.3,18.5,1015.4,78.1,9.1,178.4,15.4,7,10,2023-01-08T06:42:45,2023-01-08T17:49:23,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VTUD,48352099999,48354099999,48940099999,remote,VLVT,48941099999"
Vientiane,2023-01-09,31,20,25,34.5,20,25.8,20.1,75.3,0,0,0,,0,0,16.6,7.6,50.8,1014.6,66,9.4,192.6,16.5,7,10,2023-01-09T06:42:58,2023-01-09T17:50:01,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VTUD,48352099999,48354099999,48940099999,remote,VLVT,48941099999"
Vientiane,2023-01-10,27,22.6,24.6,30.1,22.6,24.9,21.6,83.6,0,0,0,rain,0,0,19.8,14.8,114.5,1013.8,87.8,9.3,89.8,7.8,4,10,2023-01-10T06:43:10,2023-01-10T17:50:39,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VTUD,48352099999,48354099999,48940099999,remote,VLVT,48941099999"
Vientiane,2023-01-11,23,20,21.5,23,20,21.5,20.5,93.9,1.911,100,25,rain,0,0,17.6,9.5,113.9,1013.2,88.8,8.7,79.1,6.9,3,10,2023-01-11T06:43:21,2023-01-11T17:51:17,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VTUD,48352099999,48354099999,48940099999,remote,VLVT,48941099999"
