name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Xian,1/1/2023,5,-4,0.4,5,-5.9,-0.5,-5.4,67.7,0.2,100,8.33,rain,0,0.3,21.6,10.8,99.5,1032.5,28.7,4.1,70.8,6,3,,2023-01-01T07:50:27,2023-01-01T17:44:56,0.3,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"57036099999,ZLXY,57131099999"
Xian,1/2/2023,7,-3,0.9,5.7,-6,0,-3.3,75.5,0,0,0,,0,0.2,17.3,7.2,40.3,1033.9,0,2.7,110.7,9.6,5,,2023-01-02T07:50:39,2023-01-02T17:45:41,0.33,Clear,Clear conditions throughout the day.,clear-day,"57036099999,ZLXY,57131099999"
Xian,1/3/2023,7,-6,-0.4,7,-7.1,-1.1,-5.2,73.8,0,0,0,,0,0.1,20.5,7.4,324.1,1029.8,0,2.7,134,11.6,5,,2023-01-03T07:50:49,2023-01-03T17:46:27,0.37,Clear,Clear conditions throughout the day.,clear-day,"57036099999,ZLXY,57131099999"
Xian,1/4/2023,6,-4,0.7,6,-6,0.2,-3.2,77.1,0,0,0,,0,0,15.5,7.2,329.1,1028,0,1.7,83.1,7.2,4,,2023-01-04T07:50:57,2023-01-04T17:47:15,0.4,Clear,Clear conditions throughout the day.,clear-day,"57036099999,ZLXY,57131099999"
Xian,1/5/2023,8,-3,2.3,8,-4.8,1.2,-2.3,73.6,0,0,0,,0,0,25.2,21.6,258.4,1030,0,1.9,105,8.9,4,,2023-01-05T07:51:04,2023-01-05T17:48:03,0.44,Clear,Clear conditions throughout the day.,clear-day,"57036099999,ZLXY,57131099999"
Xian,1/6/2023,14,-1,5.9,14,-3.6,4.4,-8.7,36.4,0,0,0,,0,0,25.2,21.6,237.1,1028.5,0,7.1,141.1,12.2,6,,2023-01-06T07:51:08,2023-01-06T17:48:53,0.47,Clear,Clear conditions throughout the day.,clear-day,"57036099999,ZLXY,57131099999"
Xian,1/7/2023,13.1,-4,3.1,13.1,-6,2.6,-6.1,55.4,0,0,0,,0,0,25.2,7.2,88.8,1019.2,0,5.6,140.5,12,6,,2023-01-07T07:51:11,2023-01-07T17:49:43,0.5,Clear,Clear conditions throughout the day.,clear-day,"57036099999,ZLXY,57131099999"
Xian,1/8/2023,12,-4,2.9,12,-4.8,1.9,-4.9,60.5,0,0,0,,0,0,18,10.8,359.2,1020.8,0,4.3,140.9,12.2,6,,2023-01-08T07:51:12,2023-01-08T17:50:35,0.54,Clear,Clear conditions throughout the day.,clear-day,"57036099999,ZLXY,57131099999"
Xian,1/9/2023,10,-4,2.3,8.1,-6,1,-5.6,59.9,0,0,0,,0,0,28.8,14.4,51.3,1025.4,0,4,135.8,11.8,5,,2023-01-09T07:51:11,2023-01-09T17:51:27,0.57,Clear,Clear conditions throughout the day.,clear-day,"57036099999,ZLXY,57131099999"
Xian,1/10/2023,8,-4,2.6,5.5,-7.1,0.1,-6.2,53.7,0,0,0,,0,0,28.8,18,53.4,1022.9,0,5.9,135,11.7,5,,2023-01-10T07:51:08,2023-01-10T17:52:20,0.61,Clear,Clear conditions throughout the day.,clear-day,"57036099999,ZLXY,57131099999"
