name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Yerevan,2023-01-01,6.2,-8.9,-2.6,6.2,-10.2,-2.7,-9.1,63.8,0,0,0,,0,0,17.3,5.4,348.8,1033.7,1.6,6.7,112.3,9.7,5,,2023-01-01T08:24:26,2023-01-01T17:46:26,0.31,Clear,Clear conditions throughout the day.,clear-day,"37871099999,17100099999,37785099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
Yerevan,2023-01-02,6.9,-9.8,-2.6,6.9,-9.8,-2.8,-9.9,60.9,0,0,0,,0,0,17.3,5.5,16.3,1034.8,0.6,7.3,109.8,9.5,5,,2023-01-02T08:24:33,2023-01-02T17:47:16,0.34,Clear,Clear conditions throughout the day.,clear-day,"37871099999,17100099999,37785099999,17100199999,UDYZ,LTCT,37788099999,35394699999"
Yerevan,2023-01-03,6.9,-7.9,-1.9,6.9,-10.8,-2.2,-9.2,60.6,0,0,0,,0,0,17.3,5.9,4.6,1033.6,0,7.4,109.9,9.5,5,,2023-01-03T08:24:38,2023-01-03T17:48:08,0.38,Clear,Clear conditions throughout the day.,clear-day,"37871099999,17100099999,37785099999,17100199999,UDYZ,LTCT,37788099999,35394699999"
Yerevan,2023-01-04,6.1,-8,-2.5,6.1,-8,-2.6,-9.6,61.7,0,0,0,,0,0,17.3,5.5,349.1,1025.1,0,7,113.1,9.6,5,,2023-01-04T08:24:41,2023-01-04T17:49:01,0.41,Clear,Clear conditions throughout the day.,clear-day,"37871099999,17100099999,37785099999,17100199999,UDYZ,LTCT,37788099999,35394699999"
Yerevan,2023-01-05,5.3,-8.8,-2.9,5.3,-11,-3.1,-9.3,63.5,0,0,0,,0,0.1,16.9,5.4,325.6,1020.2,6.5,5.8,91,7.9,4,,2023-01-05T08:24:41,2023-01-05T17:49:56,0.44,Clear,Clear conditions throughout the day.,clear-day,"37871099999,17100099999,37785099999,17100199999,UDYZ,LTCT,37788099999,35394699999"
Yerevan,2023-01-06,6,-8.9,-2.2,6,-8.9,-2.4,-8.8,63.3,0,0,0,,0,0.1,24.8,7.1,349,1019.3,7.3,5.9,111.1,9.6,5,,2023-01-06T08:24:39,2023-01-06T17:50:51,0.48,Clear,Clear conditions throughout the day.,clear-day,"37871099999,17100099999,37785099999,17100199999,UDYZ,LTCT,37788099999,35394699999"
Yerevan,2023-01-07,9.7,-1,3.4,9,-1.1,3.1,-3.9,60.6,0,0,0,rain,0,0.3,25.6,9.8,354.5,1016.3,40.4,7.3,95.3,8.2,4,,2023-01-07T08:24:35,2023-01-07T17:51:49,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37871099999,17100099999,37785099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
Yerevan,2023-01-08,7,-1.1,2.4,7,-2.8,2,-6.3,55.4,0,0,0,,0,0.5,29.2,16.4,145.7,1017.8,36.8,11.9,91.9,7.8,4,,2023-01-08T08:24:29,2023-01-08T17:52:47,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37871099999,17100099999,37785099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
Yerevan,2023-01-09,6,-6.9,-0.4,6,-7.8,-1.2,-5.9,70.1,1,100,4.17,"rain,snow",0.1,0.3,27.4,10.9,42.1,1022.9,30.2,11.5,106.1,9.2,4,,2023-01-09T08:24:20,2023-01-09T17:53:47,0.58,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"37871099999,17100099999,37785099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
Yerevan,2023-01-10,3,-4.9,-1.7,3,-8.4,-3.2,-9.7,54.9,0,0,0,,0,0.1,22,11,70.7,1028.8,17.7,13.5,119.3,10.4,5,,2023-01-10T08:24:09,2023-01-10T17:54:47,0.61,Clear,Clear conditions throughout the day.,clear-day,"37871099999,17100099999,37785099999,17100199999,UDYZ,LTCT,37788099999,35394699999"
