name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Zangilan,2023-01-01,13.1,-2.7,3,13.1,-7.4,0.5,-5.5,56.6,0,0,0,,0,0,20.2,22.3,312.7,1032.6,5.4,12.6,115.3,9.9,5,10,2023-01-01T08:12:40,2023-01-01T17:41:08,0.31,Clear,Clear conditions throughout the day.,clear-day,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-02,15.1,-2.4,4.6,15.1,-6.5,2.1,-6.2,48.5,0,0,0,,0,0,27,25.9,282,1031.8,8.3,12.5,116.5,9.9,5,10,2023-01-02T08:12:48,2023-01-02T17:41:57,0.34,Clear,Clear conditions throughout the day.,clear-day,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-03,14.1,-0.8,5.2,14.1,-3.5,2.9,-5.7,46.7,0,0,0,,0,0,27,25.9,313.9,1030.2,3.8,12.6,116,10,5,10,2023-01-03T08:12:53,2023-01-03T17:42:48,0.38,Clear,Clear conditions throughout the day.,clear-day,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-04,16.1,-0.6,5.6,16.1,-4.2,3.5,-5.4,47.6,0,0,0,,0,0,34.6,22.3,292.9,1020.9,20.3,12.6,120.3,10.5,5,10,2023-01-04T08:12:57,2023-01-04T17:43:39,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-05,12.1,0.1,4.7,12.1,-2.4,3.2,-3,58.5,0,0,0,,0,0.3,24.1,18.4,300.2,1019.1,44.5,12.1,103.7,9,5,10,2023-01-05T08:12:59,2023-01-05T17:44:33,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-06,14.1,-3.9,4,14.1,-8.3,1.9,-3.5,61.1,0,0,0,,0,0.1,39.6,18.4,307.5,1016.2,21.9,12.6,117.8,10.3,5,10,2023-01-06T08:12:58,2023-01-06T17:45:27,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-07,14.1,2.6,7.1,14.1,-1.2,5.3,-2.2,53,0,0,0,,0,0,41.4,18.4,316.3,1014.4,43,11.8,113.6,9.8,5,10,2023-01-07T08:12:55,2023-01-07T17:46:23,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-08,5.1,-2.9,0.3,2.5,-7.1,-2.9,-1.4,88.7,2.8,100,79.17,"rain,snow",2.4,0.7,25.2,22.3,81.7,1022.6,90.5,7.3,55.4,4.9,3,10,2023-01-08T08:12:50,2023-01-08T17:47:20,0.55,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-09,-0.9,-5.6,-2.8,-0.9,-7.4,-4.7,-4.5,88.4,4.1,100,75,snow,5,2.4,19.8,18.4,119.5,1030,87.4,6.2,69.4,5.8,3,10,2023-01-09T08:12:43,2023-01-09T17:48:18,0.58,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-10,0.1,-5,-2.4,0.1,-7.9,-4.1,-4.7,84.4,0.3,100,12.5,snow,0.3,1.4,24.8,11.2,55.5,1035.1,67.9,10.4,105.1,9.2,4,10,2023-01-10T08:12:34,2023-01-10T17:49:18,0.61,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-11,-1.9,-4.3,-2.5,-1.9,-6.9,-3.3,-4.2,88.8,2.9,100,100,"rain,snow",2.5,0.9,23,11.2,79.6,1039.8,96.7,4.9,50.9,4.5,3,10,2023-01-11T08:12:22,2023-01-11T17:50:18,0.65,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-12,0.5,-5.8,-2.4,0.5,-5.8,-3.3,-4.8,84.9,1.1,100,45.83,snow,0.7,0.6,25.2,11.2,352.4,1037.8,79.9,10.4,101.8,8.8,4,10,2023-01-12T08:12:09,2023-01-12T17:51:19,0.68,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-13,2.1,-6.9,-3,0.1,-12,-5.2,-5.7,82.5,0,0,0,snow,0,0.2,23.8,11.2,318.4,1032.5,61.5,10.8,110.2,9.4,4,10,2023-01-13T08:11:53,2023-01-13T17:52:21,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-14,4.1,-7.8,-1.1,3.4,-8,-2.8,-5,76.6,0,0,0,,0,0.9,27,14.8,284.9,1028.2,37.8,12.6,119.2,10.3,5,10,2023-01-14T08:11:35,2023-01-14T17:53:24,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-15,6,-5.3,-0.5,6,-9.9,-2.8,-4.6,75.4,0,0,0,,0,0.7,20.9,22.3,305,1025.5,36.9,12.5,122.4,10.4,5,10,2023-01-15T08:11:16,2023-01-15T17:54:28,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-16,6.9,-3,0.6,6.9,-8.7,-2,-3.5,75.9,0,0,0,,0,0.8,16.6,18.4,300.8,1023.4,55.1,11.9,113.2,9.7,5,10,2023-01-16T08:10:54,2023-01-16T17:55:33,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-17,7.5,-3.9,0.9,7.5,-8.7,-1.4,-2.8,77.4,0,0,0,,0,0.7,18.4,18.4,302.9,1024.1,27.7,11,121.8,10.6,5,10,2023-01-17T08:10:29,2023-01-17T17:56:38,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-18,8.3,-2.9,1.4,8.3,-8,-1.3,-2.2,78.4,0,0,0,,0,0.7,16.6,18.4,315.1,1024.8,22.8,9.7,128.8,11.2,5,10,2023-01-18T08:10:03,2023-01-18T17:57:44,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-19,9.4,-2.9,1.8,9.4,-8,-0.5,-2,77.5,0,0,0,,0,0.7,19.4,18.4,314.7,1027.7,19.9,9.1,131,11.3,5,10,2023-01-19T08:09:35,2023-01-19T17:58:51,0.91,Clear,Clear conditions throughout the day.,clear-day,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-20,8.6,-3.7,2.6,8.6,-6.2,1.1,-1,78.8,0,0,0,,0,0,21.2,18.4,328.6,1029.4,41.9,8.7,133,11.5,5,10,2023-01-20T08:09:05,2023-01-20T17:59:58,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-21,5.1,-2.1,2.6,3.3,-2.1,0.8,-0.8,78.5,1,100,41.67,snow,0.4,0.1,19.8,18.4,313.5,1031,76.2,8.9,91.7,7.9,4,10,2023-01-21T08:08:33,2023-01-21T18:01:06,0.98,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-22,7.1,-0.9,3.2,7.1,-1.4,2,-0.6,77.5,1.4,100,58.33,snow,1.6,0.6,20.5,11.2,330.8,1033.3,79.3,8.4,68.6,5.9,3,10,2023-01-22T08:07:59,2023-01-22T18:02:14,0,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"37897099999,37958099999,37953099999,37907099999,remote"
Zangilan,2023-01-23,8.1,-2.2,2.5,6.8,-6.2,0.3,-1.9,74.1,0.2,100,8.33,snow,0.7,0.2,23.4,18.4,350.1,1033.2,65.2,10.9,115.3,9.9,5,10,2023-01-23T08:07:22,2023-01-23T18:03:22,0.05,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-24,6.1,-3.1,1.8,4.5,-7.4,0.3,-2.5,74.2,0,0,0,snow,0,0.1,24.5,18.4,38.9,1033.9,62,10.6,134.6,11.8,5,10,2023-01-24T08:06:44,2023-01-24T18:04:31,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-25,6.1,-4.7,1.4,4.5,-7,-0.4,-4.2,67.5,0,0,0,,0,0,24.1,14.8,356.5,1029.6,37.3,11.9,142.5,12.2,6,10,2023-01-25T08:06:04,2023-01-25T18:05:40,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37897099999,37958099999,37953099999,37907099999"
Zangilan,2023-01-26,5.1,-7.2,0.4,4.7,-9.9,-1.6,-5.6,65.3,0,0,0,,0,0,27,18.4,310.8,1027.7,27.4,12.6,142.5,12.2,6,10,2023-01-26T08:05:22,2023-01-26T18:06:50,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37897099999,37958099999,37953099999,37907099999"
